variant,sample,order,operations,elapsed_ns,cpu_ns,value_ns,result,seed,sleep_target_ns,busy_target_ns,batch_size
consecutive_reads,0,0,1,79,0,79,0,20260916,1000000,1000000,10
consecutive_reads,1,0,1,35,0,35,0,20260916,1000000,1000000,10
consecutive_reads,2,0,1,34,0,34,0,20260916,1000000,1000000,10
consecutive_reads,3,0,1,34,0,34,0,20260916,1000000,1000000,10
consecutive_reads,4,0,1,33,0,33,0,20260916,1000000,1000000,10
consecutive_reads,5,0,1,34,0,34,0,20260916,1000000,1000000,10
consecutive_reads,6,0,1,35,0,35,0,20260916,1000000,1000000,10
consecutive_reads,7,0,1,34,0,34,0,20260916,1000000,1000000,10
consecutive_reads,8,0,1,34,0,34,0,20260916,1000000,1000000,10
consecutive_reads,9,0,1,34,0,34,0,20260916,1000000,1000000,10
consecutive_reads,10,0,1,35,0,35,0,20260916,1000000,1000000,10
consecutive_reads,11,0,1,34,0,34,0,20260916,1000000,1000000,10
consecutive_reads,12,0,1,34,0,34,0,20260916,1000000,1000000,10
consecutive_reads,13,0,1,34,0,34,0,20260916,1000000,1000000,10
consecutive_reads,14,0,1,34,0,34,0,20260916,1000000,1000000,10
consecutive_reads,15,0,1,34,0,34,0,20260916,1000000,1000000,10
consecutive_reads,16,0,1,34,0,34,0,20260916,1000000,1000000,10
consecutive_reads,17,0,1,35,0,35,0,20260916,1000000,1000000,10
consecutive_reads,18,0,1,33,0,33,0,20260916,1000000,1000000,10
consecutive_reads,19,0,1,33,0,33,0,20260916,1000000,1000000,10
batched_reads,0,0,10,405,0,40,0,20260916,1000000,1000000,10
busy_cpu,0,0,1,1007983,1005216,1007983,1099051483567651861,20260916,1000000,1000000,10
sleep,0,1,1,1071134,17931,1071134,0,20260916,1000000,1000000,10
