run_id,protocol,mode,affinity,cpu,seed,batch,rounds,warmup_rounds,max_batch,warmup_ops
1,interleaved,interleaved,LP-E,21,20260917,20000,100,10,,0
2,interleaved,interleaved,libre,,20260918,20000,100,10,,0
3,interleaved,interleaved,libre,,20260919,20000,100,10,,0
4,batched,fixed,libre,,20260920,20000,1,0,,0
5,interleaved,interleaved,libre,,20260921,20000,100,10,,0
6,amortization,amortization,libre,,20260922,,40,0,32768,100000
7,amortization,amortization,libre,,20260923,,40,0,32768,100000
8,naive,fixed,libre,,20260924,1,1,0,,0
9,interleaved,interleaved,libre,,20260925,20000,100,10,,0
10,batched,fixed,libre,,20260926,20000,1,0,,0
11,interleaved,interleaved,E,19,20260927,20000,100,10,,0
12,naive,fixed,libre,,20260928,1,1,0,,0
13,naive,fixed,libre,,20260929,1,1,0,,0
14,naive,fixed,libre,,20260930,1,1,0,,0
15,interleaved,interleaved,LP-E,21,20260931,20000,100,10,,0
16,interleaved,interleaved,LP-E,21,20260932,20000,100,10,,0
17,naive,fixed,libre,,20260933,1,1,0,,0
18,amortization,amortization,libre,,20260934,,40,0,32768,100000
19,naive,fixed,libre,,20260935,1,1,0,,0
20,interleaved,interleaved,P,11,20260936,20000,100,10,,0
21,interleaved,interleaved,libre,,20260937,20000,100,10,,0
22,naive,fixed,libre,,20260938,1,1,0,,0
23,interleaved,interleaved,P,11,20260939,20000,100,10,,0
24,interleaved,interleaved,LP-E,21,20260940,20000,100,10,,0
25,batched,fixed,libre,,20260941,20000,1,0,,0
26,batched,fixed,libre,,20260942,20000,1,0,,0
27,amortization,amortization,libre,,20260943,,40,0,32768,100000
28,naive,fixed,libre,,20260944,1,1,0,,0
29,batched,fixed,libre,,20260945,20000,1,0,,0
30,batched,fixed,libre,,20260946,20000,1,0,,0
31,naive,fixed,libre,,20260947,1,1,0,,0
32,batched,fixed,libre,,20260948,20000,1,0,,0
33,amortization,amortization,libre,,20260949,,40,0,32768,100000
34,naive,fixed,libre,,20260950,1,1,0,,0
35,interleaved,interleaved,P,11,20260951,20000,100,10,,0
36,batched,fixed,libre,,20260952,20000,1,0,,0
37,interleaved,interleaved,LP-E,21,20260953,20000,100,10,,0
38,interleaved,interleaved,libre,,20260954,20000,100,10,,0
39,interleaved,interleaved,E,19,20260955,20000,100,10,,0
40,interleaved,interleaved,P,11,20260956,20000,100,10,,0
41,naive,fixed,libre,,20260957,1,1,0,,0
42,amortization,amortization,libre,,20260958,,40,0,32768,100000
43,amortization,amortization,libre,,20260959,,40,0,32768,100000
44,batched,fixed,libre,,20260960,20000,1,0,,0
45,naive,fixed,libre,,20260961,1,1,0,,0
46,interleaved,interleaved,E,19,20260962,20000,100,10,,0
47,interleaved,interleaved,E,19,20260963,20000,100,10,,0
48,interleaved,interleaved,E,19,20260964,20000,100,10,,0
