protocol,mode,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,74,20260990,libre,22,0,10,0,0,warmup,0,B,20000,2,220602,18,18,13478349486196828056
interleaved,interleaved,74,20260990,libre,22,0,10,1,0,warmup,1,A_bis,20000,1,119561,18,18,3130249372057051439
interleaved,interleaved,74,20260990,libre,22,0,10,2,0,warmup,2,A,20000,1,204813,18,6,3049475665355955673
interleaved,interleaved,74,20260990,libre,22,0,10,3,1,warmup,0,A,20000,1,90261,6,6,9939540587225669910
interleaved,interleaved,74,20260990,libre,22,0,10,4,1,warmup,1,B,20000,2,182152,6,6,10386312769655910163
interleaved,interleaved,74,20260990,libre,22,0,10,5,1,warmup,2,A_bis,20000,1,90239,6,6,11985014455136435865
interleaved,interleaved,74,20260990,libre,22,0,10,6,2,warmup,0,B,20000,2,180415,6,6,15103863685465251902
interleaved,interleaved,74,20260990,libre,22,0,10,7,2,warmup,1,A_bis,20000,1,92620,6,6,14214324674299348936
interleaved,interleaved,74,20260990,libre,22,0,10,8,2,warmup,2,A,20000,1,109732,6,6,17775750866833184282
interleaved,interleaved,74,20260990,libre,22,0,10,9,3,warmup,0,A_bis,20000,1,94971,6,6,6121059975308339525
interleaved,interleaved,74,20260990,libre,22,0,10,10,3,warmup,1,A,20000,1,100537,6,6,11595320631927057469
interleaved,interleaved,74,20260990,libre,22,0,10,11,3,warmup,2,B,20000,2,189918,6,6,2598379649514898838
interleaved,interleaved,74,20260990,libre,22,0,10,12,4,warmup,0,A_bis,20000,1,94981,6,6,12022780810655315362
interleaved,interleaved,74,20260990,libre,22,0,10,13,4,warmup,1,A,20000,1,94958,6,6,11192552663240055309
interleaved,interleaved,74,20260990,libre,22,0,10,14,4,warmup,2,B,20000,2,189926,6,6,2915345851820558290
interleaved,interleaved,74,20260990,libre,22,0,10,15,5,warmup,0,A_bis,20000,1,94980,6,6,806954586115487610
interleaved,interleaved,74,20260990,libre,22,0,10,16,5,warmup,1,B,20000,2,198086,6,6,3608691066773432713
interleaved,interleaved,74,20260990,libre,22,0,10,17,5,warmup,2,A,20000,1,94966,6,6,3911783393764391905
interleaved,interleaved,74,20260990,libre,22,0,10,18,6,warmup,0,B,20000,2,189942,6,6,15316769936395192752
interleaved,interleaved,74,20260990,libre,22,0,10,19,6,warmup,1,A_bis,20000,1,94965,6,6,11504208451927193413
interleaved,interleaved,74,20260990,libre,22,0,10,20,6,warmup,2,A,20000,1,94952,6,6,14917069271824959991
interleaved,interleaved,74,20260990,libre,22,0,10,21,7,warmup,0,A_bis,20000,1,94974,6,6,42871734102032839
interleaved,interleaved,74,20260990,libre,22,0,10,22,7,warmup,1,A,20000,1,94969,6,6,5575376193960103533
interleaved,interleaved,74,20260990,libre,22,0,10,23,7,warmup,2,B,20000,2,189940,6,6,13532258090812908109
interleaved,interleaved,74,20260990,libre,22,0,10,24,8,warmup,0,A,20000,1,102156,6,6,7606653567044483944
interleaved,interleaved,74,20260990,libre,22,0,10,25,8,warmup,1,B,20000,2,189932,6,6,7367995566192904761
interleaved,interleaved,74,20260990,libre,22,0,10,26,8,warmup,2,A_bis,20000,1,94974,6,6,3314401000489717787
interleaved,interleaved,74,20260990,libre,22,0,10,27,9,warmup,0,A_bis,20000,1,94972,6,6,9115151572058131487
interleaved,interleaved,74,20260990,libre,22,0,10,28,9,warmup,1,A,20000,1,94968,6,6,11454790991249245121
interleaved,interleaved,74,20260990,libre,22,0,10,29,9,warmup,2,B,20000,2,189889,6,6,9917615948241211675
interleaved,interleaved,74,20260990,libre,22,0,10,30,10,measure,0,B,20000,2,189938,6,6,9366066846956713660
interleaved,interleaved,74,20260990,libre,22,0,10,31,10,measure,1,A,20000,1,94971,6,6,3921452109331368059
interleaved,interleaved,74,20260990,libre,22,0,10,32,10,measure,2,A_bis,20000,1,100881,6,6,149283970727850675
interleaved,interleaved,74,20260990,libre,22,0,10,33,11,measure,0,A,20000,1,94972,6,6,13210578327678716561
interleaved,interleaved,74,20260990,libre,22,0,10,34,11,measure,1,B,20000,2,189920,6,6,7113313917945831988
interleaved,interleaved,74,20260990,libre,22,0,10,35,11,measure,2,A_bis,20000,1,94962,6,6,2661114822220608791
interleaved,interleaved,74,20260990,libre,22,0,10,36,12,measure,0,B,20000,2,191613,6,6,5675816914083661636
interleaved,interleaved,74,20260990,libre,22,0,10,37,12,measure,1,A,20000,1,94961,6,6,10199540845081875024
interleaved,interleaved,74,20260990,libre,22,0,10,38,12,measure,2,A_bis,20000,1,94992,6,6,13643889068864317990
