protocol,mode,prime,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,0,0,warmup,0,B,20000,2,401261,21,21,9747086939149343559
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,1,0,warmup,1,A_bis,20000,1,200611,21,21,16149344521432675745
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,2,0,warmup,2,A,20000,1,217774,21,21,12459693360203671071
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,3,1,warmup,0,B,20000,2,401042,21,21,10713678005993674203
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,4,1,warmup,1,A,20000,1,200522,21,21,13936718999061966927
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,5,1,warmup,2,A_bis,20000,1,200539,21,21,16032573873635797480
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,6,2,warmup,0,A_bis,20000,1,208193,21,21,5097788890187215171
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,7,2,warmup,1,B,20000,2,401048,21,21,7284536575435861396
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,8,2,warmup,2,A,20000,1,200705,21,21,4714135613261703176
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,9,3,warmup,0,B,20000,2,407750,21,21,9591490355969590042
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,10,3,warmup,1,A,20000,1,200523,21,21,6742583650714699874
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,11,3,warmup,2,A_bis,20000,1,200534,21,21,12254880272528652826
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,12,4,warmup,0,B,20000,2,401048,21,21,3417003717414730556
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,13,4,warmup,1,A,20000,1,206199,21,21,15010116156758899554
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,14,4,warmup,2,A_bis,20000,1,200808,21,21,15101487777276301930
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,15,5,warmup,0,A,20000,1,200699,21,21,10998571353545426779
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,16,5,warmup,1,A_bis,20000,1,200702,21,21,8765723265858078510
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,17,5,warmup,2,B,20000,2,408583,21,21,14809059728270517737
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,18,6,warmup,0,A_bis,20000,1,200540,21,21,11948806389521306512
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,19,6,warmup,1,B,20000,2,401020,21,21,10034010230059482392
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,20,6,warmup,2,A,20000,1,205231,21,21,308863151144929388
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,21,7,warmup,0,A_bis,20000,1,200540,21,21,12812185555609255970
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,22,7,warmup,1,B,20000,2,401021,21,21,3109420640792830174
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,23,7,warmup,2,A,20000,1,200720,21,21,17266571324232453703
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,24,8,warmup,0,A_bis,20000,1,206864,21,21,1486482838655926155
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,25,8,warmup,1,A,20000,1,200517,21,21,14653481603965146788
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,26,8,warmup,2,B,20000,2,401164,21,21,2473747693125917109
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,27,9,warmup,0,B,20000,2,407110,21,21,5415755681572809239
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,28,9,warmup,1,A_bis,20000,1,200522,21,21,8714451797793208951
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,29,9,warmup,2,A,20000,1,200662,21,21,6253509901876708982
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,30,10,measure,0,B,20000,2,401019,21,21,10194532306456210750
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,31,10,measure,1,A,20000,1,209048,21,21,12177737444716481373
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,32,10,measure,2,A_bis,20000,1,200543,21,21,3989104487142557633
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,33,11,measure,0,B,20000,2,401140,21,21,10850050937875219002
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,34,11,measure,1,A,20000,1,200539,21,21,6430111616579593127
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,35,11,measure,2,A_bis,20000,1,233111,21,21,235471170493410414
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,36,12,measure,0,A_bis,20000,1,200512,21,21,6778987151327669519
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,37,12,measure,1,A,20000,1,200654,21,21,7580145757107773926
