run_id,protocol,mode,affinity,cpu,seed,batch,rounds,warmup_rounds,max_batch,warmup_ops,prime
1,naive,fixed,libre,,20260917,1,1,0,,0,none
2,naive,fixed,libre,,20260918,1,1,0,,0,clock
3,naive,fixed,libre,,20260919,1,1,0,,0,none
4,naive,fixed,libre,,20260920,1,1,0,,0,clock
5,naive,fixed,libre,,20260921,1,1,0,,0,full
6,naive,fixed,libre,,20260922,1,1,0,,0,clock
7,naive,fixed,libre,,20260923,1,1,0,,0,clock
8,naive,fixed,libre,,20260924,1,1,0,,0,clock
9,naive,fixed,libre,,20260925,1,1,0,,0,code
10,naive,fixed,libre,,20260926,1,1,0,,0,clock
11,naive,fixed,libre,,20260927,1,1,0,,0,none
12,naive,fixed,libre,,20260928,1,1,0,,0,clock
13,naive,fixed,libre,,20260929,1,1,0,,0,code
14,naive,fixed,libre,,20260930,1,1,0,,0,full
15,naive,fixed,libre,,20260931,1,1,0,,0,full
16,naive,fixed,libre,,20260932,1,1,0,,0,code
17,naive,fixed,libre,,20260933,1,1,0,,0,full
18,naive,fixed,libre,,20260934,1,1,0,,0,clock
19,naive,fixed,libre,,20260935,1,1,0,,0,code
20,naive,fixed,libre,,20260936,1,1,0,,0,code
21,naive,fixed,libre,,20260937,1,1,0,,0,clock
22,naive,fixed,libre,,20260938,1,1,0,,0,code
23,naive,fixed,libre,,20260939,1,1,0,,0,full
24,naive,fixed,libre,,20260940,1,1,0,,0,clock
25,naive,fixed,libre,,20260941,1,1,0,,0,code
26,naive,fixed,libre,,20260942,1,1,0,,0,full
27,naive,fixed,libre,,20260943,1,1,0,,0,full
28,naive,fixed,libre,,20260944,1,1,0,,0,none
29,naive,fixed,libre,,20260945,1,1,0,,0,none
30,naive,fixed,libre,,20260946,1,1,0,,0,full
31,naive,fixed,libre,,20260947,1,1,0,,0,code
32,naive,fixed,libre,,20260948,1,1,0,,0,full
33,naive,fixed,libre,,20260949,1,1,0,,0,none
34,naive,fixed,libre,,20260950,1,1,0,,0,none
35,naive,fixed,libre,,20260951,1,1,0,,0,code
36,naive,fixed,libre,,20260952,1,1,0,,0,full
37,naive,fixed,libre,,20260953,1,1,0,,0,full
38,naive,fixed,libre,,20260954,1,1,0,,0,code
39,naive,fixed,libre,,20260955,1,1,0,,0,none
40,naive,fixed,libre,,20260956,1,1,0,,0,none
41,naive,fixed,libre,,20260957,1,1,0,,0,clock
42,naive,fixed,libre,,20260958,1,1,0,,0,code
43,naive,fixed,libre,,20260959,1,1,0,,0,full
44,naive,fixed,libre,,20260960,1,1,0,,0,code
45,naive,fixed,libre,,20260961,1,1,0,,0,code
46,naive,fixed,libre,,20260962,1,1,0,,0,clock
47,naive,fixed,libre,,20260963,1,1,0,,0,none
48,naive,fixed,libre,,20260964,1,1,0,,0,clock
49,naive,fixed,libre,,20260965,1,1,0,,0,full
50,naive,fixed,libre,,20260966,1,1,0,,0,clock
51,naive,fixed,libre,,20260967,1,1,0,,0,none
52,naive,fixed,libre,,20260968,1,1,0,,0,none
53,naive,fixed,libre,,20260969,1,1,0,,0,clock
