run_id,protocol,mode,affinity,cpu,seed,batch,rounds,warmup_rounds,max_batch,warmup_ops
1,amortization,amortization,libre,,20260917,,10,0,1024,100000
2,interleaved,interleaved,P,11,20260918,20000,30,5,,0
3,batched,fixed,libre,,20260919,20000,1,0,,0
4,amortization,amortization,libre,,20260920,,10,0,1024,100000
5,interleaved,interleaved,libre,,20260921,20000,30,5,,0
6,naive,fixed,libre,,20260922,1,1,0,,0
7,interleaved,interleaved,LP-E,21,20260923,20000,30,5,,0
8,interleaved,interleaved,P,11,20260924,20000,30,5,,0
9,interleaved,interleaved,libre,,20260925,20000,30,5,,0
10,interleaved,interleaved,libre,,20260926,20000,30,5,,0
11,batched,fixed,libre,,20260927,20000,1,0,,0
12,naive,fixed,libre,,20260928,1,1,0,,0
13,naive,fixed,libre,,20260929,1,1,0,,0
14,interleaved,interleaved,E,19,20260930,20000,30,5,,0
15,batched,fixed,libre,,20260931,20000,1,0,,0
16,batched,fixed,libre,,20260932,20000,1,0,,0
17,batched,fixed,libre,,20260933,20000,1,0,,0
18,interleaved,interleaved,libre,,20260934,20000,30,5,,0
19,naive,fixed,libre,,20260935,1,1,0,,0
20,interleaved,interleaved,libre,,20260936,20000,30,5,,0
21,naive,fixed,libre,,20260937,1,1,0,,0
22,interleaved,interleaved,LP-E,21,20260938,20000,30,5,,0
23,amortization,amortization,libre,,20260939,,10,0,1024,100000
24,interleaved,interleaved,E,19,20260940,20000,30,5,,0
