protocol,mode,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,20,20260936,libre,22,0,5,0,0,warmup,0,B,20000,2,220626,18,18,9356367638244664789
interleaved,interleaved,20,20260936,libre,22,0,5,1,0,warmup,1,A_bis,20000,1,119318,18,18,15521564679072444690
interleaved,interleaved,20,20260936,libre,22,0,5,2,0,warmup,2,A,20000,1,110286,18,18,17946757868890252421
interleaved,interleaved,20,20260936,libre,22,0,5,3,1,warmup,0,A_bis,20000,1,110246,18,18,6602778807501961837
interleaved,interleaved,20,20260936,libre,22,0,5,4,1,warmup,1,A,20000,1,110269,18,18,1679239686713258218
interleaved,interleaved,20,20260936,libre,22,0,5,5,1,warmup,2,B,20000,2,220505,18,18,4838863749182980206
interleaved,interleaved,20,20260936,libre,22,0,5,6,2,warmup,0,A,20000,1,110269,18,18,4991803131804609612
interleaved,interleaved,20,20260936,libre,22,0,5,7,2,warmup,1,A_bis,20000,1,110286,18,18,2321101328130462043
interleaved,interleaved,20,20260936,libre,22,0,5,8,2,warmup,2,B,20000,2,225217,18,18,17415820020557597192
interleaved,interleaved,20,20260936,libre,22,0,5,9,3,warmup,0,B,20000,2,220527,18,18,18091943419868357613
interleaved,interleaved,20,20260936,libre,22,0,5,10,3,warmup,1,A,20000,1,110251,18,18,8443133159517772592
interleaved,interleaved,20,20260936,libre,22,0,5,11,3,warmup,2,A_bis,20000,1,110283,18,18,15815894562798191728
interleaved,interleaved,20,20260936,libre,22,0,5,12,4,warmup,0,B,20000,2,220509,18,18,14127652972405417549
interleaved,interleaved,20,20260936,libre,22,0,5,13,4,warmup,1,A,20000,1,110273,18,18,10290459624643617984
interleaved,interleaved,20,20260936,libre,22,0,5,14,4,warmup,2,A_bis,20000,1,110278,18,18,12484009538285804544
interleaved,interleaved,20,20260936,libre,22,0,5,15,5,measure,0,A,20000,1,113847,18,18,6511160375739835434
interleaved,interleaved,20,20260936,libre,22,0,5,16,5,measure,1,A_bis,20000,1,110263,18,18,1205740301882138351
interleaved,interleaved,20,20260936,libre,22,0,5,17,5,measure,2,B,20000,2,220522,18,18,10412396942452642494
interleaved,interleaved,20,20260936,libre,22,0,5,18,6,measure,0,B,20000,2,220516,18,18,5516751735731729101
interleaved,interleaved,20,20260936,libre,22,0,5,19,6,measure,1,A_bis,20000,1,110246,18,18,11276577010444513807
interleaved,interleaved,20,20260936,libre,22,0,5,20,6,measure,2,A,20000,1,110254,18,18,9981366833435707621
interleaved,interleaved,20,20260936,libre,22,0,5,21,7,measure,0,A_bis,20000,1,110277,18,18,18400021028674109916
interleaved,interleaved,20,20260936,libre,22,0,5,22,7,measure,1,B,20000,2,227313,18,18,17783910708548400135
interleaved,interleaved,20,20260936,libre,22,0,5,23,7,measure,2,A,20000,1,110263,18,18,12925569749964935933
interleaved,interleaved,20,20260936,libre,22,0,5,24,8,measure,0,B,20000,2,220524,18,18,12292111606163853073
interleaved,interleaved,20,20260936,libre,22,0,5,25,8,measure,1,A,20000,1,110261,18,18,4121621876148137174
interleaved,interleaved,20,20260936,libre,22,0,5,26,8,measure,2,A_bis,20000,1,110283,18,18,13397211878680046125
interleaved,interleaved,20,20260936,libre,22,0,5,27,9,measure,0,B,20000,2,220501,18,18,308438184840670752
interleaved,interleaved,20,20260936,libre,22,0,5,28,9,measure,1,A,20000,1,112721,18,18,7461420706144398955
interleaved,interleaved,20,20260936,libre,22,0,5,29,9,measure,2,A_bis,20000,1,110261,18,18,14144670411473748516
interleaved,interleaved,20,20260936,libre,22,0,5,30,10,measure,0,B,20000,2,220526,18,18,3317404394282926790
interleaved,interleaved,20,20260936,libre,22,0,5,31,10,measure,1,A,20000,1,110263,18,18,17612260679294649602
interleaved,interleaved,20,20260936,libre,22,0,5,32,10,measure,2,A_bis,20000,1,110249,18,18,3245648351263951272
interleaved,interleaved,20,20260936,libre,22,0,5,33,11,measure,0,B,20000,2,220537,18,18,5290520091054997446
interleaved,interleaved,20,20260936,libre,22,0,5,34,11,measure,1,A_bis,20000,1,110250,18,18,16918413912359756207
interleaved,interleaved,20,20260936,libre,22,0,5,35,11,measure,2,A,20000,1,227926,18,8,6697237366664660331
interleaved,interleaved,20,20260936,libre,22,0,5,36,12,measure,0,A,20000,1,90263,8,8,6813953209828902390
interleaved,interleaved,20,20260936,libre,22,0,5,37,12,measure,1,B,20000,2,180462,8,8,16000951264343531709
interleaved,interleaved,20,20260936,libre,22,0,5,38,12,measure,2,A_bis,20000,1,90236,8,8,12769083120759709692
interleaved,interleaved,20,20260936,libre,22,0,5,39,13,measure,0,A,20000,1,90239,8,8,14184249107565842683
interleaved,interleaved,20,20260936,libre,22,0,5,40,13,measure,1,B,20000,2,180429,8,8,7049144752640134019
interleaved,interleaved,20,20260936,libre,22,0,5,41,13,measure,2,A_bis,20000,1,90219,8,8,4436123647908086817
interleaved,interleaved,20,20260936,libre,22,0,5,42,14,measure,0,B,20000,2,189665,8,8,4794863500190796408
interleaved,interleaved,20,20260936,libre,22,0,5,43,14,measure,1,A_bis,20000,1,90239,8,8,11015635678794098676
interleaved,interleaved,20,20260936,libre,22,0,5,44,14,measure,2,A,20000,1,90224,8,8,13835620505538636189
interleaved,interleaved,20,20260936,libre,22,0,5,45,15,measure,0,A_bis,20000,1,90228,8,8,17455995266282856010
interleaved,interleaved,20,20260936,libre,22,0,5,46,15,measure,1,B,20000,2,180415,8,8,7232472580237828521
interleaved,interleaved,20,20260936,libre,22,0,5,47,15,measure,2,A,20000,1,90229,8,8,9877478533285119003
interleaved,interleaved,20,20260936,libre,22,0,5,48,16,measure,0,B,20000,2,180412,8,8,6864591293152119860
interleaved,interleaved,20,20260936,libre,22,0,5,49,16,measure,1,A_bis,20000,1,90219,8,8,13863473328937045803
interleaved,interleaved,20,20260936,libre,22,0,5,50,16,measure,2,A,20000,1,95777,8,8,11962235194644621620
interleaved,interleaved,20,20260936,libre,22,0,5,51,17,measure,0,A_bis,20000,1,90276,8,8,13996552669010987928
interleaved,interleaved,20,20260936,libre,22,0,5,52,17,measure,1,A,20000,1,90241,8,8,6326722983719202205
interleaved,interleaved,20,20260936,libre,22,0,5,53,17,measure,2,B,20000,2,180416,8,8,3190045363476812012
interleaved,interleaved,20,20260936,libre,22,0,5,54,18,measure,0,A,20000,1,90220,8,8,14130473462119314999
interleaved,interleaved,20,20260936,libre,22,0,5,55,18,measure,1,B,20000,2,180435,8,8,8942605012308104585
interleaved,interleaved,20,20260936,libre,22,0,5,56,18,measure,2,A_bis,20000,1,90220,8,8,12960362291505955860
interleaved,interleaved,20,20260936,libre,22,0,5,57,19,measure,0,B,20000,2,182095,8,8,4664498187434411201
interleaved,interleaved,20,20260936,libre,22,0,5,58,19,measure,1,A_bis,20000,1,96166,8,8,8762626165218682011
interleaved,interleaved,20,20260936,libre,22,0,5,59,19,measure,2,A,20000,1,90218,8,8,13108796336176750024
interleaved,interleaved,20,20260936,libre,22,0,5,60,20,measure,0,A_bis,20000,1,90209,8,8,7254308726318676379
interleaved,interleaved,20,20260936,libre,22,0,5,61,20,measure,1,B,20000,2,180429,8,8,3079854625586571313
interleaved,interleaved,20,20260936,libre,22,0,5,62,20,measure,2,A,20000,1,90217,8,8,2501649724113016084
interleaved,interleaved,20,20260936,libre,22,0,5,63,21,measure,0,A,20000,1,90229,8,8,8251425276509729707
interleaved,interleaved,20,20260936,libre,22,0,5,64,21,measure,1,B,20000,2,180434,8,8,2238101493655326599
interleaved,interleaved,20,20260936,libre,22,0,5,65,21,measure,2,A_bis,20000,1,90220,8,8,9081377840712322834
interleaved,interleaved,20,20260936,libre,22,0,5,66,22,measure,0,A_bis,20000,1,90232,8,8,6697268783025036571
interleaved,interleaved,20,20260936,libre,22,0,5,67,22,measure,1,A,20000,1,93078,8,8,3261410346123426094
interleaved,interleaved,20,20260936,libre,22,0,5,68,22,measure,2,B,20000,2,180425,8,8,11257109256843993570
interleaved,interleaved,20,20260936,libre,22,0,5,69,23,measure,0,B,20000,2,180420,8,8,10181427197301258045
interleaved,interleaved,20,20260936,libre,22,0,5,70,23,measure,1,A_bis,20000,1,90213,8,8,16455645425458588717
interleaved,interleaved,20,20260936,libre,22,0,5,71,23,measure,2,A,20000,1,90222,8,8,8118262287440322968
interleaved,interleaved,20,20260936,libre,22,0,5,72,24,measure,0,A_bis,20000,1,90219,8,8,787585857747392581
interleaved,interleaved,20,20260936,libre,22,0,5,73,24,measure,1,A,20000,1,90218,8,8,14559203971181650044
interleaved,interleaved,20,20260936,libre,22,0,5,74,24,measure,2,B,20000,2,180431,8,8,5456241205320011360
interleaved,interleaved,20,20260936,libre,22,0,5,75,25,measure,0,B,20000,2,184633,8,8,636819686137482248
interleaved,interleaved,20,20260936,libre,22,0,5,76,25,measure,1,A_bis,20000,1,90220,8,8,5225753738701154959
interleaved,interleaved,20,20260936,libre,22,0,5,77,25,measure,2,A,20000,1,90218,8,8,8202172523795309642
interleaved,interleaved,20,20260936,libre,22,0,5,78,26,measure,0,A_bis,20000,1,90217,8,8,9131836666805494437
interleaved,interleaved,20,20260936,libre,22,0,5,79,26,measure,1,B,20000,2,180424,8,8,386856018769119447
interleaved,interleaved,20,20260936,libre,22,0,5,80,26,measure,2,A,20000,1,90219,8,8,8711628269634483294
interleaved,interleaved,20,20260936,libre,22,0,5,81,27,measure,0,A_bis,20000,1,90236,8,8,16586709986417854403
interleaved,interleaved,20,20260936,libre,22,0,5,82,27,measure,1,B,20000,2,180435,8,8,4896219749679366381
interleaved,interleaved,20,20260936,libre,22,0,5,83,27,measure,2,A,20000,1,93366,8,8,4638755303264282521
interleaved,interleaved,20,20260936,libre,22,0,5,84,28,measure,0,B,20000,2,180429,8,8,13868209325187609991
interleaved,interleaved,20,20260936,libre,22,0,5,85,28,measure,1,A_bis,20000,1,90222,8,8,14584109115887957155
interleaved,interleaved,20,20260936,libre,22,0,5,86,28,measure,2,A,20000,1,90210,8,8,17005218460566764400
interleaved,interleaved,20,20260936,libre,22,0,5,87,29,measure,0,B,20000,2,180432,8,8,2922771521913200139
interleaved,interleaved,20,20260936,libre,22,0,5,88,29,measure,1,A,20000,1,90214,8,8,3152502022646207043
interleaved,interleaved,20,20260936,libre,22,0,5,89,29,measure,2,A_bis,20000,1,90217,8,8,3914927083196284197
