batch_size,processes,q25_ns_per_op,median_ns_per_op,q75_ns_per_op,model_ns_per_op,within_process_relative_iqr,between_process_relative_iqr,between_process_same_core_relative_iqr,median_ns_per_op_P,median_ns_per_op_E
1,20,40.3750,41.0000,41.0000,35.4862,0.0305,0.0152,0.0123,40.7500,41.0000
2,20,20.7500,21.0000,21.3125,20.2447,0.0476,0.0268,0.0357,20.5000,21.2500
4,20,11.0000,11.5000,11.5625,12.6239,0.0506,0.0489,0.0305,11.0000,11.5000
8,20,7.0938,7.9062,8.1250,8.8135,0.0836,0.1304,0.0056,7.0000,8.1250
16,20,6.6250,6.7812,6.8203,6.9083,0.1287,0.0288,0.0785,5.8438,6.8125
32,20,5.4375,6.0156,6.1562,5.9557,0.0821,0.1195,0.0487,5.2422,6.1875
64,20,4.8418,5.3750,5.8379,5.4794,0.0548,0.1853,0.0243,4.8281,5.8438
128,20,4.6797,5.2031,5.6738,5.2413,0.0771,0.1911,0.0018,4.6680,5.6797
256,20,4.5938,4.9746,5.5942,5.1222,0.0553,0.2011,0.0019,4.5879,5.5977
512,20,4.5576,5.3022,5.5513,5.0627,0.1691,0.1874,0.0273,4.5518,5.5537
1024,20,4.5339,5.1611,5.5319,5.0329,0.0710,0.1934,0.0271,4.5298,5.5376
2048,20,4.5235,4.5422,5.5221,5.0180,0.0818,0.2198,0.0009,4.5197,5.5249
4096,20,4.5179,5.1637,5.5172,5.0106,0.0698,0.1935,0.0004,4.5162,5.5179
8192,20,4.5135,5.4112,5.5157,5.0068,0.1352,0.1852,0.0263,4.5131,5.5157
16384,20,4.5123,5.2630,5.5134,5.0050,0.0829,0.1902,0.0009,4.5116,5.5135
32768,20,4.5733,5.3138,5.5127,5.0041,0.0868,0.1768,0.0263,4.5106,5.5128
