batch_size,processes,q25_ns_per_op,median_ns_per_op,q75_ns_per_op,model_ns_per_op,within_process_relative_iqr,between_process_relative_iqr,between_process_same_core_relative_iqr,median_ns_per_op_P,median_ns_per_op_E
1,20,38.0000,39.0000,39.0000,34.6554,0.1046,0.0256,0.0289,36.5000,39.0000
2,20,20.4375,21.0000,21.0000,19.9241,0.0634,0.0268,0.0090,20.0000,21.0000
4,20,10.7500,11.5000,11.5000,12.5584,0.0803,0.0652,0.0217,10.5000,11.5000
8,20,7.2188,7.9375,8.0156,8.8756,0.0841,0.1004,0.0189,7.0000,8.0938
16,20,6.6172,6.7500,6.7656,7.0342,0.1200,0.0220,0.0695,6.0781,6.8125
32,20,5.4688,6.1328,6.1562,6.1135,0.0843,0.1121,0.0292,5.2812,6.1562
64,20,4.8340,5.8125,5.8281,5.6531,0.0789,0.1710,0.0032,4.8281,5.8281
128,20,4.6797,5.6641,5.6719,5.4230,0.0598,0.1752,0.0105,4.6719,5.6738
256,20,4.5991,5.5811,5.5938,5.3079,0.0731,0.1782,0.0020,4.5918,5.5938
512,20,4.5596,5.3711,5.5520,5.2503,0.0786,0.1848,0.0015,4.5522,5.5557
1024,20,4.5341,4.7756,5.5331,5.2216,0.1247,0.2092,0.0014,4.5315,5.5361
2048,20,4.5260,5.2733,5.5227,5.2072,0.0527,0.1890,0.0052,4.5226,5.5259
4096,20,4.5180,5.4144,5.5166,5.2000,0.0830,0.1844,0.0017,4.5170,5.5178
8192,20,4.6017,5.2635,5.5146,5.1964,0.1218,0.1734,0.0035,4.5129,5.5152
16384,20,4.5119,5.5129,5.5133,5.1946,0.0927,0.1816,0.0051,4.5116,5.5134
32768,20,4.5402,5.0677,5.5127,5.1937,0.1053,0.1919,0.0173,4.5107,5.5128
