round,phase,processes,q25_normalized_cost,median_normalized_cost,q75_normalized_cost,share_processes_off_P
0,warmup,30,1.1617,1.2224,1.2799,0.833
1,warmup,30,1.1612,1.2222,1.2825,0.800
2,warmup,30,1.1699,1.2222,1.2702,0.767
3,warmup,30,1.1625,1.2222,1.2369,0.767
4,warmup,30,1.1611,1.2221,1.2223,0.700
5,warmup,30,1.1610,1.2221,1.2222,0.700
6,warmup,30,1.1249,1.2221,1.2223,0.667
7,warmup,30,1.0777,1.2221,1.2223,0.667
8,warmup,30,1.0514,1.2219,1.2223,0.667
9,warmup,30,1.0515,1.2221,1.2223,0.667
10,measure,30,1.0164,1.2220,1.2223,0.633
11,measure,30,1.0000,1.2126,1.2252,0.567
12,measure,30,1.0001,1.1233,1.2223,0.500
13,measure,30,1.0000,1.1624,1.2313,0.500
14,measure,30,1.0001,1.1610,1.2222,0.433
15,measure,30,1.0000,1.1609,1.2222,0.433
16,measure,30,1.0001,1.0535,1.2260,0.400
17,measure,30,1.0000,1.0353,1.2221,0.367
18,measure,30,1.0000,1.0144,1.1611,0.300
19,measure,30,1.0000,1.0091,1.1904,0.267
20,measure,30,1.0000,1.0001,1.1610,0.267
21,measure,30,1.0000,1.0001,1.1610,0.267
22,measure,30,1.0000,1.0002,1.1610,0.267
23,measure,30,0.9999,1.0000,1.1759,0.200
24,measure,30,1.0000,1.0001,1.1011,0.200
25,measure,30,1.0000,1.0001,1.1040,0.200
26,measure,30,0.9999,1.0000,1.0555,0.167
27,measure,30,1.0000,1.0001,1.0474,0.133
28,measure,30,1.0000,1.0001,1.0472,0.133
29,measure,30,0.9999,1.0001,1.0303,0.133
30,measure,30,0.9999,1.0000,1.0186,0.100
31,measure,30,1.0000,1.0000,1.0135,0.100
32,measure,30,0.9999,1.0000,1.0385,0.100
33,measure,30,0.9999,1.0000,1.0375,0.100
34,measure,30,1.0000,1.0000,1.0426,0.100
35,measure,30,1.0000,1.0001,1.0519,0.100
36,measure,30,1.0000,1.0001,1.0633,0.100
37,measure,30,1.0000,1.0000,1.0401,0.067
38,measure,30,0.9999,1.0000,1.0519,0.067
39,measure,30,1.0000,1.0000,1.0003,0.033
40,measure,30,0.9999,1.0000,1.0003,0.033
41,measure,30,1.0000,1.0000,1.0070,0.033
42,measure,30,0.9999,1.0000,1.0001,0.033
43,measure,30,1.0000,1.0000,1.0266,0.033
44,measure,30,0.9999,1.0000,1.0012,0.033
45,measure,30,0.9999,1.0000,1.0001,0.033
46,measure,30,0.9999,1.0000,1.0278,0.033
47,measure,30,0.9999,1.0000,1.0016,0.033
48,measure,30,1.0000,1.0000,1.0001,0.033
49,measure,30,0.9999,1.0000,1.0001,0.033
50,measure,30,0.9999,1.0000,1.0002,0.033
51,measure,30,0.9999,1.0000,1.0002,0.033
52,measure,30,0.9999,1.0000,1.0000,0.033
53,measure,30,0.9999,1.0000,1.0001,0.033
54,measure,30,0.9999,1.0000,1.0001,0.033
55,measure,30,1.0000,1.0000,1.0001,0.033
56,measure,30,0.9999,1.0000,1.0000,0.033
57,measure,30,0.9999,1.0000,1.0001,0.033
58,measure,30,0.9999,1.0000,1.0000,0.033
59,measure,30,0.9999,1.0000,1.0001,0.033
60,measure,30,0.9999,1.0000,1.0001,0.033
61,measure,30,0.9999,1.0000,1.0001,0.033
62,measure,30,0.9999,1.0000,1.0001,0.033
63,measure,30,0.9998,1.0000,1.0001,0.033
64,measure,30,0.9999,1.0000,1.0001,0.033
65,measure,30,0.9999,1.0000,1.0002,0.033
66,measure,30,0.9839,1.0000,1.0000,0.033
67,measure,30,0.9905,0.9999,1.0000,0.033
68,measure,30,0.9872,1.0000,1.0000,0.000
69,measure,30,0.9829,0.9999,1.0000,0.000
70,measure,30,0.9998,1.0000,1.0000,0.000
71,measure,30,0.9999,1.0000,1.0000,0.000
72,measure,30,0.9999,1.0000,1.0001,0.000
73,measure,30,0.9997,1.0000,1.0001,0.000
74,measure,30,0.9999,1.0000,1.0002,0.000
75,measure,30,0.9792,1.0000,1.0000,0.000
76,measure,30,0.9583,0.9999,1.0000,0.000
77,measure,30,0.9699,0.9999,1.0000,0.000
78,measure,30,0.9999,1.0000,1.0001,0.000
79,measure,30,0.9999,1.0000,1.0001,0.000
80,measure,30,0.9998,1.0000,1.0000,0.000
81,measure,30,0.9999,1.0000,1.0000,0.000
82,measure,30,0.9830,1.0000,1.0000,0.000
83,measure,30,0.9643,1.0000,1.0000,0.000
84,measure,30,0.9700,1.0000,1.0000,0.000
85,measure,30,0.9937,1.0000,1.0000,0.000
86,measure,30,0.9998,1.0000,1.0001,0.000
87,measure,30,0.9998,1.0000,1.0001,0.000
88,measure,30,0.9771,0.9999,1.0000,0.000
89,measure,30,0.9998,1.0000,1.0000,0.000
90,measure,30,0.9998,1.0000,1.0000,0.000
91,measure,30,0.9597,0.9999,1.0000,0.000
92,measure,30,0.9631,0.9999,1.0000,0.000
93,measure,30,0.9998,1.0000,1.0000,0.000
94,measure,30,0.9998,1.0000,1.0000,0.000
95,measure,30,0.9657,1.0000,1.0000,0.000
96,measure,30,0.9227,0.9999,1.0001,0.000
97,measure,30,0.9525,0.9999,1.0000,0.000
98,measure,30,0.9529,0.9999,1.0000,0.000
99,measure,30,0.9526,1.0000,1.0000,0.000
