round,phase,processes,q25_normalized_cost,median_normalized_cost,q75_normalized_cost,share_processes_off_P
0,warmup,30,1.2220,1.2224,1.2236,0.867
1,warmup,30,1.2220,1.2222,1.2222,0.867
2,warmup,30,1.2219,1.2222,1.2224,0.867
3,warmup,30,1.2220,1.2222,1.2223,0.867
4,warmup,30,1.2218,1.2222,1.2223,0.800
5,warmup,30,1.1943,1.2221,1.2223,0.733
6,warmup,30,1.1175,1.2220,1.2223,0.700
7,warmup,30,1.0077,1.2220,1.2222,0.633
8,warmup,30,1.0027,1.2219,1.2221,0.633
9,warmup,30,1.0008,1.2191,1.2223,0.567
10,measure,30,1.0001,1.2015,1.2223,0.567
11,measure,30,1.0001,1.2192,1.2231,0.567
12,measure,30,1.0000,1.2020,1.2222,0.533
13,measure,30,1.0000,1.1370,1.2222,0.533
14,measure,30,1.0000,1.0477,1.2222,0.500
15,measure,30,1.0000,1.0518,1.2221,0.500
16,measure,30,1.0000,1.0210,1.2221,0.500
17,measure,30,1.0000,1.0124,1.2221,0.500
18,measure,30,1.0000,1.0618,1.2222,0.500
19,measure,30,1.0000,1.0010,1.2221,0.433
20,measure,30,1.0000,1.0118,1.2220,0.433
21,measure,30,1.0000,1.0317,1.2222,0.400
22,measure,30,1.0000,1.0007,1.2220,0.367
23,measure,30,1.0000,1.0001,1.1296,0.267
24,measure,30,1.0000,1.0001,1.1828,0.267
25,measure,30,1.0000,1.0001,1.1678,0.267
26,measure,30,1.0000,1.0000,1.0620,0.267
27,measure,30,1.0000,1.0000,1.0002,0.267
28,measure,30,1.0000,1.0001,1.0003,0.267
29,measure,30,1.0000,1.0000,1.1445,0.267
30,measure,30,1.0000,1.0000,1.0072,0.267
31,measure,30,1.0000,1.0000,1.1323,0.267
32,measure,30,1.0000,1.0000,1.1390,0.267
33,measure,30,1.0000,1.0000,1.0032,0.200
34,measure,30,1.0000,1.0000,1.0001,0.200
35,measure,30,1.0000,1.0000,1.0002,0.200
36,measure,30,1.0000,1.0000,1.0002,0.167
37,measure,30,1.0000,1.0000,1.0002,0.167
38,measure,30,1.0000,1.0000,1.0001,0.167
39,measure,30,1.0000,1.0000,1.0001,0.100
40,measure,30,1.0000,1.0000,1.0001,0.100
41,measure,30,1.0000,1.0000,1.0001,0.100
42,measure,30,1.0000,1.0000,1.0000,0.100
43,measure,30,1.0000,1.0000,1.0000,0.100
44,measure,30,1.0000,1.0000,1.0000,0.100
45,measure,30,1.0000,1.0000,1.0000,0.100
46,measure,30,1.0000,1.0000,1.0000,0.067
47,measure,30,1.0000,1.0000,1.0000,0.067
48,measure,30,1.0000,1.0000,1.0000,0.033
49,measure,30,0.9999,1.0000,1.0000,0.033
50,measure,30,0.9999,1.0000,1.0000,0.033
51,measure,30,0.9999,1.0000,1.0000,0.033
52,measure,30,1.0000,1.0000,1.0001,0.033
53,measure,30,0.9999,1.0000,1.0000,0.033
54,measure,30,0.9999,1.0000,1.0000,0.033
55,measure,30,1.0000,1.0000,1.0001,0.033
56,measure,30,1.0000,1.0000,1.0000,0.033
57,measure,30,0.9999,1.0000,1.0001,0.033
58,measure,30,0.9999,1.0000,1.0000,0.033
59,measure,30,0.9999,1.0000,1.0000,0.033
60,measure,30,1.0000,1.0000,1.0001,0.033
61,measure,30,1.0000,1.0000,1.0001,0.033
62,measure,30,1.0000,1.0000,1.0001,0.033
63,measure,30,1.0000,1.0000,1.0000,0.033
64,measure,30,0.9999,1.0000,1.0000,0.033
65,measure,30,1.0000,1.0000,1.0001,0.033
66,measure,30,0.9999,1.0000,1.0000,0.033
67,measure,30,0.9999,1.0000,1.0000,0.033
68,measure,30,0.9999,1.0000,1.0000,0.033
69,measure,30,0.9999,1.0000,1.0001,0.033
70,measure,30,0.9999,1.0000,1.0000,0.033
71,measure,30,0.9999,1.0000,1.0000,0.033
72,measure,30,0.9999,1.0000,1.0000,0.033
73,measure,30,1.0000,1.0000,1.0000,0.033
74,measure,30,0.9999,1.0000,1.0000,0.033
75,measure,30,0.9999,1.0000,1.0000,0.033
76,measure,30,0.9999,1.0000,1.0000,0.033
77,measure,30,0.9999,1.0000,1.0001,0.033
78,measure,30,0.9999,1.0000,1.0000,0.000
79,measure,30,0.9998,1.0000,1.0000,0.000
80,measure,30,0.9998,1.0000,1.0000,0.000
81,measure,30,0.9999,1.0000,1.0000,0.000
82,measure,30,0.9999,1.0000,1.0000,0.000
83,measure,30,0.9999,1.0000,1.0000,0.000
84,measure,30,0.9999,1.0000,1.0000,0.000
85,measure,30,0.9998,1.0000,1.0000,0.000
86,measure,30,0.9999,1.0000,1.0000,0.000
87,measure,30,0.9999,1.0000,1.0000,0.000
88,measure,30,0.9998,1.0000,1.0000,0.000
89,measure,30,0.9998,1.0000,1.0000,0.000
90,measure,30,0.9998,1.0000,1.0000,0.000
91,measure,30,0.9998,1.0000,1.0001,0.000
92,measure,30,0.9998,1.0000,1.0000,0.000
93,measure,30,0.9998,1.0000,1.0000,0.000
94,measure,30,0.9998,1.0000,1.0000,0.000
95,measure,30,0.9963,1.0000,1.0000,0.000
96,measure,30,0.9996,1.0000,1.0000,0.000
97,measure,30,0.9962,1.0000,1.0000,0.000
98,measure,30,0.9964,1.0000,1.0000,0.000
99,measure,30,0.9996,0.9999,1.0000,0.000
