batch_size,processes,q25_ns_per_op,median_ns_per_op,q75_ns_per_op,model_ns_per_op,within_process_relative_iqr,between_process_relative_iqr,between_process_same_core_relative_iqr
1,3,38.0000,41.0000,43.5000,35.2799,0.0217,0.1341,nan
2,3,20.7500,21.5000,23.1250,20.2786,0.0202,0.1105,nan
4,3,11.1250,11.5000,12.5000,12.7779,0.0435,0.1196,nan
8,3,7.5312,8.0625,8.7812,9.0275,0.0155,0.1550,nan
16,3,6.2500,6.7500,7.3750,7.1524,0.0117,0.1667,nan
32,3,5.6562,6.1875,6.7109,6.2148,0.0046,0.1705,nan
64,3,5.3203,5.8281,6.3438,5.7460,0.0027,0.1756,nan
128,3,5.1660,5.6680,6.1738,5.5116,0.0024,0.1778,nan
256,3,5.0957,5.5957,6.0898,5.3944,0.0016,0.1777,nan
512,3,5.0483,5.5498,6.0444,5.3358,0.0021,0.1795,nan
1024,3,5.0308,5.5312,6.0178,5.3065,0.0015,0.1785,nan
