round,phase,processes,q25_normalized_cost,median_normalized_cost,q75_normalized_cost,share_processes_off_P
0,warmup,5,1.1613,1.2222,1.2227,0.800
1,warmup,5,1.0246,1.2220,1.2221,0.600
2,warmup,5,0.9999,1.2221,1.2222,0.600
3,warmup,5,1.0135,1.2221,1.2222,0.600
4,warmup,5,1.0000,1.2221,1.2222,0.600
5,measure,5,0.9999,1.2221,1.2222,0.600
6,measure,5,1.0000,1.2218,1.2220,0.600
7,measure,5,0.9999,1.2221,1.2222,0.600
8,measure,5,1.0001,1.0003,1.2222,0.400
9,measure,5,1.0000,1.0002,1.0002,0.200
10,measure,5,1.0000,1.0000,1.0000,0.200
11,measure,5,1.0000,1.0000,1.0001,0.200
12,measure,5,1.0000,1.0000,1.0001,0.000
13,measure,5,1.0000,1.0000,1.0000,0.000
14,measure,5,1.0000,1.0001,1.0001,0.000
15,measure,5,0.9999,0.9999,1.0000,0.000
16,measure,5,0.9999,1.0000,1.0000,0.000
17,measure,5,1.0000,1.0000,1.0000,0.000
18,measure,5,0.9999,0.9999,0.9999,0.000
19,measure,5,1.0000,1.0000,1.0092,0.000
20,measure,5,1.0000,1.0001,1.0002,0.000
21,measure,5,0.9999,1.0000,1.0000,0.000
22,measure,5,1.0000,1.0000,1.0001,0.000
23,measure,5,0.9999,1.0000,1.0000,0.000
24,measure,5,0.9999,1.0000,1.0001,0.000
25,measure,5,0.9999,0.9999,1.0001,0.000
26,measure,5,0.9998,0.9999,1.0005,0.000
27,measure,5,0.9999,1.0000,1.0051,0.000
28,measure,5,0.9999,1.0000,1.0000,0.000
29,measure,5,0.9999,1.0001,1.0002,0.000
