compiler,level,kernel,instructions,backward_jumps,has_loop,memory_operands,uses_vector_registers,multiplications
gcc,O0,sum_array,20,1,1,12,0,0
gcc,O0,sum_array_twice,32,2,1,20,0,0
gcc,O0,sum_discarded,20,1,1,11,0,0
gcc,O0,sum_indices,16,1,1,10,0,0
gcc,O1,sum_array,12,1,1,1,0,0
gcc,O1,sum_array_twice,17,2,1,3,0,0
gcc,O1,sum_discarded,8,1,1,0,0,0
gcc,O1,sum_indices,12,2,1,0,0,0
gcc,O2,sum_array,11,1,1,1,0,0
gcc,O2,sum_array_twice,16,2,1,2,0,0
gcc,O2,sum_discarded,2,0,0,0,0,0
gcc,O2,sum_indices,18,1,1,0,0,0
gcc,O3,sum_array,29,2,1,2,1,0
gcc,O3,sum_array_twice,48,3,1,5,1,0
gcc,O3,sum_discarded,2,0,0,0,0,0
gcc,O3,sum_indices,18,1,1,0,0,0
clang,O0,sum_array,21,1,1,14,0,0
clang,O0,sum_array_twice,34,2,1,24,0,0
clang,O0,sum_discarded,21,1,1,13,0,0
clang,O0,sum_indices,19,1,1,12,0,0
clang,O1,sum_array,11,1,1,1,0,0
clang,O1,sum_array_twice,20,2,1,2,0,0
clang,O1,sum_discarded,2,0,0,0,0,0
clang,O1,sum_indices,11,0,0,0,0,1
clang,O2,sum_array,31,2,1,3,1,0
clang,O2,sum_array_twice,56,4,1,6,1,0
clang,O2,sum_discarded,2,0,0,0,0,0
clang,O2,sum_indices,11,0,0,0,0,1
clang,O3,sum_array,31,2,1,3,1,0
clang,O3,sum_array_twice,56,4,1,6,1,0
clang,O3,sum_discarded,2,0,0,0,0,0
clang,O3,sum_indices,11,0,0,0,0,1
