compiler,level,label,n,processes,calls_per_sample,median_ns_per_element,ci95_low,ci95_high,q25_ns_per_element,q75_ns_per_element,between_process_relative_iqr,median_ns_per_call,median_throughput_elements_per_s
clang,O0,sum_array,64,15,65536,1.409387,1.392124,1.435814,1.388416,1.437619,0.0349,90.201,709528511
clang,O0,sum_array,256,15,16384,1.235812,1.231591,1.238992,1.227677,1.239909,0.0099,316.368,809184758
clang,O0,sum_array,1024,15,4096,1.041643,1.039216,1.049499,1.039032,1.050824,0.0113,1066.642,960022120
clang,O0,sum_array,4096,15,1024,0.977236,0.976175,0.978384,0.976135,0.978813,0.0027,4002.760,1023293987
clang,O0,sum_array,16384,15,256,1.019247,1.013335,1.023865,1.012549,1.023740,0.0110,16699.336,981116858
clang,O0,sum_array,65536,15,64,1.020528,1.013370,1.028591,1.013481,1.028528,0.0147,66881.328,979884847
clang,O0,sum_array,262144,15,16,1.061431,1.053879,1.071622,1.053745,1.071247,0.0165,278247.688,942124631
clang,O0,sum_array,1048576,15,4,1.285067,1.232879,1.312054,1.224449,1.313193,0.0691,1347490.000,778169782
clang,O0,sum_array,4194304,15,1,1.136541,1.127775,1.152055,1.123749,1.149002,0.0222,4766999.000,879862572
clang,O0,sum_array_bis,64,15,65536,1.392330,1.372006,1.426067,1.368799,1.423638,0.0394,89.109,718220326
clang,O0,sum_array_bis,256,15,16384,1.227165,1.218750,1.249019,1.220214,1.253707,0.0273,314.154,814886671
clang,O0,sum_array_bis,1024,15,4096,1.041199,1.034934,1.047932,1.036719,1.047962,0.0108,1066.188,960431004
clang,O0,sum_array_bis,4096,15,1024,0.975053,0.974422,0.980234,0.972014,0.980440,0.0086,3993.818,1025584949
clang,O0,sum_array_bis,16384,15,256,1.022011,1.018890,1.024628,1.018698,1.024862,0.0060,16744.621,978463466
clang,O0,sum_array_bis,65536,15,64,1.023914,1.016542,1.026258,1.017145,1.025926,0.0086,67103.250,976644201
clang,O0,sum_array_bis,262144,15,16,1.060446,1.050306,1.095596,1.048591,1.096132,0.0448,277989.562,942999434
clang,O0,sum_array_bis,1048576,15,4,1.256242,1.219554,1.306673,1.214580,1.307825,0.0742,1317265.250,796024946
clang,O0,sum_array_bis,4194304,15,1,1.150273,1.132518,1.156960,1.132613,1.159107,0.0230,4824594.000,869358955
