compiler,level,run_id,frequency_before_khz,frequency_after_khz,normalized_cost
clang,O0,17,2469868,2499974,1.0107
clang,O0,19,2399975,2500000,1.0106
clang,O0,48,2400000,2499974,1.0032
clang,O0,59,2499974,2400000,0.9994
clang,O0,66,2399903,2500025,1.0078
clang,O0,71,2400000,2400000,0.9793
clang,O0,77,2400000,2444049,1.0079
clang,O0,81,2400000,2446422,0.9880
clang,O0,84,2400000,2400000,1.0046
clang,O0,87,2399975,2400000,0.9833
clang,O0,93,2399951,2400000,1.0000
clang,O0,99,2400000,2500025,0.9948
clang,O0,101,2399975,2400000,0.9930
clang,O0,105,2500025,2400000,1.0131
clang,O0,111,2400000,2500000,0.9932
clang,O1,12,2500000,2500000,0.9810
clang,O1,30,2400024,2500025,0.9984
clang,O1,34,2400000,2399976,1.0011
clang,O1,56,2400000,2400000,1.0000
clang,O1,67,2400024,2457210,0.9969
clang,O1,69,2400024,2400000,0.9981
clang,O1,78,2397621,2462371,0.9966
clang,O1,80,2400024,2500000,1.0006
clang,O1,92,2400000,2441346,0.9973
clang,O1,100,2400000,2425694,0.9980
clang,O1,104,2411758,2500025,1.0125
clang,O1,108,2400000,2423784,1.0015
clang,O1,114,2399975,2467122,1.0031
clang,O1,118,2400000,2447931,1.0117
clang,O1,120,2400000,2441533,1.0104
clang,O2,3,2400000,2500000,1.0074
clang,O2,6,2500000,2500000,0.9950
clang,O2,18,2404396,2500025,1.0166
clang,O2,26,2400000,2500050,1.0000
clang,O2,28,2399975,2500025,0.9969
clang,O2,35,2500000,2500000,1.0004
clang,O2,37,2500000,2500025,0.9947
clang,O2,38,2400000,2499974,0.9886
clang,O2,40,2399975,2499974,1.0203
clang,O2,52,2400000,2500000,0.9901
clang,O2,60,2500000,2500025,0.9998
clang,O2,64,2400000,2499974,1.0004
clang,O2,89,2399975,2500025,1.0048
clang,O2,102,2400000,2500000,1.0332
clang,O2,109,2500000,2500000,0.9973
clang,O3,7,2400000,2499949,1.0258
clang,O3,10,2500025,2499974,0.9968
clang,O3,13,2400024,2499974,0.9928
clang,O3,21,2500000,2500000,0.9861
clang,O3,27,2399975,2500025,0.9986
clang,O3,31,2400000,2500025,1.0073
clang,O3,36,2400000,2500025,0.9988
clang,O3,41,2405866,2500000,0.9951
clang,O3,55,2424763,2499974,1.0097
clang,O3,58,2400000,2500000,1.0010
clang,O3,83,2399975,2500000,1.0076
clang,O3,97,2400000,2499974,1.0047
clang,O3,103,2399951,2500000,1.0261
clang,O3,106,2400024,2499974,0.9963
clang,O3,115,2500000,2499974,1.0000
gcc,O0,5,2399951,2499975,0.9997
gcc,O0,9,2500000,2500025,0.9961
gcc,O0,29,2399118,2399194,0.9864
gcc,O0,39,2492626,2500000,1.0033
gcc,O0,42,2399975,2500000,1.0001
gcc,O0,45,2400000,2500025,1.0255
gcc,O0,47,2400000,2500000,1.0218
gcc,O0,50,2399951,2400214,0.9973
gcc,O0,51,2429678,2400000,0.9941
gcc,O0,62,2500000,2500000,1.0111
gcc,O0,73,2400916,2400024,1.0189
gcc,O0,74,2500000,2499974,1.0012
gcc,O0,75,2399975,2500000,0.9877
gcc,O0,113,2400000,2500025,1.0000
gcc,O0,119,2500025,2499949,0.9956
gcc,O1,2,2399975,2500000,0.9928
gcc,O1,15,2457007,2430121,0.9957
gcc,O1,16,2400024,2500025,1.0003
gcc,O1,23,2400024,2490699,0.9972
gcc,O1,24,2399975,2400024,1.0017
gcc,O1,25,2400000,2448168,0.9958
gcc,O1,32,2400129,2500025,0.9816
gcc,O1,33,2399975,2400000,1.0125
gcc,O1,46,2400000,2430255,1.0000
gcc,O1,54,2400000,2400000,1.0059
gcc,O1,76,2397752,2400024,1.0047
gcc,O1,82,2499974,2462123,0.9893
gcc,O1,85,2490884,2400000,1.0074
gcc,O1,96,2400000,2459457,1.0177
gcc,O1,116,2400024,2400000,0.9972
gcc,O2,1,2477463,2400000,1.0000
gcc,O2,11,2400000,2500000,0.9816
gcc,O2,14,2480219,2414486,0.9982
gcc,O2,44,2403305,2459392,1.0111
gcc,O2,49,2500025,2400192,1.0176
gcc,O2,53,2462323,2462084,0.9992
gcc,O2,57,2400024,2400000,1.0176
gcc,O2,61,2428273,2399669,1.0193
gcc,O2,63,2499974,2500000,0.9993
gcc,O2,68,2500000,2499974,0.9948
gcc,O2,70,2500000,2495192,0.9968
gcc,O2,79,2400048,2462032,1.0154
gcc,O2,94,2399975,2400000,1.0041
gcc,O2,98,2400000,2400000,1.0048
gcc,O2,110,2480586,2500000,0.9979
gcc,O3,4,2500000,2500000,0.9916
gcc,O3,8,2500025,2500000,1.0000
gcc,O3,20,2400024,2499974,0.9925
gcc,O3,22,2400024,2426057,1.0047
gcc,O3,43,2500025,2500000,0.9967
gcc,O3,65,2405367,2500025,0.9926
gcc,O3,72,2400000,2499974,1.0060
gcc,O3,86,2400000,2444461,1.0239
gcc,O3,88,2500000,2500000,1.0114
gcc,O3,90,2466920,2500000,1.0161
gcc,O3,91,2399975,2499974,1.0123
gcc,O3,95,2400000,2421160,1.0251
gcc,O3,107,2400000,2409055,0.9959
gcc,O3,112,2400000,2399975,0.9960
gcc,O3,117,2499974,2500000,0.9939
