compiler,level,label,slope,measured_work,assembly_has_loop,agreement
clang,O0,sum_array,-0.008,proportionnel,1,1
clang,O0,sum_array_bis,-0.007,proportionnel,1,1
clang,O0,sum_array_twice,0.002,proportionnel,1,1
clang,O0,sum_discarded,-0.002,proportionnel,1,1
clang,O0,sum_indices,-0.018,proportionnel,1,1
clang,O1,sum_array,0.035,proportionnel,1,1
clang,O1,sum_array_bis,0.032,proportionnel,1,1
clang,O1,sum_array_twice,0.033,proportionnel,1,1
clang,O1,sum_discarded,-0.745,constant,0,1
clang,O1,sum_indices,-0.747,constant,0,1
clang,O2,sum_array,0.133,proportionnel,1,1
clang,O2,sum_array_bis,0.133,proportionnel,1,1
clang,O2,sum_array_twice,0.119,proportionnel,1,1
clang,O2,sum_discarded,-0.737,constant,0,1
clang,O2,sum_indices,-0.736,constant,0,1
clang,O3,sum_array,0.135,proportionnel,1,1
clang,O3,sum_array_bis,0.134,proportionnel,1,1
clang,O3,sum_array_twice,0.116,proportionnel,1,1
clang,O3,sum_discarded,-0.743,constant,0,1
clang,O3,sum_indices,-0.738,constant,0,1
gcc,O0,sum_array,0.037,proportionnel,1,1
gcc,O0,sum_array_bis,0.036,proportionnel,1,1
gcc,O0,sum_array_twice,0.026,proportionnel,1,1
gcc,O0,sum_discarded,0.037,proportionnel,1,1
gcc,O0,sum_indices,0.017,proportionnel,1,1
gcc,O1,sum_array,0.037,proportionnel,1,1
gcc,O1,sum_array_bis,0.037,proportionnel,1,1
gcc,O1,sum_array_twice,0.033,proportionnel,1,1
gcc,O1,sum_discarded,-0.067,proportionnel,1,1
gcc,O1,sum_indices,-0.014,proportionnel,1,1
gcc,O2,sum_array,0.038,proportionnel,1,1
gcc,O2,sum_array_bis,0.038,proportionnel,1,1
gcc,O2,sum_array_twice,0.034,proportionnel,1,1
gcc,O2,sum_discarded,-0.745,constant,0,1
gcc,O2,sum_indices,0.040,proportionnel,1,1
gcc,O3,sum_array,0.090,proportionnel,1,1
gcc,O3,sum_array_bis,0.088,proportionnel,1,1
gcc,O3,sum_array_twice,0.087,proportionnel,1,1
gcc,O3,sum_discarded,-0.733,constant,0,1
gcc,O3,sum_indices,0.040,proportionnel,1,1
