compiler,level,n,speedup_vs_O0,ci95_low,ci95_high
gcc,O0,65536,1.000,0.992,1.008
gcc,O0,4194304,1.000,0.986,1.014
gcc,O1,65536,7.328,7.282,7.384
gcc,O1,4194304,4.201,3.905,4.311
gcc,O2,65536,7.370,7.261,7.408
gcc,O2,4194304,4.248,4.081,4.395
gcc,O3,65536,14.970,14.783,15.083
gcc,O3,4194304,4.498,4.224,4.597
clang,O0,65536,1.000,0.989,1.012
clang,O0,4194304,1.000,0.985,1.015
clang,O1,65536,2.454,2.435,2.477
clang,O1,4194304,1.492,1.467,1.575
clang,O2,65536,7.305,7.247,7.367
clang,O2,4194304,1.591,1.511,1.651
clang,O3,65536,7.277,7.194,7.343
clang,O3,4194304,1.552,1.457,1.618
gcc/clang,O0,65536,2.994,2.967,3.024
gcc/clang,O1,65536,1.003,0.997,1.009
gcc/clang,O2,65536,2.967,2.951,3.009
gcc/clang,O3,65536,1.455,1.440,1.474
