compiler,level,label,n,processes,calls_per_sample,median_ns_per_element,ci95_low,ci95_high,q25_ns_per_element,q75_ns_per_element,between_process_relative_iqr,median_ns_per_call,median_throughput_elements_per_s
clang,O0,sum_array,64,2,16384,1.484704,1.455774,1.513635,1.470239,1.499170,0.0195,95.021,673534703
clang,O0,sum_array,256,2,4096,1.251285,1.147778,1.354793,1.199532,1.303039,0.0827,320.329,799178244
clang,O0,sum_array,1024,2,1024,1.028315,1.011339,1.045291,1.019827,1.036803,0.0165,1052.994,972464825
clang,O0,sum_array,4096,2,256,0.957637,0.955434,0.959840,0.956536,0.958738,0.0023,3922.481,1044236934
clang,O0,sum_array,16384,2,64,1.008859,1.008848,1.008871,1.008854,1.008865,0.0000,16529.152,991218404
clang,O0,sum_array,65536,2,16,1.018211,1.010330,1.026093,1.014271,1.022152,0.0077,66729.500,982114357
clang,O0,sum_array,262144,2,4,1.196845,1.186498,1.207192,1.191671,1.202019,0.0086,313745.750,835530043
clang,O0,sum_array,1048576,2,1,1.362883,1.264286,1.461481,1.313584,1.412182,0.0723,1429086.500,733738651
clang,O0,sum_array,4194304,2,1,1.167238,1.162312,1.172165,1.164775,1.169702,0.0042,4895752.250,856723091
clang,O0,sum_array_bis,64,2,16384,1.477868,1.344021,1.611715,1.410945,1.544792,0.0906,94.584,676650272
clang,O0,sum_array_bis,256,2,4096,1.251346,1.200822,1.301870,1.226084,1.276608,0.0404,320.345,799139416
clang,O0,sum_array_bis,1024,2,1024,1.013248,1.007598,1.018898,1.010423,1.016073,0.0056,1037.566,986925247
clang,O0,sum_array_bis,4096,2,256,0.952595,0.947415,0.957776,0.950005,0.955186,0.0054,3901.831,1049763545
clang,O0,sum_array_bis,16384,2,64,1.022298,1.010005,1.034591,1.016152,1.028445,0.0120,16749.332,978188263
clang,O0,sum_array_bis,65536,2,16,1.013366,0.998018,1.028714,1.005692,1.021040,0.0151,66411.938,986810541
clang,O0,sum_array_bis,262144,2,4,1.096773,1.030086,1.163461,1.063430,1.130117,0.0608,287512.562,911765377
clang,O0,sum_array_bis,1048576,2,1,1.420475,1.367270,1.473680,1.393872,1.447077,0.0375,1489475.750,703989978
clang,O0,sum_array_bis,4194304,2,1,1.271747,1.228494,1.315000,1.250121,1.293373,0.0340,5334093.250,786319962
clang,O0,sum_array_twice,64,2,16384,2.629711,2.482997,2.776424,2.556354,2.703068,0.0558,168.301,380269970
clang,O0,sum_array_twice,256,2,4096,2.068275,2.061312,2.075238,2.064793,2.071757,0.0034,529.478,483494706
clang,O0,sum_array_twice,1024,2,1024,1.973736,1.951940,1.995532,1.962838,1.984634,0.0110,2021.106,506653360
clang,O0,sum_array_twice,4096,2,256,2.027963,1.955606,2.100321,1.991784,2.064142,0.0357,8306.537,493105604
clang,O0,sum_array_twice,16384,2,64,2.016042,1.988085,2.044000,2.002064,2.030021,0.0139,33030.840,496021296
clang,O0,sum_array_twice,65536,2,16,2.033571,2.029416,2.037725,2.031493,2.035648,0.0020,133272.078,491745915
clang,O0,sum_array_twice,262144,2,4,2.283105,2.090442,2.475768,2.186773,2.379436,0.0844,598502.250,438000024
clang,O0,sum_array_twice,1048576,2,1,2.914786,2.532265,3.297307,2.723525,3.106047,0.1312,3056374.750,343078348
clang,O0,sum_array_twice,4194304,2,1,2.353626,2.342710,2.364542,2.348168,2.359084,0.0046,9871824.000,424876294
clang,O0,sum_discarded,64,2,16384,1.607486,1.530066,1.684905,1.568776,1.646195,0.0482,102.879,622089580
clang,O0,sum_discarded,256,2,4096,1.069652,1.039149,1.100155,1.054400,1.084904,0.0285,273.831,934883424
clang,O0,sum_discarded,1024,2,1024,0.972340,0.969806,0.974873,0.971073,0.973606,0.0026,995.676,1028447231
clang,O0,sum_discarded,4096,2,256,0.961341,0.957078,0.965604,0.959210,0.963472,0.0044,3937.653,1040213464
clang,O0,sum_discarded,16384,2,64,1.005105,0.999934,1.010277,1.002520,1.007691,0.0051,16467.648,994920438
clang,O0,sum_discarded,65536,2,16,1.030674,1.017056,1.044292,1.023865,1.037483,0.0132,67546.266,970238686
clang,O0,sum_discarded,262144,2,4,1.150516,1.084509,1.216522,1.117512,1.183519,0.0574,301600.750,869175557
clang,O0,sum_discarded,1048576,2,1,1.236256,1.204720,1.267792,1.220488,1.252024,0.0255,1296308.250,808894027
clang,O0,sum_discarded,4194304,2,1,1.211235,1.188735,1.233736,1.199985,1.222486,0.0186,5080289.500,825603344
clang,O0,sum_indices,64,2,16384,1.130390,1.116664,1.144115,1.123527,1.137253,0.0121,72.345,884650486
