compiler,level,run_id,frequency_before_khz,frequency_after_khz,normalized_cost
clang,O0,1,1738685,2462026,0.9923
clang,O0,9,2500000,2500025,1.0077
clang,O1,4,2432032,2500000,1.0127
clang,O1,15,2494854,2476458,0.9873
clang,O2,2,2480284,2500000,1.0026
clang,O2,7,2454199,2500000,0.9974
clang,O3,11,2400000,2500000,1.0164
clang,O3,12,2414381,2500000,0.9836
gcc,O0,3,2400000,2400024,0.9761
gcc,O0,16,2499974,2400000,1.0239
gcc,O1,8,2500000,2500025,0.9765
gcc,O1,13,2499974,2500000,1.0235
gcc,O2,6,2499974,2500000,0.9785
gcc,O2,10,2500000,2499975,1.0215
gcc,O3,5,2400024,2500025,1.0333
gcc,O3,14,2500025,2500000,0.9667
