compiler,level,label,slope,measured_work,assembly_has_loop,agreement
clang,O0,sum_array,-0.004,proportionnel,1,1
clang,O0,sum_array_bis,-0.000,proportionnel,1,1
clang,O0,sum_array_twice,0.011,proportionnel,1,1
clang,O0,sum_discarded,-0.004,proportionnel,1,1
clang,O0,sum_indices,-0.018,proportionnel,1,1
clang,O1,sum_array,0.054,proportionnel,1,1
clang,O1,sum_array_bis,0.049,proportionnel,1,1
clang,O1,sum_array_twice,0.045,proportionnel,1,1
clang,O1,sum_discarded,-0.672,constant,0,1
clang,O1,sum_indices,-0.667,constant,0,1
clang,O2,sum_array,0.158,proportionnel,1,1
clang,O2,sum_array_bis,0.164,proportionnel,1,1
clang,O2,sum_array_twice,0.134,proportionnel,1,1
clang,O2,sum_discarded,-0.675,constant,0,1
clang,O2,sum_indices,-0.678,constant,0,1
clang,O3,sum_array,0.158,proportionnel,1,1
clang,O3,sum_array_bis,0.152,proportionnel,1,1
clang,O3,sum_array_twice,0.137,proportionnel,1,1
clang,O3,sum_discarded,-0.668,constant,0,1
clang,O3,sum_indices,-0.636,constant,0,1
gcc,O0,sum_array,0.028,proportionnel,1,1
gcc,O0,sum_array_bis,0.028,proportionnel,1,1
gcc,O0,sum_array_twice,0.024,proportionnel,1,1
gcc,O0,sum_discarded,0.036,proportionnel,1,1
gcc,O0,sum_indices,0.016,proportionnel,1,1
gcc,O1,sum_array,0.042,proportionnel,1,1
gcc,O1,sum_array_bis,0.044,proportionnel,1,1
gcc,O1,sum_array_twice,0.059,proportionnel,1,1
gcc,O1,sum_discarded,-0.066,proportionnel,1,1
gcc,O1,sum_indices,-0.012,proportionnel,1,1
gcc,O2,sum_array,0.059,proportionnel,1,1
gcc,O2,sum_array_bis,0.057,proportionnel,1,1
gcc,O2,sum_array_twice,0.057,proportionnel,1,1
gcc,O2,sum_discarded,-0.630,constant,0,1
gcc,O2,sum_indices,0.039,proportionnel,1,1
gcc,O3,sum_array,0.096,proportionnel,1,1
gcc,O3,sum_array_bis,0.097,proportionnel,1,1
gcc,O3,sum_array_twice,0.089,proportionnel,1,1
gcc,O3,sum_discarded,-0.664,constant,0,1
gcc,O3,sum_indices,0.039,proportionnel,1,1
