compiler,level,n,speedup_vs_O0,ci95_low,ci95_high
gcc,O0,65536,1.000,0.953,1.049
gcc,O0,4194304,1.000,0.996,1.004
gcc,O1,65536,7.482,7.136,7.845
gcc,O1,4194304,4.271,4.045,4.523
gcc,O2,65536,7.399,7.070,7.742
gcc,O2,4194304,3.999,3.608,4.483
gcc,O3,65536,14.014,13.239,14.842
gcc,O3,4194304,4.287,4.262,4.314
clang,O0,65536,1.000,0.985,1.016
clang,O0,4194304,1.000,0.992,1.008
clang,O1,65536,2.469,2.419,2.520
clang,O1,4194304,1.277,1.215,1.345
clang,O2,65536,7.008,6.935,7.080
clang,O2,4194304,1.356,1.253,1.478
clang,O3,65536,6.828,6.666,6.995
clang,O3,4194304,1.594,1.423,1.810
gcc/clang,O0,65536,3.025,2.930,3.121
gcc/clang,O1,65536,0.998,0.962,1.035
gcc/clang,O2,65536,2.865,2.796,2.934
gcc/clang,O3,65536,1.474,1.402,1.548
