run_id,binary,build,cpu,seed,rounds,warmup_rounds,calls_shift
1,build/bench-gcc-O2,gcc-O2,11,20260917,21,1,0
2,build/bench-clang-scalar,clang-scalar,11,20260917,21,1,0
3,build/bench-clang-scalar,clang-scalar,11,20260917,21,1,0
4,build/bench-gcc-scalar,gcc-scalar,11,20260917,21,1,0
5,build/bench-gcc-O2,gcc-O2,11,20260917,21,1,0
6,build/bench-clang-O3-v3,clang-O3-v3,11,20260917,21,1,0
7,build/bench-clang-O3-v3,clang-O3-v3,11,20260917,21,1,0
8,build/bench-clang-O2,clang-O2,11,20260917,21,1,0
9,build/bench-clang-scalar,clang-scalar,11,20260917,21,1,0
10,build/bench-gcc-scalar,gcc-scalar,11,20260917,21,1,0
11,build/bench-gcc-O2,gcc-O2,11,20260917,21,1,0
12,build/bench-clang-O3-v3,clang-O3-v3,11,20260917,21,1,0
13,build/bench-gcc-O3-v3,gcc-O3-v3,11,20260917,21,1,0
14,build/bench-clang-O3-v3,clang-O3-v3,11,20260917,21,1,0
15,build/bench-clang-scalar,clang-scalar,11,20260917,21,1,0
16,build/bench-clang-O3-v3,clang-O3-v3,11,20260917,21,1,0
17,build/bench-gcc-O3-v3,gcc-O3-v3,11,20260917,21,1,0
18,build/bench-gcc-O2,gcc-O2,11,20260917,21,1,0
19,build/bench-clang-scalar,clang-scalar,11,20260917,21,1,0
20,build/bench-gcc-scalar,gcc-scalar,11,20260917,21,1,0
21,build/bench-clang-O2,clang-O2,11,20260917,21,1,0
22,build/bench-clang-scalar,clang-scalar,11,20260917,21,1,0
23,build/bench-clang-scalar,clang-scalar,11,20260917,21,1,0
24,build/bench-gcc-scalar,gcc-scalar,11,20260917,21,1,0
25,build/bench-gcc-O3-v3,gcc-O3-v3,11,20260917,21,1,0
26,build/bench-clang-scalar,clang-scalar,11,20260917,21,1,0
27,build/bench-gcc-O3-v3,gcc-O3-v3,11,20260917,21,1,0
28,build/bench-clang-O3-v3,clang-O3-v3,11,20260917,21,1,0
29,build/bench-clang-scalar,clang-scalar,11,20260917,21,1,0
30,build/bench-gcc-scalar,gcc-scalar,11,20260917,21,1,0
31,build/bench-gcc-O3-v3,gcc-O3-v3,11,20260917,21,1,0
32,build/bench-gcc-scalar,gcc-scalar,11,20260917,21,1,0
33,build/bench-gcc-O2,gcc-O2,11,20260917,21,1,0
34,build/bench-clang-O2,clang-O2,11,20260917,21,1,0
35,build/bench-gcc-O3-v3,gcc-O3-v3,11,20260917,21,1,0
36,build/bench-clang-scalar,clang-scalar,11,20260917,21,1,0
37,build/bench-clang-O2,clang-O2,11,20260917,21,1,0
38,build/bench-gcc-O3-v3,gcc-O3-v3,11,20260917,21,1,0
39,build/bench-gcc-scalar,gcc-scalar,11,20260917,21,1,0
40,build/bench-clang-O2,clang-O2,11,20260917,21,1,0
41,build/bench-gcc-O3-v3,gcc-O3-v3,11,20260917,21,1,0
42,build/bench-gcc-O2,gcc-O2,11,20260917,21,1,0
43,build/bench-gcc-scalar,gcc-scalar,11,20260917,21,1,0
44,build/bench-clang-O2,clang-O2,11,20260917,21,1,0
45,build/bench-gcc-O3-v3,gcc-O3-v3,11,20260917,21,1,0
46,build/bench-gcc-O2,gcc-O2,11,20260917,21,1,0
47,build/bench-clang-O3-v3,clang-O3-v3,11,20260917,21,1,0
48,build/bench-clang-scalar,clang-scalar,11,20260917,21,1,0
49,build/bench-gcc-O2,gcc-O2,11,20260917,21,1,0
50,build/bench-clang-O3-v3,clang-O3-v3,11,20260917,21,1,0
51,build/bench-gcc-scalar,gcc-scalar,11,20260917,21,1,0
52,build/bench-gcc-scalar,gcc-scalar,11,20260917,21,1,0
53,build/bench-clang-O3-v3,clang-O3-v3,11,20260917,21,1,0
54,build/bench-gcc-O2,gcc-O2,11,20260917,21,1,0
55,build/bench-clang-O2,clang-O2,11,20260917,21,1,0
56,build/bench-clang-scalar,clang-scalar,11,20260917,21,1,0
57,build/bench-clang-scalar,clang-scalar,11,20260917,21,1,0
58,build/bench-clang-O2,clang-O2,11,20260917,21,1,0
59,build/bench-gcc-scalar,gcc-scalar,11,20260917,21,1,0
60,build/bench-clang-O3-v3,clang-O3-v3,11,20260917,21,1,0
61,build/bench-clang-O3-v3,clang-O3-v3,11,20260917,21,1,0
62,build/bench-clang-O2,clang-O2,11,20260917,21,1,0
63,build/bench-gcc-O3-v3,gcc-O3-v3,11,20260917,21,1,0
64,build/bench-clang-O3-v3,clang-O3-v3,11,20260917,21,1,0
65,build/bench-clang-O2,clang-O2,11,20260917,21,1,0
66,build/bench-gcc-scalar,gcc-scalar,11,20260917,21,1,0
67,build/bench-gcc-O3-v3,gcc-O3-v3,11,20260917,21,1,0
68,build/bench-gcc-O2,gcc-O2,11,20260917,21,1,0
