run_id,build,seed,sample,round,phase,position,part,label,dataset,n,calls,elapsed_ns,cpu_before,cpu_after,result,expected,output_ok
3,clang-O3-v3,20260917,0,0,warmup,0,branch,filter_copy_mask,p000,65536,1,27383,11,11,0,0,1
3,clang-O3-v3,20260917,1,0,warmup,1,small,sum_one,uniform,384,42,1353,11,11,8035024922952724662,8035024922952724662,1
3,clang-O3-v3,20260917,2,0,warmup,2,branch,filter_copy_mask,p250,65536,1,28065,11,11,16384,16384,1
3,clang-O3-v3,20260917,3,0,warmup,3,small,sum_one,uniform,192,85,1378,11,11,16161553798504584317,16161553798504584317,1
3,clang-O3-v3,20260917,4,0,warmup,4,branch,sum_if,p100,65536,1,9891,11,11,3083979731501324985,3083979731501324985,1
3,clang-O3-v3,20260917,5,0,warmup,5,branch,sum_if,p500_alternating,65536,1,10488,11,11,4196774058536912234,4196774058536912234,1
3,clang-O3-v3,20260917,6,0,warmup,6,branch,sum_if,p750,65536,1,10464,11,11,14586442889165806448,14586442889165806448,1
3,clang-O3-v3,20260917,7,0,warmup,7,small,sum_one,uniform,1,16384,46083,11,11,17714124509061775360,17714124509061775360,1
3,clang-O3-v3,20260917,8,0,warmup,8,branch,filter_copy_mask,p500_alternating,65536,1,27708,11,11,32768,32768,1
3,clang-O3-v3,20260917,9,0,warmup,9,dependency,sum_four,uniform,65536,1,8917,11,11,10106668405511128866,10106668405511128866,1
3,clang-O3-v3,20260917,10,0,warmup,10,small,sum_one,uniform,1024,16,1294,11,11,15083507171055517104,15083507171055517104,1
3,clang-O3-v3,20260917,11,0,warmup,11,dependency,sum_one,uniform,65536,1,6107,11,11,10106668405511128866,10106668405511128866,1
3,clang-O3-v3,20260917,12,0,warmup,12,branch,filter_copy,p250,65536,1,196028,11,11,16384,16384,1
3,clang-O3-v3,20260917,13,0,warmup,13,branch,filter_copy,p100,65536,1,92021,11,11,6554,6554,1
3,clang-O3-v3,20260917,14,0,warmup,14,dependency,sum_one_bis,uniform,65536,1,8126,11,11,10106668405511128866,10106668405511128866,1
3,clang-O3-v3,20260917,15,0,warmup,15,dependency,sum_twice,uniform,65536,1,12512,11,11,1766592737312706116,1766592737312706116,1
3,clang-O3-v3,20260917,16,0,warmup,16,branch,sum_if,p500,65536,1,9622,11,11,261284744287062128,261284744287062128,1
3,clang-O3-v3,20260917,17,0,warmup,17,small,sum_one,uniform,768,21,1303,11,11,2658169580123084747,2658169580123084747,1
3,clang-O3-v3,20260917,18,0,warmup,18,small,sum_one,uniform,48,341,1907,11,11,11543417172413503180,11543417172413503180,1
3,clang-O3-v3,20260917,19,0,warmup,19,small,sum_one,uniform,6,2730,15695,11,11,10151959632243433014,10151959632243433014,1
3,clang-O3-v3,20260917,20,0,warmup,20,branch,sum_if,p250,65536,1,9698,11,11,75766260937212688,75766260937212688,1
3,clang-O3-v3,20260917,21,0,warmup,21,small,sum_one,uniform,8,2048,8376,11,11,6524258200577300480,6524258200577300480,1
3,clang-O3-v3,20260917,22,0,warmup,22,dependency,chain_xor_mul,uniform,65536,1,114880,11,11,16800170764742866796,16800170764742866796,1
3,clang-O3-v3,20260917,23,0,warmup,23,small,sum_one,uniform,4,4096,17654,11,11,2400026726346420224,2400026726346420224,1
3,clang-O3-v3,20260917,24,0,warmup,24,dependency,split_xor_mul,uniform,65536,1,35790,11,11,3588614259265131116,3588614259265131116,1
3,clang-O3-v3,20260917,25,0,warmup,25,branch,filter_copy_mask,p750,65536,1,32993,11,11,49152,49152,1
3,clang-O3-v3,20260917,26,0,warmup,26,branch,sum_if,p000,65536,1,9077,11,11,0,0,1
3,clang-O3-v3,20260917,27,0,warmup,27,small,sum_one,uniform,12,1365,6731,11,11,5781672628349104125,5781672628349104125,1
3,clang-O3-v3,20260917,28,0,warmup,28,branch,filter_copy_mask,p900,65536,1,28247,11,11,58982,58982,1
3,clang-O3-v3,20260917,29,0,warmup,29,branch,filter_copy,p750,65536,1,197709,11,11,49152,49152,1
3,clang-O3-v3,20260917,30,0,warmup,30,branch,sum_if,p900,65536,1,9620,11,11,1957202038211152021,1957202038211152021,1
3,clang-O3-v3,20260917,31,0,warmup,31,small,sum_one,uniform,3,5461,28587,11,11,16522757231167510724,16522757231167510724,1
3,clang-O3-v3,20260917,32,0,warmup,32,small,sum_one,uniform,2,8192,33090,11,11,10314462082540994560,10314462082540994560,1
3,clang-O3-v3,20260917,33,0,warmup,33,small,sum_one,uniform,256,64,1371,11,11,10859396365947641472,10859396365947641472,1
3,clang-O3-v3,20260917,34,0,warmup,34,small,sum_one,uniform,128,128,1481,11,11,11514477342714293632,11514477342714293632,1
3,clang-O3-v3,20260917,35,0,warmup,35,small,sum_one,uniform,512,32,1544,11,11,9030888353113463744,9030888353113463744,1
3,clang-O3-v3,20260917,36,0,warmup,36,branch,filter_copy,p000,65536,1,16674,11,11,0,0,1
3,clang-O3-v3,20260917,37,0,warmup,37,branch,sum_if,p1000,65536,1,9626,11,11,4485739283943968327,4485739283943968327,1
3,clang-O3-v3,20260917,38,0,warmup,38,branch,filter_copy,p900,65536,1,96210,11,11,58982,58982,1
3,clang-O3-v3,20260917,39,0,warmup,39,branch,filter_copy_mask,p500_sorted,65536,1,26775,11,11,32768,32768,1
3,clang-O3-v3,20260917,40,0,warmup,40,small,sum_one,uniform,16,1024,3408,11,11,17603975798396444672,17603975798396444672,1
3,clang-O3-v3,20260917,41,0,warmup,41,small,sum_one,uniform,24,682,3619,11,11,99464260534505610,99464260534505610,1
3,clang-O3-v3,20260917,42,0,warmup,42,branch,filter_copy,p500_sorted,65536,1,24642,11,11,32768,32768,1
3,clang-O3-v3,20260917,43,0,warmup,43,branch,filter_copy_mask,p100,65536,1,26676,11,11,6554,6554,1
3,clang-O3-v3,20260917,44,0,warmup,44,small,sum_one,uniform,96,170,1615,11,11,2395147228773533480,2395147228773533480,1
3,clang-O3-v3,20260917,45,0,warmup,45,branch,filter_copy_mask,p1000,65536,1,29785,11,11,65536,65536,1
3,clang-O3-v3,20260917,46,0,warmup,46,branch,filter_copy_mask,p500,65536,1,27058,11,11,32768,32768,1
3,clang-O3-v3,20260917,47,0,warmup,47,branch,filter_copy,p1000,65536,1,23569,11,11,65536,65536,1
3,clang-O3-v3,20260917,48,0,warmup,48,small,sum_one,uniform,64,256,1895,11,11,9166632898891687936,9166632898891687936,1
3,clang-O3-v3,20260917,49,0,warmup,49,branch,filter_copy,p500_alternating,65536,1,19984,11,11,32768,32768,1
3,clang-O3-v3,20260917,50,0,warmup,50,small,sum_one,uniform,32,512,2329,11,11,15926591080726369792,15926591080726369792,1
3,clang-O3-v3,20260917,51,0,warmup,51,branch,sum_if,p500_sorted,65536,1,9579,11,11,2213941836433581612,2213941836433581612,1
3,clang-O3-v3,20260917,52,0,warmup,52,branch,filter_copy,p500,65536,1,342230,11,11,32768,32768,1
3,clang-O3-v3,20260917,53,1,measure,0,branch,sum_if,p1000,65536,1,9957,11,11,4485739283943968327,4485739283943968327,1
3,clang-O3-v3,20260917,54,1,measure,1,branch,sum_if,p500,65536,1,9581,11,11,261284744287062128,261284744287062128,1
3,clang-O3-v3,20260917,55,1,measure,2,branch,filter_copy,p1000,65536,1,24467,11,11,65536,65536,1
3,clang-O3-v3,20260917,56,1,measure,3,small,sum_one,uniform,3,5461,32604,11,11,16522757231167510724,16522757231167510724,1
3,clang-O3-v3,20260917,57,1,measure,4,branch,filter_copy,p250,65536,1,190350,11,11,16384,16384,1
3,clang-O3-v3,20260917,58,1,measure,5,branch,filter_copy,p500_alternating,65536,1,20097,11,11,32768,32768,1
3,clang-O3-v3,20260917,59,1,measure,6,small,sum_one,uniform,64,256,1776,11,11,9166632898891687936,9166632898891687936,1
3,clang-O3-v3,20260917,60,1,measure,7,branch,sum_if,p900,65536,1,9634,11,11,1957202038211152021,1957202038211152021,1
3,clang-O3-v3,20260917,61,1,measure,8,small,sum_one,uniform,1024,16,1462,11,11,15083507171055517104,15083507171055517104,1
3,clang-O3-v3,20260917,62,1,measure,9,small,sum_one,uniform,96,170,1541,11,11,2395147228773533480,2395147228773533480,1
3,clang-O3-v3,20260917,63,1,measure,10,small,sum_one,uniform,4,4096,14896,11,11,2400026726346420224,2400026726346420224,1
3,clang-O3-v3,20260917,64,1,measure,11,dependency,sum_four,uniform,65536,1,8927,11,11,10106668405511128866,10106668405511128866,1
3,clang-O3-v3,20260917,65,1,measure,12,dependency,chain_xor_mul,uniform,65536,1,105093,11,11,16800170764742866796,16800170764742866796,1
3,clang-O3-v3,20260917,66,1,measure,13,branch,filter_copy_mask,p1000,65536,1,26872,11,11,65536,65536,1
3,clang-O3-v3,20260917,67,1,measure,14,branch,filter_copy_mask,p500_alternating,65536,1,37852,11,11,32768,32768,1
3,clang-O3-v3,20260917,68,1,measure,15,branch,filter_copy,p100,65536,1,106855,11,11,6554,6554,1
3,clang-O3-v3,20260917,69,1,measure,16,branch,filter_copy,p900,65536,1,104347,11,11,58982,58982,1
3,clang-O3-v3,20260917,70,1,measure,17,small,sum_one,uniform,256,64,1431,11,11,10859396365947641472,10859396365947641472,1
3,clang-O3-v3,20260917,71,1,measure,18,branch,sum_if,p000,65536,1,9647,11,11,0,0,1
3,clang-O3-v3,20260917,72,1,measure,19,branch,filter_copy_mask,p900,65536,1,27273,11,11,58982,58982,1
3,clang-O3-v3,20260917,73,1,measure,20,small,sum_one,uniform,48,341,2128,11,11,11543417172413503180,11543417172413503180,1
3,clang-O3-v3,20260917,74,1,measure,21,branch,sum_if,p750,65536,1,9526,11,11,14586442889165806448,14586442889165806448,1
3,clang-O3-v3,20260917,75,1,measure,22,small,sum_one,uniform,192,85,1387,11,11,16161553798504584317,16161553798504584317,1
3,clang-O3-v3,20260917,76,1,measure,23,dependency,sum_twice,uniform,65536,1,12624,11,11,1766592737312706116,1766592737312706116,1
3,clang-O3-v3,20260917,77,1,measure,24,small,sum_one,uniform,24,682,3142,11,11,99464260534505610,99464260534505610,1
3,clang-O3-v3,20260917,78,1,measure,25,branch,filter_copy_mask,p500_sorted,65536,1,27090,11,11,32768,32768,1
3,clang-O3-v3,20260917,79,1,measure,26,branch,filter_copy_mask,p100,65536,1,27173,11,11,6554,6554,1
3,clang-O3-v3,20260917,80,1,measure,27,small,sum_one,uniform,768,21,1283,11,11,2658169580123084747,2658169580123084747,1
3,clang-O3-v3,20260917,81,1,measure,28,small,sum_one,uniform,6,2730,15488,11,11,10151959632243433014,10151959632243433014,1
3,clang-O3-v3,20260917,82,1,measure,29,dependency,sum_one,uniform,65536,1,6104,11,11,10106668405511128866,10106668405511128866,1
3,clang-O3-v3,20260917,83,1,measure,30,small,sum_one,uniform,384,42,1281,11,11,8035024922952724662,8035024922952724662,1
3,clang-O3-v3,20260917,84,1,measure,31,small,sum_one,uniform,2,8192,32911,11,11,10314462082540994560,10314462082540994560,1
3,clang-O3-v3,20260917,85,1,measure,32,branch,sum_if,p500_sorted,65536,1,9600,11,11,2213941836433581612,2213941836433581612,1
3,clang-O3-v3,20260917,86,1,measure,33,branch,filter_copy,p000,65536,1,16616,11,11,0,0,1
3,clang-O3-v3,20260917,87,1,measure,34,branch,filter_copy_mask,p750,65536,1,27780,11,11,49152,49152,1
3,clang-O3-v3,20260917,88,1,measure,35,branch,filter_copy_mask,p250,65536,1,29744,11,11,16384,16384,1
3,clang-O3-v3,20260917,89,1,measure,36,branch,filter_copy,p750,65536,1,192626,11,11,49152,49152,1
3,clang-O3-v3,20260917,90,1,measure,37,small,sum_one,uniform,128,128,1486,11,11,11514477342714293632,11514477342714293632,1
3,clang-O3-v3,20260917,91,1,measure,38,dependency,split_xor_mul,uniform,65536,1,24569,11,11,3588614259265131116,3588614259265131116,1
3,clang-O3-v3,20260917,92,1,measure,39,branch,sum_if,p100,65536,1,11967,11,11,3083979731501324985,3083979731501324985,1
3,clang-O3-v3,20260917,93,1,measure,40,branch,filter_copy_mask,p500,65536,1,27292,11,11,32768,32768,1
3,clang-O3-v3,20260917,94,1,measure,41,branch,sum_if,p250,65536,1,9633,11,11,75766260937212688,75766260937212688,1
3,clang-O3-v3,20260917,95,1,measure,42,small,sum_one,uniform,32,512,2345,11,11,15926591080726369792,15926591080726369792,1
3,clang-O3-v3,20260917,96,1,measure,43,small,sum_one,uniform,12,1365,7356,11,11,5781672628349104125,5781672628349104125,1
3,clang-O3-v3,20260917,97,1,measure,44,dependency,sum_one_bis,uniform,65536,1,6131,11,11,10106668405511128866,10106668405511128866,1
3,clang-O3-v3,20260917,98,1,measure,45,small,sum_one,uniform,8,2048,8341,11,11,6524258200577300480,6524258200577300480,1
3,clang-O3-v3,20260917,99,1,measure,46,small,sum_one,uniform,1,16384,46310,11,11,17714124509061775360,17714124509061775360,1
3,clang-O3-v3,20260917,100,1,measure,47,small,sum_one,uniform,16,1024,3368,11,11,17603975798396444672,17603975798396444672,1
3,clang-O3-v3,20260917,101,1,measure,48,branch,sum_if,p500_alternating,65536,1,9545,11,11,4196774058536912234,4196774058536912234,1
3,clang-O3-v3,20260917,102,1,measure,49,small,sum_one,uniform,512,32,1522,11,11,9030888353113463744,9030888353113463744,1
3,clang-O3-v3,20260917,103,1,measure,50,branch,filter_copy_mask,p000,65536,1,27021,11,11,0,0,1
3,clang-O3-v3,20260917,104,1,measure,51,branch,filter_copy,p500_sorted,65536,1,20990,11,11,32768,32768,1
3,clang-O3-v3,20260917,105,1,measure,52,branch,filter_copy,p500,65536,1,340024,11,11,32768,32768,1
