run_id,build,seed,sample,round,phase,position,part,label,dataset,n,calls,elapsed_ns,cpu_before,cpu_after,result,expected,output_ok
10,gcc-O3-v3,20260917,0,0,warmup,0,branch,sum_if,p1000,65536,1,13469,11,11,4485739283943968327,4485739283943968327,1
10,gcc-O3-v3,20260917,1,0,warmup,1,branch,filter_copy,p500_sorted,65536,1,43256,11,11,32768,32768,1
10,gcc-O3-v3,20260917,2,0,warmup,2,branch,filter_copy,p500,65536,1,368098,11,11,32768,32768,1
10,gcc-O3-v3,20260917,3,0,warmup,3,branch,filter_copy,p1000,65536,1,38951,11,11,65536,65536,1
10,gcc-O3-v3,20260917,4,0,warmup,4,dependency,sum_four,uniform,65536,16,160622,11,11,14132741898501648928,14132741898501648928,1
10,gcc-O3-v3,20260917,5,0,warmup,5,branch,filter_copy_mask,p1000,65536,1,30945,11,11,65536,65536,1
10,gcc-O3-v3,20260917,6,0,warmup,6,small,sum_one,uniform,96,2730,34125,11,11,14590989637268500264,14590989637268500264,1
10,gcc-O3-v3,20260917,7,0,warmup,7,dependency,split_xor_mul,uniform,65536,16,352285,11,11,2077595927113443008,2077595927113443008,1
10,gcc-O3-v3,20260917,8,0,warmup,8,branch,filter_copy_mask,p500,65536,1,44048,11,11,32768,32768,1
10,gcc-O3-v3,20260917,9,0,warmup,9,branch,filter_copy,p500_alternating,65536,1,26908,11,11,32768,32768,1
10,gcc-O3-v3,20260917,10,0,warmup,10,small,sum_one,uniform,512,512,28539,11,11,15367005133848558592,15367005133848558592,1
10,gcc-O3-v3,20260917,11,0,warmup,11,small,sum_one,uniform,768,341,27335,11,11,5391706269164818059,5391706269164818059,1
10,gcc-O3-v3,20260917,12,0,warmup,12,branch,filter_copy_mask,p900,65536,1,39134,11,11,58982,58982,1
10,gcc-O3-v3,20260917,13,0,warmup,13,branch,filter_copy,p100,65536,1,147587,11,11,6554,6554,1
10,gcc-O3-v3,20260917,14,0,warmup,14,small,sum_one,uniform,24,10922,54869,11,11,4784551985712019594,4784551985712019594,1
10,gcc-O3-v3,20260917,15,0,warmup,15,branch,filter_copy_mask,p250,65536,1,29541,11,11,16384,16384,1
10,gcc-O3-v3,20260917,16,0,warmup,16,branch,filter_copy_mask,p100,65536,1,29131,11,11,6554,6554,1
10,gcc-O3-v3,20260917,17,0,warmup,17,small,sum_one,uniform,32,8192,49438,11,11,15017784333397745664,15017784333397745664,1
10,gcc-O3-v3,20260917,18,0,warmup,18,small,sum_one,uniform,1,262144,1005230,11,11,6724831039345131520,6724831039345131520,1
10,gcc-O3-v3,20260917,19,0,warmup,19,branch,sum_if,p750,65536,1,13686,11,11,14586442889165806448,14586442889165806448,1
10,gcc-O3-v3,20260917,20,0,warmup,20,small,sum_one,uniform,3,87381,280251,11,11,3476548407154350276,3476548407154350276,1
10,gcc-O3-v3,20260917,21,0,warmup,21,branch,filter_copy_mask,p750,65536,1,41451,11,11,49152,49152,1
10,gcc-O3-v3,20260917,22,0,warmup,22,small,sum_one,uniform,6,43690,175366,11,11,14083742298188217910,14083742298188217910,1
10,gcc-O3-v3,20260917,23,0,warmup,23,small,sum_one,uniform,64,4096,38002,11,11,17538917866300145664,17538917866300145664,1
10,gcc-O3-v3,20260917,24,0,warmup,24,branch,filter_copy_mask,p500_alternating,65536,1,28139,11,11,32768,32768,1
10,gcc-O3-v3,20260917,25,0,warmup,25,branch,filter_copy,p750,65536,1,270464,11,11,49152,49152,1
10,gcc-O3-v3,20260917,26,0,warmup,26,small,sum_one,uniform,1024,256,31838,11,11,1528441778664102656,1528441778664102656,1
10,gcc-O3-v3,20260917,27,0,warmup,27,small,sum_one,uniform,256,1024,41397,11,11,7729645191776299008,7729645191776299008,1
10,gcc-O3-v3,20260917,28,0,warmup,28,small,sum_one,uniform,12,21845,82234,11,11,14889446053351505917,14889446053351505917,1
10,gcc-O3-v3,20260917,29,0,warmup,29,branch,sum_if,p500,65536,1,13173,11,11,261284744287062128,261284744287062128,1
10,gcc-O3-v3,20260917,30,0,warmup,30,branch,filter_copy_mask,p000,65536,1,27160,11,11,0,0,1
10,gcc-O3-v3,20260917,31,0,warmup,31,branch,filter_copy_mask,p500_sorted,65536,1,32069,11,11,32768,32768,1
10,gcc-O3-v3,20260917,32,0,warmup,32,dependency,sum_one,uniform,65536,16,124791,11,11,14132741898501648928,14132741898501648928,1
10,gcc-O3-v3,20260917,33,0,warmup,33,small,sum_one,uniform,2,131072,448414,11,11,17457440730979500032,17457440730979500032,1
10,gcc-O3-v3,20260917,34,0,warmup,34,small,sum_one,uniform,8,32768,92029,11,11,12154410840689049600,12154410840689049600,1
10,gcc-O3-v3,20260917,35,0,warmup,35,branch,filter_copy,p900,65536,1,141979,11,11,58982,58982,1
10,gcc-O3-v3,20260917,36,0,warmup,36,dependency,sum_one_bis,uniform,65536,16,126021,11,11,14132741898501648928,14132741898501648928,1
10,gcc-O3-v3,20260917,37,0,warmup,37,branch,sum_if,p900,65536,1,13238,11,11,1957202038211152021,1957202038211152021,1
10,gcc-O3-v3,20260917,38,0,warmup,38,small,sum_one,uniform,128,2048,32160,11,11,18210940820042733568,18210940820042733568,1
10,gcc-O3-v3,20260917,39,0,warmup,39,branch,sum_if,p500_sorted,65536,1,13462,11,11,2213941836433581612,2213941836433581612,1
10,gcc-O3-v3,20260917,40,0,warmup,40,dependency,sum_twice,uniform,65536,16,249555,11,11,9818739723293746240,9818739723293746240,1
10,gcc-O3-v3,20260917,41,0,warmup,41,branch,sum_if,p250,65536,1,13127,11,11,75766260937212688,75766260937212688,1
10,gcc-O3-v3,20260917,42,0,warmup,42,branch,sum_if,p500_alternating,65536,1,13179,11,11,4196774058536912234,4196774058536912234,1
10,gcc-O3-v3,20260917,43,0,warmup,43,branch,sum_if,p000,65536,1,13092,11,11,0,0,1
10,gcc-O3-v3,20260917,44,0,warmup,44,branch,sum_if,p100,65536,1,13082,11,11,3083979731501324985,3083979731501324985,1
10,gcc-O3-v3,20260917,45,0,warmup,45,branch,filter_copy,p250,65536,1,270837,11,11,16384,16384,1
