build,kernel,instructions,loops,branches_inside_loops,conditional_moves,uses_xmm,uses_ymm,multiplications
gcc-scalar,chain_xor_mul,13,1,0,0,0,0,1
gcc-scalar,split_xor_mul,14,1,0,0,0,0,1
gcc-scalar,sum_one,11,1,0,0,0,0,0
gcc-scalar,sum_four,39,3,1,0,0,0,0
gcc-scalar,sum_twice,16,2,0,0,0,0,0
gcc-scalar,sum_if,18,1,1,0,0,0,0
gcc-scalar,filter_copy,21,1,1,0,0,0,0
gcc-scalar,filter_copy_mask,16,1,0,1,0,0,0
gcc-O2,chain_xor_mul,13,1,0,0,0,0,1
gcc-O2,split_xor_mul,14,1,0,0,0,0,1
gcc-O2,sum_one,11,1,0,0,0,0,0
gcc-O2,sum_four,43,3,1,0,1,0,0
gcc-O2,sum_twice,16,2,0,0,0,0,0
gcc-O2,sum_if,16,1,0,1,0,0,0
gcc-O2,filter_copy,21,1,1,0,0,0,0
gcc-O2,filter_copy_mask,16,1,0,1,0,0,0
gcc-O3-v3,chain_xor_mul,13,1,0,0,0,0,1
gcc-O3-v3,split_xor_mul,70,2,4,0,1,1,8
gcc-O3-v3,sum_one,43,2,2,0,1,1,0
gcc-O3-v3,sum_four,47,2,3,0,1,1,0
gcc-O3-v3,sum_twice,96,4,3,0,1,1,0
gcc-O3-v3,sum_if,62,2,2,3,1,1,0
gcc-O3-v3,filter_copy,21,1,1,0,0,0,0
gcc-O3-v3,filter_copy_mask,16,1,0,1,0,0,0
clang-scalar,chain_xor_mul,36,2,0,0,0,0,5
clang-scalar,split_xor_mul,41,2,0,0,0,0,5
clang-scalar,sum_one,34,2,0,0,0,0,0
clang-scalar,sum_four,50,3,0,0,0,0,0
clang-scalar,sum_twice,61,4,0,0,0,0,0
clang-scalar,sum_if,51,2,0,5,0,0,0
clang-scalar,filter_copy,35,3,3,0,0,0,0
clang-scalar,filter_copy_mask,31,1,0,3,0,0,0
clang-O2,chain_xor_mul,36,2,0,0,0,0,5
clang-O2,split_xor_mul,55,2,0,0,1,0,7
clang-O2,sum_one,31,2,0,0,1,0,0
clang-O2,sum_four,57,3,0,0,1,0,0
clang-O2,sum_twice,56,4,0,0,1,0,0
clang-O2,sum_if,51,2,0,5,0,0,0
clang-O2,filter_copy,35,3,3,0,0,0,0
clang-O2,filter_copy_mask,31,1,0,3,0,0,0
clang-O3-v3,chain_xor_mul,44,2,0,0,0,0,9
clang-O3-v3,split_xor_mul,108,3,0,0,1,1,16
clang-O3-v3,sum_one,60,3,0,0,1,1,0
clang-O3-v3,sum_four,85,5,0,0,1,1,0
clang-O3-v3,sum_twice,112,6,0,0,1,1,0
clang-O3-v3,sum_if,93,3,0,1,1,1,0
clang-O3-v3,filter_copy,63,8,5,0,0,0,0
clang-O3-v3,filter_copy_mask,45,2,0,5,0,0,0
