build,kernel,shuffled_over_sorted_p500,ci95_low,ci95_high,alternating_over_sorted_p500,max_over_min_all_datasets,fit_base_ns,fit_penalty_ns,fit_r2
gcc-scalar,sum_if,13.992,13.898,14.054,0.998,14.116,0.889,10.81,0.937
gcc-scalar,filter_copy,13.905,13.721,13.985,0.995,14.146,0.879,10.86,0.939
gcc-scalar,filter_copy_mask,1.023,1.015,1.025,1.025,1.080,0.431,0.00,0.003
gcc-O2,sum_if,1.000,1.000,1.000,1.000,1.004,0.803,-0.00,0.073
gcc-O2,filter_copy,13.996,13.889,14.048,0.992,14.165,0.878,10.91,0.939
gcc-O2,filter_copy_mask,1.025,1.024,1.030,1.027,1.056,0.429,0.01,0.034
gcc-O3-v3,sum_if,1.003,0.994,1.009,1.000,1.007,0.201,0.00,0.538
gcc-O3-v3,filter_copy,13.988,13.925,14.005,0.994,14.183,0.877,10.92,0.938
gcc-O3-v3,filter_copy_mask,1.037,1.024,1.041,1.030,1.045,0.426,0.02,0.227
clang-scalar,sum_if,0.997,0.997,0.999,1.000,1.003,0.310,-0.00,0.236
clang-scalar,filter_copy,14.622,14.503,14.721,0.901,16.542,0.513,9.41,0.988
clang-scalar,filter_copy_mask,1.019,1.010,1.027,1.004,1.025,0.417,0.00,0.085
clang-O2,sum_if,0.997,0.995,1.008,1.000,1.018,0.313,-0.00,0.052
clang-O2,filter_copy,14.521,14.444,14.695,0.886,16.701,0.513,9.53,0.988
clang-O2,filter_copy_mask,1.022,1.016,1.025,1.002,1.032,0.422,0.01,0.065
clang-O3-v3,sum_if,0.998,0.992,1.001,1.000,1.004,0.147,-0.00,0.564
clang-O3-v3,filter_copy,16.582,16.513,16.785,0.995,20.441,0.434,9.77,0.995
clang-O3-v3,filter_copy_mask,1.035,1.032,1.039,1.032,1.055,0.421,0.01,0.211
