build,kernel,dataset,processes,median_ns_per_element,ci95_low,ci95_high
gcc-scalar,sum_if,p000,15,0.4032,0.4030,0.4033
gcc-scalar,sum_if,p100,15,2.3095,2.2907,2.3165
gcc-scalar,sum_if,p250,15,4.1304,4.0912,4.2017
gcc-scalar,sum_if,p500,15,5.6896,5.6732,5.7048
gcc-scalar,sum_if,p750,15,4.0187,4.0024,4.0423
gcc-scalar,sum_if,p900,15,2.2401,2.2075,2.2778
gcc-scalar,sum_if,p1000,15,0.4031,0.4028,0.4033
gcc-scalar,sum_if,p500_sorted,15,0.4048,0.4043,0.4082
gcc-scalar,sum_if,p500_alternating,15,0.4042,0.4039,0.4128
gcc-scalar,filter_copy,p000,15,0.4030,0.4029,0.4033
gcc-scalar,filter_copy,p100,15,2.2653,2.2560,2.2762
gcc-scalar,filter_copy,p250,15,4.1187,4.1117,4.1469
gcc-scalar,filter_copy,p500,15,5.7013,5.6809,5.7196
gcc-scalar,filter_copy,p750,15,4.0708,4.0521,4.0888
gcc-scalar,filter_copy,p900,15,2.1920,2.1758,2.2108
gcc-scalar,filter_copy,p1000,15,0.4332,0.4214,0.4647
gcc-scalar,filter_copy,p500_sorted,15,0.4129,0.4080,0.4178
gcc-scalar,filter_copy,p500_alternating,15,0.4069,0.4064,0.4127
gcc-scalar,filter_copy_mask,p000,15,0.4152,0.4146,0.4157
gcc-scalar,filter_copy_mask,p100,15,0.4220,0.4200,0.4288
gcc-scalar,filter_copy_mask,p250,15,0.4285,0.4237,0.4327
gcc-scalar,filter_copy_mask,p500,15,0.4319,0.4292,0.4339
gcc-scalar,filter_copy_mask,p750,15,0.4376,0.4319,0.4430
gcc-scalar,filter_copy_mask,p900,15,0.4355,0.4329,0.4561
gcc-scalar,filter_copy_mask,p1000,15,0.4485,0.4327,0.4740
gcc-scalar,filter_copy_mask,p500_sorted,15,0.4212,0.4200,0.4311
gcc-scalar,filter_copy_mask,p500_alternating,15,0.4386,0.4299,0.4417
gcc-O2,sum_if,p000,15,0.8029,0.8023,0.8356
gcc-O2,sum_if,p100,15,0.8025,0.8022,0.8226
gcc-O2,sum_if,p250,15,0.8024,0.8022,0.8043
gcc-O2,sum_if,p500,15,0.8023,0.8022,0.8339
gcc-O2,sum_if,p750,15,0.8026,0.8022,0.8069
gcc-O2,sum_if,p900,15,0.8059,0.8023,0.8065
gcc-O2,sum_if,p1000,15,0.8025,0.8023,0.8306
gcc-O2,sum_if,p500_sorted,15,0.8045,0.8021,0.8155
gcc-O2,sum_if,p500_alternating,15,0.8049,0.8022,0.8176
gcc-O2,filter_copy,p000,15,0.4038,0.4027,0.4114
gcc-O2,filter_copy,p100,15,2.2647,2.2509,2.3110
gcc-O2,filter_copy,p250,15,4.1466,4.1296,4.2326
gcc-O2,filter_copy,p500,15,5.7201,5.6950,5.7561
gcc-O2,filter_copy,p750,15,4.0879,4.0646,4.1349
gcc-O2,filter_copy,p900,15,2.1980,2.1851,2.2401
gcc-O2,filter_copy,p1000,15,0.4223,0.4124,0.4394
gcc-O2,filter_copy,p500_sorted,15,0.4116,0.4069,0.4223
gcc-O2,filter_copy,p500_alternating,15,0.4058,0.4049,0.4189
