build,measure,processes,median_ns_per_element,ci95_low,ci95_high,min,max
gcc-scalar,chain_xor_mul,15,1.6137,1.6108,1.6211,,
gcc-scalar,split_xor_mul,15,0.5386,0.5352,0.5447,,
gcc-scalar,sum_one,15,0.4056,0.4040,0.4098,,
gcc-scalar,sum_four,15,0.2688,0.2687,0.2703,,
gcc-scalar,sum_one_bis,15,0.4044,0.4041,0.4064,,
gcc-scalar,sum_twice,15,0.8101,0.8069,0.8129,,
gcc-scalar,chain/split,15,3.0013,2.9760,3.0131,2.9356,3.0406
gcc-scalar,one/four,15,1.5035,1.5028,1.5070,1.4801,1.5518
gcc-scalar,bis/one,15,0.9996,0.9962,1.0010,0.9765,1.0153
gcc-scalar,twice/one,15,1.9998,1.9961,2.0040,1.9652,2.0491
gcc-O2,chain_xor_mul,15,1.6184,1.6090,1.6276,,
gcc-O2,split_xor_mul,15,0.5420,0.5395,0.5455,,
gcc-O2,sum_one,15,0.4046,0.4040,0.4120,,
gcc-O2,sum_four,15,0.1386,0.1382,0.1398,,
gcc-O2,sum_one_bis,15,0.4059,0.4038,0.4138,,
gcc-O2,sum_twice,15,0.8083,0.8062,0.8185,,
gcc-O2,chain/split,15,2.9937,2.9837,3.0072,2.9614,3.0372
gcc-O2,one/four,15,2.9212,2.9136,2.9280,2.8720,3.0416
gcc-O2,bis/one,15,1.0002,0.9994,1.0012,0.9895,1.0141
gcc-O2,twice/one,15,1.9982,1.9955,2.0001,1.9748,2.0064
gcc-O3-v3,chain_xor_mul,15,1.6164,1.6130,1.6195,,
gcc-O3-v3,split_xor_mul,15,0.3092,0.3087,0.3101,,
gcc-O3-v3,sum_one,15,0.1199,0.1195,0.1202,,
gcc-O3-v3,sum_four,15,0.1518,0.1515,0.1519,,
gcc-O3-v3,sum_one_bis,15,0.1198,0.1195,0.1201,,
gcc-O3-v3,sum_twice,15,0.2395,0.2390,0.2397,,
gcc-O3-v3,chain/split,15,5.2162,5.2110,5.2356,5.1988,5.3157
gcc-O3-v3,one/four,15,0.7895,0.7879,0.7915,0.7834,0.8100
gcc-O3-v3,bis/one,15,1.0002,0.9971,1.0028,0.9694,1.0030
gcc-O3-v3,twice/one,15,1.9968,1.9923,1.9988,1.9364,2.0130
clang-scalar,chain_xor_mul,15,1.6112,1.6098,1.6117,,
clang-scalar,split_xor_mul,15,0.4042,0.4036,0.4053,,
clang-scalar,sum_one,15,0.4030,0.4027,0.4034,,
clang-scalar,sum_four,15,0.2651,0.2648,0.2653,,
clang-scalar,sum_one_bis,15,0.4031,0.4027,0.4033,,
clang-scalar,sum_twice,15,0.8055,0.8047,0.8066,,
clang-scalar,chain/split,15,3.9832,3.9789,3.9864,3.9247,3.9924
clang-scalar,one/four,15,1.5211,1.5188,1.5255,1.5004,1.5319
clang-scalar,bis/one,15,1.0001,0.9989,1.0014,0.9916,1.0026
clang-scalar,twice/one,15,1.9985,1.9973,2.0003,1.9885,2.0077
clang-O2,chain_xor_mul,15,1.6443,1.6299,1.6637,,
clang-O2,split_xor_mul,15,0.5885,0.5879,0.5886,,
clang-O2,sum_one,15,0.1376,0.1374,0.1379,,
clang-O2,sum_four,15,0.2692,0.2690,0.2695,,
clang-O2,sum_one_bis,15,0.1378,0.1375,0.1380,,
clang-O2,sum_twice,15,0.2752,0.2749,0.2753,,
clang-O2,chain/split,15,2.7971,2.7724,2.8137,2.7623,2.8451
clang-O2,one/four,15,0.5112,0.5102,0.5127,0.5096,0.5138
clang-O2,bis/one,15,1.0017,1.0013,1.0022,0.9959,1.0036
clang-O2,twice/one,15,1.9998,1.9980,2.0028,1.9923,2.0048
clang-O3-v3,chain_xor_mul,15,1.6147,1.6121,1.6295,,
clang-O3-v3,split_xor_mul,15,0.3100,0.3090,0.3110,,
clang-O3-v3,sum_one,15,0.0929,0.0927,0.0931,,
clang-O3-v3,sum_four,15,0.1351,0.1348,0.1355,,
clang-O3-v3,sum_one_bis,15,0.0929,0.0927,0.0934,,
clang-O3-v3,sum_twice,15,0.1855,0.1854,0.1859,,
clang-O3-v3,chain/split,15,5.2294,5.2102,5.2705,5.1806,5.3011
clang-O3-v3,one/four,15,0.6872,0.6849,0.6879,0.6734,0.6915
clang-O3-v3,bis/one,15,1.0013,0.9994,1.0025,0.9965,1.0050
clang-O3-v3,twice/one,15,1.9961,1.9942,2.0024,1.9883,2.0103
