build,n,median_ns_per_call,fit_ns_per_call,residual_ns,fit_a_ns,fit_b_ns_per_element
gcc-scalar,1,1.614,-0.737,2.351,-1.143,0.4058
gcc-scalar,2,2.030,-0.332,2.362,-1.143,0.4058
gcc-scalar,3,2.840,0.074,2.766,-1.143,0.4058
gcc-scalar,4,3.442,0.480,2.962,-1.143,0.4058
gcc-scalar,6,4.239,1.291,2.948,-1.143,0.4058
gcc-scalar,8,5.633,2.103,3.530,-1.143,0.4058
gcc-scalar,12,7.059,3.726,3.334,-1.143,0.4058
gcc-scalar,16,8.680,5.349,3.332,-1.143,0.4058
gcc-scalar,24,11.924,8.595,3.329,-1.143,0.4058
gcc-scalar,32,15.115,11.841,3.274,-1.143,0.4058
gcc-scalar,48,32.647,18.333,14.314,-1.143,0.4058
gcc-scalar,64,36.974,24.825,12.148,-1.143,0.4058
gcc-scalar,96,46.737,37.809,8.928,-1.143,0.4058
gcc-scalar,128,55.790,50.794,4.996,-1.143,0.4058
gcc-scalar,192,77.342,76.762,0.580,-1.143,0.4058
gcc-scalar,256,102.397,102.731,-0.333,-1.143,0.4058
gcc-scalar,384,154.740,154.668,0.072,-1.143,0.4058
gcc-scalar,512,207.046,206.605,0.441,-1.143,0.4058
gcc-scalar,768,310.415,310.478,-0.063,-1.143,0.4058
gcc-scalar,1024,414.235,414.352,-0.117,-1.143,0.4058
gcc-O2,1,1.617,-0.631,2.247,-1.037,0.4063
gcc-O2,2,2.049,-0.224,2.273,-1.037,0.4063
gcc-O2,3,2.847,0.182,2.665,-1.037,0.4063
gcc-O2,4,3.438,0.588,2.849,-1.037,0.4063
gcc-O2,6,4.248,1.401,2.847,-1.037,0.4063
gcc-O2,8,5.353,2.213,3.140,-1.037,0.4063
gcc-O2,12,7.073,3.838,3.235,-1.037,0.4063
gcc-O2,16,8.692,5.464,3.228,-1.037,0.4063
gcc-O2,24,12.034,8.714,3.320,-1.037,0.4063
gcc-O2,32,15.261,11.964,3.297,-1.037,0.4063
gcc-O2,48,32.758,18.464,14.293,-1.037,0.4063
gcc-O2,64,36.959,24.965,11.994,-1.037,0.4063
gcc-O2,96,46.514,37.965,8.549,-1.037,0.4063
gcc-O2,128,55.784,50.966,4.817,-1.037,0.4063
gcc-O2,192,77.076,76.968,0.108,-1.037,0.4063
gcc-O2,256,102.836,102.969,-0.133,-1.037,0.4063
gcc-O2,384,155.015,154.972,0.043,-1.037,0.4063
gcc-O2,512,206.933,206.975,-0.043,-1.037,0.4063
gcc-O2,768,311.357,310.981,0.376,-1.037,0.4063
gcc-O2,1024,414.744,414.987,-0.243,-1.037,0.4063
gcc-O3-v3,1,3.405,10.580,-7.175,10.484,0.0962
gcc-O3-v3,2,3.441,10.676,-7.235,10.484,0.0962
gcc-O3-v3,3,2.943,10.772,-7.829,10.484,0.0962
gcc-O3-v3,4,2.417,10.868,-8.451,10.484,0.0962
gcc-O3-v3,6,3.630,11.061,-7.430,10.484,0.0962
gcc-O3-v3,8,2.832,11.253,-8.421,10.484,0.0962
gcc-O3-v3,12,3.633,11.638,-8.004,10.484,0.0962
gcc-O3-v3,16,4.246,12.023,-7.777,10.484,0.0962
gcc-O3-v3,24,5.029,12.792,-7.763,10.484,0.0962
gcc-O3-v3,32,6.053,13.562,-7.508,10.484,0.0962
gcc-O3-v3,48,9.631,15.101,-5.470,10.484,0.0962
gcc-O3-v3,64,9.261,16.639,-7.378,10.484,0.0962
gcc-O3-v3,96,12.485,19.717,-7.232,10.484,0.0962
gcc-O3-v3,128,15.697,22.795,-7.098,10.484,0.0962
gcc-O3-v3,192,30.734,28.951,1.783,10.484,0.0962
gcc-O3-v3,256,36.022,35.106,0.916,10.484,0.0962
gcc-O3-v3,384,46.659,47.418,-0.759,10.484,0.0962
gcc-O3-v3,512,59.526,59.729,-0.203,10.484,0.0962
gcc-O3-v3,768,83.907,84.352,-0.444,10.484,0.0962
gcc-O3-v3,1024,109.465,108.974,0.490,10.484,0.0962
