build,kernel,shuffled_over_sorted_p500,ci95_low,ci95_high,alternating_over_sorted_p500,max_over_min_all_datasets,fit_base_ns,fit_penalty_ns,fit_r2
gcc-scalar,sum_if,13.904,13.750,14.058,0.993,14.004,0.894,11.16,0.943
gcc-scalar,filter_copy,13.835,13.746,13.924,1.002,13.953,0.896,11.12,0.945
gcc-scalar,filter_copy_mask,1.062,1.033,1.090,1.015,1.293,0.493,-0.10,0.097
gcc-O2,sum_if,1.000,1.000,1.000,0.996,1.004,0.836,-0.00,0.365
gcc-O2,filter_copy,14.016,13.981,14.050,1.004,14.111,0.913,11.28,0.940
gcc-O2,filter_copy_mask,1.037,1.035,1.039,1.108,1.111,0.447,0.01,0.036
gcc-O3-v3,sum_if,1.002,1.000,1.004,0.997,1.047,0.204,-0.01,0.219
gcc-O3-v3,filter_copy,13.092,12.294,13.890,1.059,14.388,0.888,10.97,0.945
gcc-O3-v3,filter_copy_mask,1.005,0.961,1.049,0.987,1.385,0.451,0.04,0.019
clang-scalar,sum_if,1.005,0.968,1.043,1.317,1.323,0.332,-0.02,0.030
clang-scalar,filter_copy,12.883,11.190,14.577,0.884,16.127,0.586,9.56,0.984
clang-scalar,filter_copy_mask,1.095,0.976,1.214,1.007,1.543,0.496,0.02,0.001
clang-O2,sum_if,0.997,0.996,0.998,1.001,1.034,0.310,0.00,0.047
clang-O2,filter_copy,14.803,14.646,14.960,0.923,16.555,0.508,9.55,0.991
clang-O2,filter_copy_mask,1.015,1.009,1.021,1.031,1.057,0.423,-0.02,0.168
clang-O3-v3,sum_if,1.114,0.980,1.248,0.993,1.125,0.144,0.03,0.597
clang-O3-v3,filter_copy,17.075,16.919,17.231,1.008,20.464,0.437,9.76,0.995
clang-O3-v3,filter_copy_mask,1.021,1.009,1.034,1.001,1.063,0.427,-0.01,0.012
