build,kernel,dataset,processes,median_ns_per_element,ci95_low,ci95_high
gcc-scalar,sum_if,p000,2,0.4230,0.4193,0.4268
gcc-scalar,sum_if,p100,2,2.3627,2.3560,2.3694
gcc-scalar,sum_if,p250,2,4.1611,4.1508,4.1713
gcc-scalar,sum_if,p500,2,5.8809,5.8441,5.9177
gcc-scalar,sum_if,p750,2,4.1574,4.0830,4.2317
gcc-scalar,sum_if,p900,2,2.2447,2.1778,2.3115
gcc-scalar,sum_if,p1000,2,0.4200,0.4197,0.4202
gcc-scalar,sum_if,p500_sorted,2,0.4230,0.4209,0.4250
gcc-scalar,sum_if,p500_alternating,2,0.4202,0.4197,0.4207
gcc-scalar,filter_copy,p000,2,0.4213,0.4196,0.4230
gcc-scalar,filter_copy,p100,2,2.3548,2.3533,2.3563
gcc-scalar,filter_copy,p250,2,4.2006,4.1109,4.2904
gcc-scalar,filter_copy,p500,2,5.8785,5.8724,5.8846
gcc-scalar,filter_copy,p750,2,4.0906,4.0729,4.1084
gcc-scalar,filter_copy,p900,2,2.2244,2.2060,2.2428
gcc-scalar,filter_copy,p1000,2,0.4543,0.4362,0.4724
gcc-scalar,filter_copy,p500_sorted,2,0.4249,0.4218,0.4281
gcc-scalar,filter_copy,p500_alternating,2,0.4256,0.4254,0.4258
gcc-scalar,filter_copy_mask,p000,2,0.4347,0.4323,0.4371
gcc-scalar,filter_copy_mask,p100,2,0.4369,0.4366,0.4373
gcc-scalar,filter_copy_mask,p250,2,0.4407,0.4378,0.4437
gcc-scalar,filter_copy_mask,p500,2,0.4664,0.4471,0.4856
gcc-scalar,filter_copy_mask,p750,2,0.4482,0.4434,0.4529
gcc-scalar,filter_copy_mask,p900,2,0.5477,0.5304,0.5650
gcc-scalar,filter_copy_mask,p1000,2,0.5622,0.5473,0.5771
gcc-scalar,filter_copy_mask,p500_sorted,2,0.4391,0.4328,0.4454
gcc-scalar,filter_copy_mask,p500_alternating,2,0.4454,0.4414,0.4494
gcc-O2,sum_if,p000,2,0.8359,0.8358,0.8359
gcc-O2,sum_if,p100,2,0.8358,0.8358,0.8358
gcc-O2,sum_if,p250,2,0.8357,0.8357,0.8358
gcc-O2,sum_if,p500,2,0.8358,0.8356,0.8359
gcc-O2,sum_if,p750,2,0.8359,0.8358,0.8360
gcc-O2,sum_if,p900,2,0.8359,0.8358,0.8359
gcc-O2,sum_if,p1000,2,0.8360,0.8357,0.8363
gcc-O2,sum_if,p500_sorted,2,0.8356,0.8355,0.8356
gcc-O2,sum_if,p500_alternating,2,0.8323,0.8289,0.8358
gcc-O2,filter_copy,p000,2,0.4192,0.4191,0.4193
gcc-O2,filter_copy,p100,2,2.3146,2.2991,2.3301
gcc-O2,filter_copy,p250,2,4.3151,4.3087,4.3216
gcc-O2,filter_copy,p500,2,5.9154,5.8977,5.9331
gcc-O2,filter_copy,p750,2,4.2219,4.1897,4.2541
gcc-O2,filter_copy,p900,2,2.2584,2.2195,2.2973
gcc-O2,filter_copy,p1000,2,0.4754,0.4675,0.4834
gcc-O2,filter_copy,p500_sorted,2,0.4221,0.4218,0.4223
gcc-O2,filter_copy,p500_alternating,2,0.4235,0.4209,0.4261
gcc-O2,filter_copy_mask,p000,2,0.4325,0.4309,0.4341
gcc-O2,filter_copy_mask,p100,2,0.4394,0.4373,0.4416
gcc-O2,filter_copy_mask,p250,2,0.4539,0.4445,0.4633
gcc-O2,filter_copy_mask,p500,2,0.4501,0.4500,0.4502
gcc-O2,filter_copy_mask,p750,2,0.4481,0.4471,0.4491
gcc-O2,filter_copy_mask,p900,2,0.4726,0.4408,0.5045
gcc-O2,filter_copy_mask,p1000,2,0.4487,0.4484,0.4490
gcc-O2,filter_copy_mask,p500_sorted,2,0.4340,0.4332,0.4348
gcc-O2,filter_copy_mask,p500_alternating,2,0.4806,0.4467,0.5146
gcc-O3-v3,sum_if,p000,2,0.2016,0.2009,0.2023
gcc-O3-v3,sum_if,p100,2,0.2016,0.1995,0.2036
gcc-O3-v3,sum_if,p250,2,0.2015,0.1999,0.2031
gcc-O3-v3,sum_if,p500,2,0.2019,0.2018,0.2020
gcc-O3-v3,sum_if,p750,2,0.1994,0.1991,0.1998
gcc-O3-v3,sum_if,p900,2,0.2047,0.1993,0.2102
gcc-O3-v3,sum_if,p1000,2,0.2089,0.2010,0.2168
gcc-O3-v3,sum_if,p500_sorted,2,0.2014,0.2011,0.2018
gcc-O3-v3,sum_if,p500_alternating,2,0.2008,0.2002,0.2014
gcc-O3-v3,filter_copy,p000,2,0.4028,0.4028,0.4029
gcc-O3-v3,filter_copy,p100,2,2.2476,2.2356,2.2596
gcc-O3-v3,filter_copy,p250,2,4.2522,4.1648,4.3395
gcc-O3-v3,filter_copy,p500,2,5.7959,5.7018,5.8900
gcc-O3-v3,filter_copy,p750,2,3.9730,3.8575,4.0886
gcc-O3-v3,filter_copy,p900,2,2.1789,2.1519,2.2060
gcc-O3-v3,filter_copy,p1000,2,0.5230,0.4500,0.5960
gcc-O3-v3,filter_copy,p500_sorted,2,0.4448,0.4105,0.4791
gcc-O3-v3,filter_copy,p500_alternating,2,0.4735,0.4044,0.5426
gcc-O3-v3,filter_copy_mask,p000,2,0.4161,0.4149,0.4173
gcc-O3-v3,filter_copy_mask,p100,2,0.4372,0.4254,0.4490
gcc-O3-v3,filter_copy_mask,p250,2,0.4293,0.4240,0.4346
gcc-O3-v3,filter_copy_mask,p500,2,0.4353,0.4283,0.4423
gcc-O3-v3,filter_copy_mask,p750,2,0.5762,0.4477,0.7047
gcc-O3-v3,filter_copy_mask,p900,2,0.4537,0.4467,0.4606
gcc-O3-v3,filter_copy_mask,p1000,2,0.4615,0.4338,0.4892
gcc-O3-v3,filter_copy_mask,p500_sorted,2,0.4337,0.4216,0.4457
