build,measure,processes,median_ns_per_element,ci95_low,ci95_high,min,max
gcc-scalar,chain_xor_mul,2,1.6770,1.6769,1.6771,,
gcc-scalar,split_xor_mul,2,0.5481,0.5445,0.5517,,
gcc-scalar,sum_one,2,0.4183,0.4182,0.4185,,
gcc-scalar,sum_four,2,0.2756,0.2700,0.2811,,
gcc-scalar,sum_one_bis,2,0.4185,0.4182,0.4189,,
gcc-scalar,sum_twice,2,0.8414,0.8391,0.8437,,
gcc-scalar,chain/split,2,3.0599,3.0398,3.0800,3.0398,3.0800
gcc-scalar,one/four,2,1.5187,1.4876,1.5497,1.4876,1.5497
gcc-scalar,bis/one,2,1.0005,0.9994,1.0016,0.9994,1.0016
gcc-scalar,twice/one,2,2.0113,2.0064,2.0162,2.0064,2.0162
gcc-O2,chain_xor_mul,2,1.6779,1.6771,1.6787,,
gcc-O2,split_xor_mul,2,0.5563,0.5524,0.5601,,
gcc-O2,sum_one,2,0.4208,0.4183,0.4232,,
gcc-O2,sum_four,2,0.1397,0.1396,0.1398,,
gcc-O2,sum_one_bis,2,0.4179,0.4163,0.4195,,
gcc-O2,sum_twice,2,0.8394,0.8387,0.8402,,
gcc-O2,chain/split,2,3.0166,2.9969,3.0363,2.9969,3.0363
gcc-O2,one/four,2,3.0121,2.9962,3.0280,2.9962,3.0280
gcc-O2,bis/one,2,0.9932,0.9913,0.9952,0.9913,0.9952
gcc-O2,twice/one,2,1.9951,1.9851,2.0050,1.9851,2.0050
gcc-O3-v3,chain_xor_mul,2,1.6227,1.6198,1.6256,,
gcc-O3-v3,split_xor_mul,2,0.3284,0.3164,0.3405,,
gcc-O3-v3,sum_one,2,0.1215,0.1193,0.1236,,
gcc-O3-v3,sum_four,2,0.1541,0.1511,0.1570,,
gcc-O3-v3,sum_one_bis,2,0.1192,0.1191,0.1193,,
gcc-O3-v3,sum_twice,2,0.2386,0.2386,0.2387,,
gcc-O3-v3,chain/split,2,4.9479,4.7574,5.1384,4.7574,5.1384
gcc-O3-v3,one/four,2,0.7888,0.7599,0.8178,0.7599,0.8178
gcc-O3-v3,bis/one,2,0.9818,0.9653,0.9983,0.9653,0.9983
gcc-O3-v3,twice/one,2,1.9651,1.9309,1.9992,1.9309,1.9992
clang-scalar,chain_xor_mul,2,1.6602,1.6502,1.6702,,
clang-scalar,split_xor_mul,2,0.4250,0.4232,0.4267,,
clang-scalar,sum_one,2,0.4171,0.4156,0.4187,,
clang-scalar,sum_four,2,0.2725,0.2704,0.2747,,
clang-scalar,sum_one_bis,2,0.4103,0.4031,0.4175,,
clang-scalar,sum_twice,2,0.8276,0.8189,0.8364,,
clang-scalar,chain/split,2,3.9068,3.8673,3.9464,3.8673,3.9464
clang-scalar,one/four,2,1.5307,1.5129,1.5486,1.5129,1.5486
clang-scalar,bis/one,2,0.9836,0.9699,0.9972,0.9699,0.9972
clang-scalar,twice/one,2,1.9843,1.9559,2.0126,1.9559,2.0126
clang-O2,chain_xor_mul,2,1.6554,1.6386,1.6723,,
clang-O2,split_xor_mul,2,0.5853,0.5836,0.5869,,
clang-O2,sum_one,2,0.1394,0.1392,0.1395,,
clang-O2,sum_four,2,0.2643,0.2635,0.2652,,
clang-O2,sum_one_bis,2,0.1370,0.1369,0.1371,,
clang-O2,sum_twice,2,0.2757,0.2748,0.2767,,
clang-O2,chain/split,2,2.8285,2.8076,2.8494,2.8076,2.8494
clang-O2,one/four,2,0.5273,0.5262,0.5283,0.5262,0.5283
clang-O2,bis/one,2,0.9831,0.9823,0.9838,0.9823,0.9838
clang-O2,twice/one,2,1.9784,1.9741,1.9827,1.9741,1.9827
clang-O3-v3,chain_xor_mul,2,1.6094,1.6087,1.6102,,
clang-O3-v3,split_xor_mul,2,0.3258,0.3173,0.3342,,
clang-O3-v3,sum_one,2,0.0926,0.0923,0.0930,,
clang-O3-v3,sum_four,2,0.1344,0.1344,0.1345,,
clang-O3-v3,sum_one_bis,2,0.0923,0.0923,0.0923,,
clang-O3-v3,sum_twice,2,0.1863,0.1848,0.1878,,
clang-O3-v3,chain/split,2,4.9439,4.8135,5.0743,4.8135,5.0743
clang-O3-v3,one/four,2,0.6892,0.6869,0.6914,0.6869,0.6914
clang-O3-v3,bis/one,2,0.9962,0.9922,1.0002,0.9922,1.0002
clang-O3-v3,twice/one,2,2.0108,2.0014,2.0201,2.0014,2.0201
