build,n,median_ns_per_call,fit_ns_per_call,residual_ns,fit_a_ns,fit_b_ns_per_element
gcc-scalar,1,1.678,-3.991,5.668,-4.413,0.4218
gcc-scalar,2,2.089,-3.569,5.658,-4.413,0.4218
gcc-scalar,3,2.956,-3.147,6.103,-4.413,0.4218
gcc-scalar,4,3.556,-2.726,6.282,-4.413,0.4218
gcc-scalar,6,4.387,-1.882,6.269,-4.413,0.4218
gcc-scalar,8,5.967,-1.039,7.006,-4.413,0.4218
gcc-scalar,12,7.531,0.648,6.882,-4.413,0.4218
gcc-scalar,16,9.206,2.335,6.871,-4.413,0.4218
gcc-scalar,24,12.173,5.709,6.463,-4.413,0.4218
gcc-scalar,32,15.544,9.083,6.461,-4.413,0.4218
gcc-scalar,48,31.995,15.832,16.164,-4.413,0.4218
gcc-scalar,64,38.244,22.580,15.664,-4.413,0.4218
gcc-scalar,96,47.134,36.076,11.059,-4.413,0.4218
gcc-scalar,128,54.834,49.572,5.263,-4.413,0.4218
gcc-scalar,192,77.910,76.564,1.346,-4.413,0.4218
gcc-scalar,256,103.458,103.556,-0.098,-4.413,0.4218
gcc-scalar,384,158.057,157.540,0.517,-4.413,0.4218
gcc-scalar,512,211.534,211.524,0.010,-4.413,0.4218
gcc-scalar,768,318.475,319.493,-1.018,-4.413,0.4218
gcc-scalar,1024,428.051,427.462,0.589,-4.413,0.4218
gcc-O2,1,1.671,-1.480,3.151,-1.894,0.4137
gcc-O2,2,2.090,-1.067,3.157,-1.894,0.4137
gcc-O2,3,2.924,-0.653,3.577,-1.894,0.4137
gcc-O2,4,3.612,-0.239,3.852,-1.894,0.4137
gcc-O2,6,4.389,0.588,3.801,-1.894,0.4137
gcc-O2,8,5.432,1.416,4.017,-1.894,0.4137
gcc-O2,12,7.131,3.071,4.061,-1.894,0.4137
gcc-O2,16,8.802,4.725,4.076,-1.894,0.4137
gcc-O2,24,11.954,8.035,3.919,-1.894,0.4137
gcc-O2,32,15.522,11.345,4.177,-1.894,0.4137
gcc-O2,48,33.422,17.965,15.457,-1.894,0.4137
gcc-O2,64,37.170,24.584,12.585,-1.894,0.4137
gcc-O2,96,45.605,37.823,7.782,-1.894,0.4137
gcc-O2,128,56.396,51.062,5.334,-1.894,0.4137
gcc-O2,192,78.599,77.540,1.058,-1.894,0.4137
gcc-O2,256,104.627,104.019,0.609,-1.894,0.4137
gcc-O2,384,157.974,156.975,0.999,-1.894,0.4137
gcc-O2,512,207.624,209.932,-2.307,-1.894,0.4137
gcc-O2,768,316.135,315.844,0.291,-1.894,0.4137
gcc-O2,1024,422.166,421.757,0.409,-1.894,0.4137
gcc-O3-v3,1,3.532,9.125,-5.593,9.027,0.0973
gcc-O3-v3,2,3.550,9.222,-5.673,9.027,0.0973
gcc-O3-v3,3,2.954,9.319,-6.366,9.027,0.0973
gcc-O3-v3,4,2.439,9.417,-6.978,9.027,0.0973
gcc-O3-v3,6,3.209,9.611,-6.402,9.027,0.0973
gcc-O3-v3,8,2.882,9.806,-6.924,9.027,0.0973
gcc-O3-v3,12,3.736,10.195,-6.460,9.027,0.0973
gcc-O3-v3,16,4.216,10.585,-6.369,9.027,0.0973
gcc-O3-v3,24,5.016,11.364,-6.347,9.027,0.0973
gcc-O3-v3,32,6.024,12.142,-6.118,9.027,0.0973
gcc-O3-v3,48,10.198,13.700,-3.502,9.027,0.0973
gcc-O3-v3,64,9.385,15.257,-5.873,9.027,0.0973
gcc-O3-v3,96,13.322,18.373,-5.050,9.027,0.0973
gcc-O3-v3,128,15.753,21.488,-5.735,9.027,0.0973
gcc-O3-v3,192,35.509,27.718,7.791,9.027,0.0973
gcc-O3-v3,256,34.444,33.948,0.496,9.027,0.0973
gcc-O3-v3,384,46.337,46.408,-0.072,9.027,0.0973
gcc-O3-v3,512,58.600,58.868,-0.269,9.027,0.0973
gcc-O3-v3,768,83.016,83.789,-0.773,9.027,0.0973
gcc-O3-v3,1024,109.326,108.709,0.617,9.027,0.0973
clang-scalar,1,2.353,-26.351,28.704,-26.775,0.4235
clang-scalar,2,2.558,-25.928,28.486,-26.775,0.4235
clang-scalar,3,3.546,-25.504,29.050,-26.775,0.4235
clang-scalar,4,4.248,-25.081,29.328,-26.775,0.4235
clang-scalar,6,5.177,-24.234,29.411,-26.775,0.4235
