run_id,core,cpu,seed,rounds,warmup_rounds,min_log2,max_log2,accesses_log2
1,E,19,20260918,9,1,12,28,20
2,E,19,20260918,9,1,12,28,20
3,P,11,20260918,9,1,12,28,20
4,E,19,20260918,9,1,12,28,20
5,P,11,20260918,9,1,12,28,20
6,E,19,20260918,9,1,12,28,20
7,E,19,20260918,9,1,12,28,20
8,LP-E,21,20260918,9,1,12,28,20
9,LP-E,21,20260918,9,1,12,28,20
10,P,11,20260918,9,1,12,28,20
11,LP-E,21,20260918,9,1,12,28,20
12,P,11,20260918,9,1,12,28,20
13,P,11,20260918,9,1,12,28,20
14,P,11,20260918,9,1,12,28,20
15,LP-E,21,20260918,9,1,12,28,20
16,E,19,20260918,9,1,12,28,20
17,LP-E,21,20260918,9,1,12,28,20
18,LP-E,21,20260918,9,1,12,28,20
19,LP-E,21,20260918,9,1,12,28,20
20,P,11,20260918,9,1,12,28,20
21,E,19,20260918,9,1,12,28,20
22,P,11,20260918,9,1,12,28,20
23,E,19,20260918,9,1,12,28,20
24,LP-E,21,20260918,9,1,12,28,20
