run_id,core,seed,sample,round,phase,position,label,bytes,accesses,start,salt,elapsed_ns,cpu_before,cpu_after,result,expected
2,E,20260918,0,0,warmup,0,stride_1_bis,3145728,65536,21183,13107808366857584279,171272,19,19,13185799005872676414,13185799005872676414
2,E,20260918,1,0,warmup,1,stride_4097,262144,65536,13639,11794240697991786514,153009,19,19,1356218951846577520,1356218951846577520
2,E,20260918,2,0,warmup,2,stride_1,24576,65536,1709,16466069336927404523,138974,19,19,14316560984442008320,14316560984442008320
2,E,20260918,3,0,warmup,3,pair_split_line,262144,65536,7259,110453703769965719,211439,19,19,563356855186329157,563356855186329157
2,E,20260918,4,0,warmup,4,stride_4097,3145728,65536,38207,1059699532441203355,530878,19,19,704183384251601626,704183384251601626
2,E,20260918,5,0,warmup,5,stride_513,8388608,65536,823081,494720154621809615,704959,19,19,4035211726041598640,4035211726041598640
2,E,20260918,6,0,warmup,6,stride_4097,4194304,65536,194969,1557281167163214975,332713,19,19,9683513008967195580,9683513008967195580
2,E,20260918,7,0,warmup,7,random,393216,65536,42835,9431298070187764054,262547,19,19,18353641400414343870,18353641400414343870
2,E,20260918,8,0,warmup,8,pair_split_line,3145728,65536,272431,8717108370834202518,1171863,19,19,12451181258927380217,12451181258927380217
2,E,20260918,9,0,warmup,9,stride_17,16384,65536,1277,14829252776338352230,139302,19,19,596753317960570688,596753317960570688
2,E,20260918,10,0,warmup,10,stride_17,786432,65536,63153,217086251820434518,165908,19,19,10929696300509234709,10929696300509234709
2,E,20260918,11,0,warmup,11,stride_4097,16384,65536,1723,1151611032893300383,143491,19,19,596753317960570688,596753317960570688
2,E,20260918,12,0,warmup,12,stride_513,6144,65536,633,1778176563474496221,138997,19,19,2712015982458673152,2712015982458673152
2,E,20260918,13,0,warmup,13,stride_513,1572864,65536,102516,14345179679055794154,214214,19,19,18252957528441880977,18252957528441880977
2,E,20260918,14,0,warmup,14,stride_1_double,2097152,131072,212762,14340718783332863820,281681,19,19,7183685419225353693,7183685419225353693
2,E,20260918,15,0,warmup,15,stride_17,524288,65536,16641,11346766855471978502,143374,19,19,14463925804022624682,14463925804022624682
2,E,20260918,16,0,warmup,16,stride_4097,6291456,65536,756212,15557313754160206658,497585,19,19,14340052269676346422,14340052269676346422
2,E,20260918,17,0,warmup,17,random,98304,65536,8672,3401648804257169900,133755,19,19,15386258486856769659,15386258486856769659
