cpu,core_type,l1_kib,l2_kib,l2_shared_cpus,l3_kib,l3_shared_cpus
0,P,48,2048,"0,5",24576,0-19
1,P,48,2048,1-2,24576,0-19
2,P,48,2048,1-2,24576,0-19
3,P,48,2048,3-4,24576,0-19
4,P,48,2048,3-4,24576,0-19
5,P,48,2048,"0,5",24576,0-19
6,P,48,2048,6-7,24576,0-19
7,P,48,2048,6-7,24576,0-19
8,P,48,2048,8-9,24576,0-19
9,P,48,2048,8-9,24576,0-19
10,P,48,2048,10-11,24576,0-19
11,P,48,2048,10-11,24576,0-19
12,E,32,2048,12-15,24576,0-19
13,E,32,2048,12-15,24576,0-19
14,E,32,2048,12-15,24576,0-19
15,E,32,2048,12-15,24576,0-19
16,E,32,2048,16-19,24576,0-19
17,E,32,2048,16-19,24576,0-19
18,E,32,2048,16-19,24576,0-19
19,E,32,2048,16-19,24576,0-19
20,LP-E,32,2048,20-21,,
21,LP-E,32,2048,20-21,,
