core,label,bytes,processes,median_ns_per_access,ci95_low,ci95_high,q25,q75,median_gib_per_s
P,pair_same_line,4096,8,1.6399,1.5633,1.7632,1.5661,1.6933,9.086
P,pair_same_line,6144,8,1.6399,1.5890,1.6926,1.5958,1.6692,9.087
P,pair_same_line,8192,8,1.7642,1.5711,1.8614,1.5868,1.8557,8.446
P,pair_same_line,12288,8,1.6946,1.6016,1.8776,1.6055,1.7651,8.793
P,pair_same_line,16384,8,1.6127,1.5560,1.6398,1.5705,1.6388,9.240
P,pair_same_line,24576,8,1.5817,1.5583,1.6943,1.5584,1.6541,9.421
P,pair_same_line,32768,8,1.6706,1.5616,1.7555,1.5812,1.7081,8.920
P,pair_same_line,49152,8,1.7721,1.6029,1.9414,1.6487,1.9353,8.409
P,pair_same_line,65536,8,1.6936,1.6355,1.8672,1.6453,1.7516,8.799
P,pair_same_line,98304,8,1.8377,1.6881,2.0950,1.6995,2.0544,8.109
P,pair_same_line,131072,8,1.7910,1.7231,2.0855,1.7670,1.8984,8.320
P,pair_same_line,196608,8,1.9121,1.8936,1.9731,1.9002,1.9340,7.793
P,pair_same_line,262144,8,1.8203,1.7477,1.8945,1.7783,1.8650,8.186
P,pair_same_line,393216,8,1.8434,1.7936,1.9427,1.8136,1.9174,8.083
P,pair_same_line,524288,8,2.0146,1.9442,2.3209,1.9463,2.1879,7.397
P,pair_same_line,786432,8,2.1152,2.0291,2.3282,2.0609,2.2031,7.045
P,pair_same_line,1048576,8,2.2081,2.0836,2.3643,2.0884,2.3258,6.748
P,pair_same_line,1572864,8,2.5130,2.3319,2.7125,2.3571,2.6730,5.930
P,pair_same_line,2097152,8,3.0349,2.7382,3.3004,2.7822,3.2588,4.910
P,pair_same_line,3145728,8,3.6013,3.2931,4.3398,3.3991,4.0155,4.138
P,pair_same_line,4194304,8,4.1542,3.5234,4.9685,3.5372,4.5553,3.587
P,pair_same_line,6291456,8,6.3905,5.7383,7.8116,5.7484,7.7474,2.332
P,pair_same_line,8388608,8,9.4592,8.2855,9.9957,8.8184,9.7030,1.575
P,pair_same_line,12582912,8,11.8712,11.4114,12.3855,11.6281,12.2138,1.255
P,pair_same_line,16777216,8,12.8748,12.0932,13.1472,12.4435,13.0715,1.157
P,pair_same_line,25165824,8,13.7995,13.4551,14.7371,13.6525,14.3418,1.080
P,pair_same_line,33554432,8,14.6816,14.3046,15.2434,14.3939,14.9128,1.015
P,pair_same_line,50331648,8,15.7907,15.4669,16.0094,15.5111,15.9272,0.944
P,pair_same_line,67108864,8,16.3869,16.0042,16.9246,16.1437,16.8454,0.909
P,pair_same_line,100663296,8,16.7861,16.4805,17.0637,16.5688,17.0256,0.888
P,pair_same_line,134217728,8,17.3059,17.0872,17.6945,17.2145,17.4381,0.861
P,pair_same_line,201326592,8,18.3890,17.8163,18.9809,17.9730,18.5777,0.810
P,pair_same_line,268435456,8,18.4703,18.2433,19.0229,18.2776,18.7968,0.807
P,pair_split_line,4096,8,1.8668,1.8229,2.0011,1.8258,1.9699,7.982
P,pair_split_line,6144,8,1.8100,1.8042,1.8898,1.8047,1.8778,8.233
P,pair_split_line,8192,8,1.9061,1.8366,2.1964,1.8388,2.0818,7.817
