core,label,bytes,processes,median_ns_per_access,ci95_low,ci95_high,q25,q75,median_gib_per_s
P,pair_same_line,4096,1,2.1839,2.1839,2.1839,2.1839,2.1839,6.823
P,pair_same_line,6144,1,2.0350,2.0350,2.0350,2.0350,2.0350,7.322
P,pair_same_line,8192,1,1.8430,1.8430,1.8430,1.8430,1.8430,8.085
P,pair_same_line,12288,1,2.0357,2.0357,2.0357,2.0357,2.0357,7.320
P,pair_same_line,16384,1,2.2729,2.2729,2.2729,2.2729,2.2729,6.556
P,pair_same_line,24576,1,2.5804,2.5804,2.5804,2.5804,2.5804,5.775
P,pair_same_line,32768,1,2.3452,2.3452,2.3452,2.3452,2.3452,6.354
P,pair_same_line,49152,1,2.2798,2.2798,2.2798,2.2798,2.2798,6.536
P,pair_same_line,65536,1,2.2458,2.2458,2.2458,2.2458,2.2458,6.635
P,pair_same_line,98304,1,2.4573,2.4573,2.4573,2.4573,2.4573,6.064
P,pair_same_line,131072,1,1.8419,1.8419,1.8419,1.8419,1.8419,8.090
P,pair_same_line,196608,1,2.1431,2.1431,2.1431,2.1431,2.1431,6.953
P,pair_same_line,262144,1,2.1638,2.1638,2.1638,2.1638,2.1638,6.886
P,pair_same_line,393216,1,2.0639,2.0639,2.0639,2.0639,2.0639,7.220
P,pair_same_line,524288,1,2.0912,2.0912,2.0912,2.0912,2.0912,7.126
P,pair_same_line,786432,1,2.4961,2.4961,2.4961,2.4961,2.4961,5.970
P,pair_same_line,1048576,1,7.5808,7.5808,7.5808,7.5808,7.5808,1.966
P,pair_same_line,1572864,1,2.6481,2.6481,2.6481,2.6481,2.6481,5.627
P,pair_same_line,2097152,1,3.3262,3.3262,3.3262,3.3262,3.3262,4.480
P,pair_same_line,3145728,1,5.0971,5.0971,5.0971,5.0971,5.0971,2.923
P,pair_same_line,4194304,1,5.7310,5.7310,5.7310,5.7310,5.7310,2.600
P,pair_same_line,6291456,1,9.5260,9.5260,9.5260,9.5260,9.5260,1.564
P,pair_same_line,8388608,1,11.9855,11.9855,11.9855,11.9855,11.9855,1.243
P,pair_same_line,12582912,1,12.3285,12.3285,12.3285,12.3285,12.3285,1.209
P,pair_same_line,16777216,1,15.0532,15.0532,15.0532,15.0532,15.0532,0.990
P,pair_split_line,4096,1,2.6844,2.6844,2.6844,2.6844,2.6844,5.551
P,pair_split_line,6144,1,2.4257,2.4257,2.4257,2.4257,2.4257,6.143
P,pair_split_line,8192,1,2.2362,2.2362,2.2362,2.2362,2.2362,6.664
P,pair_split_line,12288,1,2.6349,2.6349,2.6349,2.6349,2.6349,5.655
P,pair_split_line,16384,1,2.2401,2.2401,2.2401,2.2401,2.2401,6.652
P,pair_split_line,24576,1,2.8859,2.8859,2.8859,2.8859,2.8859,5.163
P,pair_split_line,32768,1,2.5262,2.5262,2.5262,2.5262,2.5262,5.899
P,pair_split_line,49152,1,2.0435,2.0435,2.0435,2.0435,2.0435,7.292
P,pair_split_line,65536,1,2.7231,2.7231,2.7231,2.7231,2.7231,5.472
P,pair_split_line,98304,1,2.9872,2.9872,2.9872,2.9872,2.9872,4.988
P,pair_split_line,131072,1,2.6382,2.6382,2.6382,2.6382,2.6382,5.648
P,pair_split_line,196608,1,3.0246,3.0246,3.0246,3.0246,3.0246,4.927
P,pair_split_line,262144,1,3.2227,3.2227,3.2227,3.2227,3.2227,4.624
P,pair_split_line,393216,1,2.4785,2.4785,2.4785,2.4785,2.4785,6.012
P,pair_split_line,524288,1,2.7857,2.7857,2.7857,2.7857,2.7857,5.349
P,pair_split_line,786432,1,3.3879,3.3879,3.3879,3.3879,3.3879,4.398
P,pair_split_line,1048576,1,3.2028,3.2028,3.2028,3.2028,3.2028,4.653
P,pair_split_line,1572864,1,3.8091,3.8091,3.8091,3.8091,3.8091,3.912
P,pair_split_line,2097152,1,5.2668,5.2668,5.2668,5.2668,5.2668,2.829
P,pair_split_line,3145728,1,12.3248,12.3248,12.3248,12.3248,12.3248,1.209
P,pair_split_line,4194304,1,7.3752,7.3752,7.3752,7.3752,7.3752,2.020
P,pair_split_line,6291456,1,6.2626,6.2626,6.2626,6.2626,6.2626,2.379
P,pair_split_line,8388608,1,14.0383,14.0383,14.0383,14.0383,14.0383,1.061
P,pair_split_line,12582912,1,12.1647,12.1647,12.1647,12.1647,12.1647,1.225
P,pair_split_line,16777216,1,22.0601,22.0601,22.0601,22.0601,22.0601,0.675
P,random,4096,1,1.2348,1.2348,1.2348,1.2348,1.2348,6.034
P,random,6144,1,1.3033,1.3033,1.3033,1.3033,1.3033,5.717
P,random,8192,1,1.2949,1.2949,1.2949,1.2949,1.2949,5.754
P,random,12288,1,1.3637,1.3637,1.3637,1.3637,1.3637,5.464
P,random,16384,1,3.0213,3.0213,3.0213,3.0213,3.0213,2.466
P,random,24576,1,1.3684,1.3684,1.3684,1.3684,1.3684,5.445
P,random,32768,1,1.7518,1.7518,1.7518,1.7518,1.7518,4.253
P,random,49152,1,1.3648,1.3648,1.3648,1.3648,1.3648,5.459
P,random,65536,1,1.3524,1.3524,1.3524,1.3524,1.3524,5.509
P,random,98304,1,1.2224,1.2224,1.2224,1.2224,1.2224,6.095
P,random,131072,1,1.2817,1.2817,1.2817,1.2817,1.2817,5.813
P,random,196608,1,1.6740,1.6740,1.6740,1.6740,1.6740,4.451
P,random,262144,1,1.6398,1.6398,1.6398,1.6398,1.6398,4.544
P,random,393216,1,1.1329,1.1329,1.1329,1.1329,1.1329,6.576
P,random,524288,1,1.9679,1.9679,1.9679,1.9679,1.9679,3.786
P,random,786432,1,1.4606,1.4606,1.4606,1.4606,1.4606,5.101
P,random,1048576,1,2.4568,2.4568,2.4568,2.4568,2.4568,3.033
P,random,1572864,1,1.6614,1.6614,1.6614,1.6614,1.6614,4.485
P,random,2097152,1,5.2233,5.2233,5.2233,5.2233,5.2233,1.426
P,random,3145728,1,2.3402,2.3402,2.3402,2.3402,2.3402,3.184
P,random,4194304,1,6.4409,6.4409,6.4409,6.4409,6.4409,1.157
P,random,6291456,1,4.5016,4.5016,4.5016,4.5016,4.5016,1.655
P,random,8388608,1,6.5776,6.5776,6.5776,6.5776,6.5776,1.133
