run_id,core,cpu,pages,seed,rounds,warmup_rounds,min_log2,max_log2,accesses_log2,chase_accesses_log2,fault_small_log2,fault_large_log2
1,LP-E,21,4k,20260919,11,1,12,28,20,18,24,28
2,P,11,4k,20260919,11,1,12,28,20,18,24,28
3,P,11,2m,20260919,11,1,12,28,20,18,24,28
4,LP-E,21,2m,20260919,11,1,12,28,20,18,24,28
5,LP-E,21,4k,20260919,11,1,12,28,20,18,24,28
6,LP-E,21,2m,20260919,11,1,12,28,20,18,24,28
7,LP-E,21,4k,20260919,11,1,12,28,20,18,24,28
8,P,11,4k,20260919,11,1,12,28,20,18,24,28
9,LP-E,21,4k,20260919,11,1,12,28,20,18,24,28
10,LP-E,21,2m,20260919,11,1,12,28,20,18,24,28
11,LP-E,21,2m,20260919,11,1,12,28,20,18,24,28
12,P,11,2m,20260919,11,1,12,28,20,18,24,28
13,LP-E,21,2m,20260919,11,1,12,28,20,18,24,28
14,P,11,2m,20260919,11,1,12,28,20,18,24,28
15,P,11,4k,20260919,11,1,12,28,20,18,24,28
16,P,11,4k,20260919,11,1,12,28,20,18,24,28
17,LP-E,21,4k,20260919,11,1,12,28,20,18,24,28
18,P,11,2m,20260919,11,1,12,28,20,18,24,28
19,P,11,4k,20260919,11,1,12,28,20,18,24,28
20,P,11,4k,20260919,11,1,12,28,20,18,24,28
21,P,11,2m,20260919,11,1,12,28,20,18,24,28
22,LP-E,21,4k,20260919,11,1,12,28,20,18,24,28
23,P,11,2m,20260919,11,1,12,28,20,18,24,28
24,P,11,2m,20260919,11,1,12,28,20,18,24,28
25,LP-E,21,2m,20260919,11,1,12,28,20,18,24,28
26,LP-E,21,4k,20260919,11,1,12,28,20,18,24,28
27,LP-E,21,4k,20260919,11,1,12,28,20,18,24,28
28,LP-E,21,2m,20260919,11,1,12,28,20,18,24,28
29,P,11,4k,20260919,11,1,12,28,20,18,24,28
30,P,11,2m,20260919,11,1,12,28,20,18,24,28
31,LP-E,21,2m,20260919,11,1,12,28,20,18,24,28
32,P,11,4k,20260919,11,1,12,28,20,18,24,28
