core,pages,label,bytes,processes,median_ns_per_access,ci95_low,ci95_high
LP-E,2m,chase_random,4096,8,1.690,1.674,1.698
LP-E,2m,chase_random,8192,8,1.760,1.748,1.825
LP-E,2m,chase_random,16384,8,1.905,1.849,2.028
LP-E,2m,chase_random,32768,8,2.260,2.231,2.341
LP-E,2m,chase_random,65536,8,6.894,6.641,7.192
LP-E,2m,chase_random,131072,8,9.562,9.312,9.863
LP-E,2m,chase_random,262144,8,13.331,12.460,13.497
LP-E,2m,chase_random,524288,8,18.644,18.284,19.274
LP-E,2m,chase_random,1048576,8,29.771,29.063,29.927
LP-E,2m,chase_random,2097152,8,62.419,59.796,64.395
LP-E,2m,chase_random,4194304,8,228.546,226.817,231.306
LP-E,2m,chase_random,8388608,8,305.458,303.365,307.676
LP-E,2m,chase_random,16777216,8,347.700,346.561,349.228
LP-E,2m,chase_random,33554432,8,364.540,362.908,367.588
LP-E,2m,chase_random,67108864,8,373.953,369.977,375.640
LP-E,2m,chase_random,134217728,8,379.340,378.504,384.566
LP-E,2m,chase_random,268435456,8,384.087,380.046,388.947
LP-E,2m,chase_random_double,4096,8,1.713,1.662,1.986
LP-E,2m,chase_random_double,8192,8,1.842,1.751,2.003
LP-E,2m,chase_random_double,16384,8,1.814,1.787,1.914
LP-E,2m,chase_random_double,32768,8,2.037,1.952,2.177
LP-E,2m,chase_random_double,65536,8,6.447,6.312,6.546
LP-E,2m,chase_random_double,131072,8,8.907,8.643,9.042
LP-E,2m,chase_random_double,262144,8,10.830,10.592,11.177
LP-E,2m,chase_random_double,524288,8,13.925,13.657,14.299
LP-E,2m,chase_random_double,1048576,8,19.331,19.093,19.593
LP-E,2m,chase_random_double,2097152,8,40.777,39.513,41.784
LP-E,2m,chase_random_double,4194304,8,223.372,220.053,225.164
LP-E,2m,chase_random_double,8388608,8,304.133,301.848,305.598
LP-E,2m,chase_random_double,16777216,8,343.758,341.650,345.282
LP-E,2m,chase_random_double,33554432,8,364.690,363.971,366.226
LP-E,2m,chase_random_double,67108864,8,375.205,373.135,376.830
LP-E,2m,chase_random_double,134217728,8,381.168,379.912,383.680
LP-E,2m,chase_random_double,268435456,8,384.647,379.831,385.875
LP-E,2m,chase_sequential,4096,8,1.630,1.617,1.652
LP-E,2m,chase_sequential,8192,8,1.657,1.632,1.688
LP-E,2m,chase_sequential,16384,8,1.648,1.635,1.703
LP-E,2m,chase_sequential,32768,8,1.679,1.666,1.690
LP-E,2m,chase_sequential,65536,8,1.699,1.690,1.713
LP-E,2m,chase_sequential,131072,8,1.744,1.725,2.046
LP-E,2m,chase_sequential,262144,8,1.791,1.768,1.801
LP-E,2m,chase_sequential,524288,8,1.963,1.913,2.252
LP-E,2m,chase_sequential,1048576,8,2.614,2.465,2.764
LP-E,2m,chase_sequential,2097152,8,2.767,2.717,3.223
LP-E,2m,chase_sequential,4194304,8,2.744,2.698,3.006
LP-E,2m,chase_sequential,8388608,8,2.784,2.723,2.971
LP-E,2m,chase_sequential,16777216,8,2.897,2.707,3.065
LP-E,2m,chase_sequential,33554432,8,2.769,2.721,3.031
LP-E,2m,chase_sequential,67108864,8,2.866,2.728,3.234
