core,pages,bytes,chase_over_independent,ci95_low,ci95_high,sequential_over_chase,seq_ci95_low,seq_ci95_high
LP-E,2m,4096,0.960,0.952,1.039,0.9677,0.9532,0.9804
LP-E,2m,8192,1.001,0.982,1.084,0.9364,0.9273,0.9639
LP-E,2m,16384,1.140,1.037,1.176,0.8667,0.8039,0.8987
LP-E,2m,32768,1.267,1.250,1.447,0.7490,0.6983,0.7523
LP-E,2m,65536,3.679,3.602,3.980,0.2459,0.2366,0.2555
LP-E,2m,131072,5.017,4.914,5.363,0.1859,0.1719,0.2135
LP-E,2m,262144,6.605,6.257,7.288,0.1337,0.1306,0.1445
LP-E,2m,524288,8.350,7.836,8.708,0.1033,0.0999,0.1231
LP-E,2m,1048576,11.176,10.457,11.396,0.0889,0.0855,0.0951
LP-E,2m,2097152,10.861,10.623,11.642,0.0455,0.0422,0.0517
LP-E,2m,4194304,10.403,10.396,10.426,0.0119,0.0118,0.0132
LP-E,2m,8388608,12.153,11.979,12.337,0.0091,0.0090,0.0098
LP-E,2m,16777216,12.459,12.391,12.595,0.0083,0.0078,0.0088
LP-E,2m,33554432,12.282,12.247,12.334,0.0076,0.0074,0.0083
LP-E,2m,67108864,12.115,12.020,12.134,0.0077,0.0073,0.0087
LP-E,2m,134217728,12.100,12.041,12.169,0.0074,0.0072,0.0083
LP-E,2m,268435456,12.127,12.023,12.186,0.0071,0.0068,0.0073
LP-E,4k,4096,0.976,0.879,1.005,0.9518,0.9411,0.9666
LP-E,4k,8192,1.006,0.986,1.124,0.9410,0.9205,1.0758
LP-E,4k,16384,1.153,1.082,1.285,0.8535,0.7595,0.8634
LP-E,4k,32768,1.286,1.238,1.373,0.7210,0.6711,0.7360
LP-E,4k,65536,3.945,3.745,4.069,0.2403,0.2258,0.2586
LP-E,4k,131072,5.395,5.124,5.589,0.1918,0.1697,0.2132
LP-E,4k,262144,7.227,7.011,7.336,0.1296,0.1210,0.1316
LP-E,4k,524288,9.820,9.463,9.964,0.0947,0.0910,0.1045
LP-E,4k,1048576,12.100,11.887,12.583,0.0727,0.0698,0.0774
LP-E,4k,2097152,6.056,5.844,6.179,0.0288,0.0279,0.0348
LP-E,4k,4194304,10.592,10.437,10.827,0.0116,0.0115,0.0119
LP-E,4k,8388608,12.263,12.200,12.355,0.0091,0.0088,0.0098
LP-E,4k,16777216,12.146,12.037,12.213,0.0084,0.0081,0.0092
LP-E,4k,33554432,11.733,11.679,11.888,0.0073,0.0072,0.0082
LP-E,4k,67108864,11.356,11.313,11.415,0.0070,0.0069,0.0072
LP-E,4k,134217728,10.800,10.708,10.896,0.0068,0.0066,0.0070
LP-E,4k,268435456,8.792,8.695,8.828,0.0066,0.0064,0.0071
P,2m,4096,1.875,1.584,2.106,1.0039,0.9355,1.3953
P,2m,8192,2.318,2.027,2.861,0.9256,0.7485,1.7556
P,2m,16384,1.915,1.739,2.534,1.0741,0.7548,1.1760
P,2m,32768,2.127,1.915,2.633,1.0285,0.9433,1.1796
P,2m,65536,3.326,2.850,4.849,0.5314,0.3751,0.6970
P,2m,131072,5.238,4.143,5.852,0.3521,0.3235,0.4264
P,2m,262144,6.594,4.606,7.871,0.2813,0.2445,0.3350
P,2m,524288,10.140,8.366,10.799,0.1896,0.1711,0.2154
P,2m,1048576,9.680,7.842,11.261,0.1573,0.1356,0.2067
P,2m,2097152,14.945,12.731,16.590,0.0877,0.0767,0.0935
P,2m,4194304,18.890,17.583,19.911,0.0221,0.0205,0.0239
P,2m,8388608,20.104,18.890,21.299,0.0154,0.0139,0.0168
P,2m,16777216,21.898,21.335,22.280,0.0114,0.0112,0.0120
P,2m,33554432,21.833,20.997,22.145,0.0104,0.0102,0.0107
P,2m,67108864,20.859,19.823,21.465,0.0117,0.0098,0.0153
P,2m,134217728,20.754,19.613,21.668,0.0098,0.0094,0.0102
P,2m,268435456,20.451,19.920,21.958,0.0101,0.0094,0.0102
P,4k,4096,2.131,1.582,2.386,0.9611,0.9171,1.0523
P,4k,8192,1.804,1.589,2.170,1.0281,0.9035,1.1344
P,4k,16384,1.892,1.330,3.254,0.9997,0.6975,1.0790
P,4k,32768,2.136,1.831,2.773,0.9303,0.7812,1.1028
P,4k,65536,3.479,3.267,4.635,0.5596,0.4252,0.6476
P,4k,131072,5.620,4.961,6.139,0.3308,0.2943,0.4119
P,4k,262144,7.717,6.098,8.402,0.2525,0.2194,0.2727
P,4k,524288,9.260,7.334,10.096,0.1797,0.1625,0.1921
P,4k,1048576,11.736,10.710,12.876,0.1223,0.1139,0.1406
P,4k,2097152,15.051,12.014,17.928,0.0725,0.0651,0.0790
P,4k,4194304,21.668,17.159,22.148,0.0270,0.0245,0.0314
P,4k,8388608,19.499,17.720,20.683,0.0144,0.0133,0.0153
P,4k,16777216,18.698,16.688,21.967,0.0114,0.0108,0.0122
P,4k,33554432,19.188,17.313,19.606,0.0095,0.0093,0.0100
P,4k,67108864,18.528,17.538,19.570,0.0092,0.0088,0.0095
P,4k,134217728,17.616,16.035,18.240,0.0090,0.0083,0.0109
P,4k,268435456,15.607,14.895,16.941,0.0088,0.0084,0.0097
