core,label,bytes,cost_4k_over_2m,ci95_low,ci95_high
P,chase_random,4096,1.044,0.906,1.186
P,chase_random,8192,0.852,0.677,0.958
P,chase_random,16384,0.977,0.743,1.439
P,chase_random,32768,1.044,0.776,1.265
P,chase_random,65536,0.978,0.669,1.198
P,chase_random,131072,1.023,0.901,1.193
P,chase_random,262144,1.137,0.923,1.225
P,chase_random,524288,0.975,0.861,1.090
P,chase_random,1048576,1.137,1.024,1.275
P,chase_random,2097152,1.143,1.026,1.257
P,chase_random,4194304,0.788,0.719,0.854
P,chase_random,8388608,0.934,0.886,0.994
P,chase_random,16777216,1.010,0.941,1.043
P,chase_random,33554432,1.071,1.041,1.123
P,chase_random,67108864,1.105,1.072,1.140
P,chase_random,134217728,1.095,1.062,1.137
P,chase_random,268435456,1.120,1.065,1.151
P,independent_random,4096,0.892,0.765,1.044
P,independent_random,8192,1.082,0.944,1.167
P,independent_random,16384,0.956,0.856,1.271
P,independent_random,32768,1.006,0.887,1.105
P,independent_random,65536,0.881,0.817,0.968
P,independent_random,131072,0.922,0.834,1.032
P,independent_random,262144,1.000,0.754,1.082
P,independent_random,524288,1.044,0.922,1.322
P,independent_random,1048576,0.929,0.787,1.086
P,independent_random,2097152,1.157,0.889,1.424
P,independent_random,4194304,0.728,0.641,0.776
P,independent_random,8388608,0.952,0.917,1.011
P,independent_random,16777216,1.222,1.060,1.263
P,independent_random,33554432,1.252,1.189,1.350
P,independent_random,67108864,1.233,1.177,1.286
P,independent_random,134217728,1.292,1.216,1.414
P,independent_random,268435456,1.454,1.354,1.573
P,chase_sequential,4096,1.007,0.778,1.105
P,chase_sequential,8192,0.818,0.563,1.041
P,chase_sequential,16384,0.939,0.637,1.067
P,chase_sequential,32768,0.861,0.796,1.064
P,chase_sequential,65536,0.947,0.791,1.117
P,chase_sequential,131072,0.948,0.815,1.109
P,chase_sequential,262144,1.023,0.843,1.073
P,chase_sequential,524288,0.919,0.817,1.029
P,chase_sequential,1048576,0.945,0.674,1.022
P,chase_sequential,2097152,0.923,0.892,1.011
P,chase_sequential,4194304,0.952,0.909,1.028
P,chase_sequential,8388608,0.896,0.805,0.947
P,chase_sequential,16777216,0.982,0.936,1.081
P,chase_sequential,33554432,0.988,0.951,1.022
P,chase_sequential,67108864,0.882,0.674,1.024
P,chase_sequential,134217728,0.988,0.953,1.214
P,chase_sequential,268435456,0.972,0.918,1.092
LP-E,chase_random,4096,1.012,1.003,1.032
LP-E,chase_random,8192,1.005,0.973,1.030
LP-E,chase_random,16384,1.011,0.951,1.178
LP-E,chase_random,32768,1.019,0.985,1.074
LP-E,chase_random,65536,1.034,0.938,1.102
LP-E,chase_random,131072,1.041,0.990,1.082
LP-E,chase_random,262144,1.074,1.042,1.145
LP-E,chase_random,524288,1.170,1.132,1.205
LP-E,chase_random,1048576,1.156,1.134,1.189
LP-E,chase_random,2097152,1.523,1.472,1.599
LP-E,chase_random,4194304,1.033,1.019,1.050
LP-E,chase_random,8388608,1.014,1.002,1.031
LP-E,chase_random,16777216,1.018,1.011,1.031
LP-E,chase_random,33554432,1.044,1.032,1.053
LP-E,chase_random,67108864,1.062,1.049,1.072
LP-E,chase_random,134217728,1.086,1.071,1.089
LP-E,chase_random,268435456,1.128,1.111,1.142
LP-E,independent_random,4096,1.002,0.991,1.094
LP-E,independent_random,8192,0.993,0.961,1.058
LP-E,independent_random,16384,1.006,0.971,1.082
LP-E,independent_random,32768,0.999,0.974,1.041
LP-E,independent_random,65536,0.980,0.955,1.011
LP-E,independent_random,131072,0.976,0.921,1.013
LP-E,independent_random,262144,1.019,0.969,1.043
LP-E,independent_random,524288,0.999,0.967,1.023
LP-E,independent_random,1048576,1.057,1.002,1.094
LP-E,independent_random,2097152,2.794,2.667,2.926
LP-E,independent_random,4194304,1.010,0.995,1.027
LP-E,independent_random,8388608,1.005,0.991,1.022
LP-E,independent_random,16777216,1.047,1.037,1.056
LP-E,independent_random,33554432,1.084,1.072,1.098
LP-E,independent_random,67108864,1.133,1.118,1.142
LP-E,independent_random,134217728,1.213,1.200,1.224
LP-E,independent_random,268435456,1.558,1.526,1.585
LP-E,chase_sequential,4096,0.993,0.982,1.017
LP-E,chase_sequential,8192,1.007,0.968,1.200
LP-E,chase_sequential,16384,0.996,0.971,1.089
LP-E,chase_sequential,32768,0.980,0.972,1.001
LP-E,chase_sequential,65536,0.997,0.989,1.016
LP-E,chase_sequential,131072,1.046,0.904,1.212
LP-E,chase_sequential,262144,1.008,0.990,1.064
LP-E,chase_sequential,524288,1.037,0.938,1.153
LP-E,chase_sequential,1048576,0.943,0.894,1.043
LP-E,chase_sequential,2097152,0.986,0.895,1.130
LP-E,chase_sequential,4194304,0.993,0.929,1.035
LP-E,chase_sequential,8388608,1.008,0.939,1.077
LP-E,chase_sequential,16777216,1.029,0.951,1.140
LP-E,chase_sequential,33554432,1.009,0.937,1.113
LP-E,chase_sequential,67108864,0.968,0.858,1.021
LP-E,chase_sequential,134217728,0.984,0.874,1.039
LP-E,chase_sequential,268435456,1.035,0.993,1.120
