core,pages,label,bytes,processes,median_ns_per_access,ci95_low,ci95_high
LP-E,2m,chase_random,4096,1,3.918,3.918,3.918
LP-E,2m,chase_random,8192,1,5.147,5.147,5.147
LP-E,2m,chase_random,16384,1,18.886,18.886,18.886
LP-E,2m,chase_random,32768,1,3.941,3.941,3.941
LP-E,2m,chase_random,65536,1,11.118,11.118,11.118
LP-E,2m,chase_random,131072,1,51.093,51.093,51.093
LP-E,2m,chase_random,262144,1,85.167,85.167,85.167
LP-E,2m,chase_random,524288,1,167.887,167.887,167.887
LP-E,2m,chase_random,1048576,1,233.326,233.326,233.326
LP-E,2m,chase_random,2097152,1,304.172,304.172,304.172
LP-E,2m,chase_random,4194304,1,342.876,342.876,342.876
LP-E,2m,chase_random,8388608,1,337.364,337.364,337.364
LP-E,2m,chase_random,16777216,1,342.236,342.236,342.236
LP-E,2m,chase_random_double,4096,1,3.813,3.813,3.813
LP-E,2m,chase_random_double,8192,1,4.666,4.666,4.666
LP-E,2m,chase_random_double,16384,1,5.375,5.375,5.375
LP-E,2m,chase_random_double,32768,1,14.128,14.128,14.128
LP-E,2m,chase_random_double,65536,1,19.991,19.991,19.991
LP-E,2m,chase_random_double,131072,1,33.815,33.815,33.815
LP-E,2m,chase_random_double,262144,1,56.096,56.096,56.096
LP-E,2m,chase_random_double,524288,1,103.393,103.393,103.393
LP-E,2m,chase_random_double,1048576,1,169.905,169.905,169.905
LP-E,2m,chase_random_double,2097152,1,226.240,226.240,226.240
LP-E,2m,chase_random_double,4194304,1,317.093,317.093,317.093
LP-E,2m,chase_random_double,8388608,1,339.431,339.431,339.431
LP-E,2m,chase_random_double,16777216,1,350.094,350.094,350.094
LP-E,2m,chase_sequential,4096,1,3.494,3.494,3.494
LP-E,2m,chase_sequential,8192,1,3.518,3.518,3.518
LP-E,2m,chase_sequential,16384,1,3.503,3.503,3.503
LP-E,2m,chase_sequential,32768,1,3.532,3.532,3.532
LP-E,2m,chase_sequential,65536,1,3.643,3.643,3.643
LP-E,2m,chase_sequential,131072,1,4.210,4.210,4.210
LP-E,2m,chase_sequential,262144,1,3.846,3.846,3.846
LP-E,2m,chase_sequential,524288,1,3.930,3.930,3.930
LP-E,2m,chase_sequential,1048576,1,3.930,3.930,3.930
LP-E,2m,chase_sequential,2097152,1,3.885,3.885,3.885
