core,pages,bytes,chase_over_independent,ci95_low,ci95_high,sequential_over_chase,seq_ci95_low,seq_ci95_high
LP-E,2m,4096,1.106,1.106,1.106,0.8919,0.8919,0.8919
LP-E,2m,8192,1.415,1.415,1.415,0.6835,0.6835,0.6835
LP-E,2m,16384,5.776,5.776,5.776,0.1855,0.1855,0.1855
LP-E,2m,32768,1.089,1.089,1.089,0.8962,0.8962,0.8962
LP-E,2m,65536,2.693,2.693,2.693,0.3277,0.3277,0.3277
LP-E,2m,131072,6.809,6.809,6.809,0.0824,0.0824,0.0824
LP-E,2m,262144,25.345,25.345,25.345,0.0452,0.0452,0.0452
LP-E,2m,524288,13.309,13.309,13.309,0.0234,0.0234,0.0234
LP-E,2m,1048576,12.968,12.968,12.968,0.0168,0.0168,0.0168
LP-E,2m,2097152,13.634,13.634,13.634,0.0128,0.0128,0.0128
LP-E,2m,4194304,12.946,12.946,12.946,0.0117,0.0117,0.0117
LP-E,2m,8388608,9.496,9.496,9.496,0.0125,0.0125,0.0125
LP-E,2m,16777216,10.642,10.642,10.642,0.0154,0.0154,0.0154
LP-E,4k,4096,1.352,1.352,1.352,0.7887,0.7887,0.7887
LP-E,4k,8192,1.035,1.035,1.035,1.0049,1.0049,1.0049
LP-E,4k,16384,1.248,1.248,1.248,0.4440,0.4440,0.4440
LP-E,4k,32768,3.517,3.517,3.517,0.2842,0.2842,0.2842
LP-E,4k,65536,4.313,4.313,4.313,0.1218,0.1218,0.1218
LP-E,4k,131072,13.225,13.225,13.225,0.0632,0.0632,0.0632
LP-E,4k,262144,13.956,13.956,13.956,0.1741,0.1741,0.1741
LP-E,4k,524288,3.069,3.069,3.069,0.1164,0.1164,0.1164
LP-E,4k,1048576,15.957,15.957,15.957,0.0158,0.0158,0.0158
LP-E,4k,2097152,13.021,13.021,13.021,0.0137,0.0137,0.0137
LP-E,4k,4194304,12.609,12.609,12.609,0.0121,0.0121,0.0121
LP-E,4k,8388608,14.401,14.401,14.401,0.0113,0.0113,0.0113
LP-E,4k,16777216,11.861,11.861,11.861,0.0106,0.0106,0.0106
P,2m,4096,3.003,3.003,3.003,0.9466,0.9466,0.9466
P,2m,8192,2.618,2.618,2.618,0.6531,0.6531,0.6531
P,2m,16384,2.512,2.512,2.512,0.9775,0.9775,0.9775
P,2m,32768,2.169,2.169,2.169,0.8113,0.8113,0.8113
P,2m,65536,5.334,5.334,5.334,0.3944,0.3944,0.3944
P,2m,131072,5.918,5.918,5.918,0.4140,0.4140,0.4140
P,2m,262144,12.064,12.064,12.064,0.1317,0.1317,0.1317
P,2m,524288,6.985,6.985,6.985,0.1872,0.1872,0.1872
P,2m,1048576,5.603,5.603,5.603,0.1291,0.1291,0.1291
P,2m,2097152,5.804,5.804,5.804,0.0627,0.0627,0.0627
P,2m,4194304,12.292,12.292,12.292,0.0294,0.0294,0.0294
P,2m,8388608,17.708,17.708,17.708,0.0187,0.0187,0.0187
P,2m,16777216,19.545,19.545,19.545,0.0176,0.0176,0.0176
P,4k,4096,2.660,2.660,2.660,0.7825,0.7825,0.7825
P,4k,8192,2.475,2.475,2.475,0.7257,0.7257,0.7257
P,4k,16384,1.926,1.926,1.926,1.0129,1.0129,1.0129
P,4k,32768,4.269,4.269,4.269,0.5424,0.5424,0.5424
P,4k,65536,3.414,3.414,3.414,0.4588,0.4588,0.4588
P,4k,131072,4.621,4.621,4.621,0.3274,0.3274,0.3274
P,4k,262144,5.718,5.718,5.718,0.3111,0.3111,0.3111
P,4k,524288,28.272,28.272,28.272,0.0465,0.0465,0.0465
P,4k,1048576,13.664,13.664,13.664,0.0558,0.0558,0.0558
P,4k,2097152,8.224,8.224,8.224,0.0504,0.0504,0.0504
P,4k,4194304,19.458,19.458,19.458,0.0152,0.0152,0.0152
P,4k,8388608,17.792,17.792,17.792,0.0149,0.0149,0.0149
P,4k,16777216,17.596,17.596,17.596,0.0122,0.0122,0.0122
