core,label,bytes,cost_4k_over_2m,ci95_low,ci95_high
P,chase_random,4096,0.843,0.843,0.843
P,chase_random,8192,0.785,0.785,0.785
P,chase_random,16384,0.612,0.612,0.612
P,chase_random,32768,1.090,1.090,1.090
P,chase_random,65536,0.658,0.658,0.658
P,chase_random,131072,0.737,0.737,0.737
P,chase_random,262144,0.368,0.368,0.368
P,chase_random,524288,3.476,3.476,3.476
P,chase_random,1048576,1.791,1.791,1.791
P,chase_random,2097152,1.114,1.114,1.114
P,chase_random,4194304,1.700,1.700,1.700
P,chase_random,8388608,1.015,1.015,1.015
P,chase_random,16777216,0.960,0.960,0.960
P,independent_random,4096,0.952,0.952,0.952
P,independent_random,8192,0.830,0.830,0.830
P,independent_random,16384,0.798,0.798,0.798
P,independent_random,32768,0.554,0.554,0.554
P,independent_random,65536,1.028,1.028,1.028
P,independent_random,131072,0.944,0.944,0.944
P,independent_random,262144,0.777,0.777,0.777
P,independent_random,524288,0.859,0.859,0.859
P,independent_random,1048576,0.734,0.734,0.734
P,independent_random,2097152,0.786,0.786,0.786
P,independent_random,4194304,1.074,1.074,1.074
P,independent_random,8388608,1.010,1.010,1.010
P,independent_random,16777216,1.066,1.066,1.066
P,chase_sequential,4096,0.697,0.697,0.697
P,chase_sequential,8192,0.872,0.872,0.872
P,chase_sequential,16384,0.634,0.634,0.634
P,chase_sequential,32768,0.728,0.728,0.728
P,chase_sequential,65536,0.765,0.765,0.765
P,chase_sequential,131072,0.583,0.583,0.583
P,chase_sequential,262144,0.870,0.870,0.870
P,chase_sequential,524288,0.863,0.863,0.863
P,chase_sequential,1048576,0.775,0.775,0.775
P,chase_sequential,2097152,0.896,0.896,0.896
P,chase_sequential,4194304,0.880,0.880,0.880
P,chase_sequential,8388608,0.808,0.808,0.808
P,chase_sequential,16777216,0.662,0.662,0.662
LP-E,chase_random,4096,1.154,1.154,1.154
LP-E,chase_random,8192,0.675,0.675,0.675
LP-E,chase_random,16384,0.420,0.420,0.420
LP-E,chase_random,32768,3.211,3.211,3.211
LP-E,chase_random,65536,2.784,2.784,2.784
LP-E,chase_random,131072,1.246,1.246,1.246
LP-E,chase_random,262144,1.072,1.072,1.072
LP-E,chase_random,524288,0.201,0.201,0.201
LP-E,chase_random,1048576,1.085,1.085,1.085
LP-E,chase_random,2097152,0.936,0.936,0.936
LP-E,chase_random,4194304,0.953,0.953,0.953
LP-E,chase_random,8388608,1.112,1.112,1.112
LP-E,chase_random,16777216,1.097,1.097,1.097
LP-E,independent_random,4096,0.944,0.944,0.944
LP-E,independent_random,8192,0.922,0.922,0.922
LP-E,independent_random,16384,1.944,1.944,1.944
LP-E,independent_random,32768,0.994,0.994,0.994
LP-E,independent_random,65536,1.738,1.738,1.738
LP-E,independent_random,131072,0.641,0.641,0.641
LP-E,independent_random,262144,1.946,1.946,1.946
LP-E,independent_random,524288,0.871,0.871,0.871
LP-E,independent_random,1048576,0.882,0.882,0.882
LP-E,independent_random,2097152,0.980,0.980,0.980
LP-E,independent_random,4194304,0.978,0.978,0.978
LP-E,independent_random,8388608,0.733,0.733,0.733
LP-E,independent_random,16777216,0.985,0.985,0.985
LP-E,chase_sequential,4096,1.020,1.020,1.020
LP-E,chase_sequential,8192,0.992,0.992,0.992
LP-E,chase_sequential,16384,1.006,1.006,1.006
LP-E,chase_sequential,32768,1.018,1.018,1.018
LP-E,chase_sequential,65536,1.035,1.035,1.035
LP-E,chase_sequential,131072,0.955,0.955,0.955
LP-E,chase_sequential,262144,4.131,4.131,4.131
LP-E,chase_sequential,524288,0.999,0.999,0.999
LP-E,chase_sequential,1048576,1.017,1.017,1.017
LP-E,chase_sequential,2097152,1.001,1.001,1.001
LP-E,chase_sequential,4194304,0.988,0.988,0.988
LP-E,chase_sequential,8388608,1.007,1.007,1.007
LP-E,chase_sequential,16777216,0.760,0.760,0.760
