run_id,core,cpu,seed,rounds,warmup_rounds,scale_log2
1,P,11,20260920,11,1,0
2,LP-E,21,20260920,11,1,0
3,P,11,20260920,11,1,0
4,LP-E,21,20260920,11,1,0
5,E,19,20260920,11,1,0
6,E,19,20260920,11,1,0
7,LP-E,21,20260920,11,1,0
8,E,19,20260920,11,1,0
9,E,19,20260920,11,1,0
10,P,11,20260920,11,1,0
11,E,19,20260920,11,1,0
12,P,11,20260920,11,1,0
13,P,11,20260920,11,1,0
14,LP-E,21,20260920,11,1,0
15,LP-E,21,20260920,11,1,0
16,E,19,20260920,11,1,0
17,P,11,20260920,11,1,0
18,LP-E,21,20260920,11,1,0
19,P,11,20260920,11,1,0
20,LP-E,21,20260920,11,1,0
21,LP-E,21,20260920,11,1,0
22,P,11,20260920,11,1,0
23,E,19,20260920,11,1,0
24,E,19,20260920,11,1,0
25,E,19,20260920,11,1,0
26,P,11,20260920,11,1,0
27,P,11,20260920,11,1,0
28,LP-E,21,20260920,11,1,0
29,LP-E,21,20260920,11,1,0
30,E,19,20260920,11,1,0
