run_id,core,seed,sample,round,phase,position,label,chunk,calls,elapsed_ns,user_us,system_us,read_syscalls,write_syscalls,cpu_before,cpu_after,result,expected
1,P,20260920,0,0,warmup,0,read_dev_zero,64,256,87084,0,94,258,0,11,11,16384,16384
1,P,20260920,1,0,warmup,1,read_dev_zero,16384,64,37850,0,38,66,0,11,11,1048576,1048576
1,P,20260920,2,0,warmup,2,records_stdio_64k,16,4096,120890,0,121,2,1,11,11,65536,65536
1,P,20260920,3,0,warmup,3,read_dev_zero,256,256,77220,0,78,258,0,11,11,65536,65536
1,P,20260920,4,0,warmup,4,syscall_clock_gettime,0,1024,257719,0,259,2,0,11,11,1024,1024
1,P,20260920,5,0,warmup,5,syscall_getppid_bis,0,1024,184823,0,186,2,0,11,11,1857075200,1857075200
1,P,20260920,6,0,warmup,6,write_dev_null,64,256,61932,0,63,2,256,11,11,16384,16384
1,P,20260920,7,0,warmup,7,syscall_getppid,0,1024,193046,0,193,2,0,11,11,1857075200,1857075200
1,P,20260920,8,0,warmup,8,write_dev_null,256,256,64355,0,65,2,256,11,11,65536,65536
1,P,20260920,9,0,warmup,9,records_stdio_default,16,4096,91385,0,92,2,16,11,11,65536,65536
1,P,20260920,10,0,warmup,10,read_dev_zero,65536,16,54267,0,55,18,0,11,11,1048576,1048576
1,P,20260920,11,0,warmup,11,read_dev_zero,16,256,72808,0,73,258,0,11,11,4096,4096
1,P,20260920,12,0,warmup,12,read_dev_zero,1024,256,78085,0,79,258,0,11,11,262144,262144
1,P,20260920,13,0,warmup,13,write_dev_null,1,256,64842,0,66,2,256,11,11,256,256
1,P,20260920,14,0,warmup,14,read_dev_zero,4,256,72278,0,73,258,0,11,11,1024,1024
1,P,20260920,15,0,warmup,15,read_dev_zero,1,256,72352,0,73,258,0,11,11,256,256
1,P,20260920,16,0,warmup,16,read_dev_zero,262144,4,49522,0,50,6,0,11,11,1048576,1048576
1,P,20260920,17,0,warmup,17,vdso_clock_gettime,0,4096,136179,0,137,2,0,11,11,4096,4096
1,P,20260920,18,0,warmup,18,records_manual_4k,16,4096,12528,0,13,2,16,11,11,65536,65536
1,P,20260920,19,0,warmup,19,write_dev_null,1024,256,61452,0,62,2,256,11,11,262144,262144
1,P,20260920,20,0,warmup,20,read_dev_zero,4096,256,85757,0,87,258,0,11,11,1048576,1048576
1,P,20260920,21,0,warmup,21,syscall_enosys,0,1024,173612,0,174,2,0,11,11,1024,1024
1,P,20260920,22,0,warmup,22,function_call,0,4096,3836,0,5,2,0,11,11,8390656,8390656
1,P,20260920,23,0,warmup,23,write_dev_null,16384,64,15888,0,16,2,64,11,11,1048576,1048576
1,P,20260920,24,0,warmup,24,read_dev_zero,1048576,1,59769,0,61,3,0,11,11,1048576,1048576
1,P,20260920,25,0,warmup,25,write_dev_null,4096,256,59640,0,61,2,256,11,11,1048576,1048576
