core,label,chunk,processes,median_ns_per_call,ci95_low,ci95_high,median_system_share
P,function_call,0,10,0.601,0.594,0.603,0.245
P,read_dev_zero,1,10,186.662,184.162,187.886,0.706
P,read_dev_zero,4,10,184.354,183.471,185.612,0.690
P,read_dev_zero,16,10,185.988,183.950,187.083,0.721
P,read_dev_zero,64,10,186.355,184.404,187.956,0.675
P,read_dev_zero,256,10,193.301,191.784,195.064,0.729
P,read_dev_zero,1024,10,197.869,197.063,200.317,0.717
P,read_dev_zero,4096,10,219.083,216.696,221.819,0.748
P,read_dev_zero,16384,10,381.007,375.982,383.048,0.838
P,read_dev_zero,65536,10,1989.735,1980.452,1996.968,0.955
P,read_dev_zero,262144,10,7324.379,7304.473,7386.620,0.977
P,read_dev_zero,1048576,10,29040.258,28950.361,29169.113,0.989
P,records_manual_4k,16,10,1.684,1.678,1.690,0.236
P,records_stdio_64k,16,10,12.479,12.318,12.562,0.012
P,records_stdio_default,16,10,12.808,12.770,12.836,0.037
P,records_write_each,16,10,157.688,156.419,160.553,0.665
P,syscall_clock_gettime,0,10,159.459,159.019,160.252,0.692
P,syscall_enosys,0,10,108.886,108.561,109.850,0.484
P,syscall_getppid,0,10,116.504,116.243,117.959,0.587
P,syscall_getppid_bis,0,10,116.738,116.242,117.224,0.579
P,syscall_getppid_double,0,10,116.899,116.441,118.177,0.574
P,vdso_clock_gettime,0,10,21.649,21.410,21.719,0.005
P,write_dev_null,1,10,157.332,155.850,158.412,0.676
P,write_dev_null,4,10,158.025,156.975,159.498,0.652
P,write_dev_null,16,10,159.026,157.027,159.822,0.637
P,write_dev_null,64,10,157.118,155.929,158.643,0.665
P,write_dev_null,256,10,157.814,156.380,159.270,0.657
P,write_dev_null,1024,10,159.094,156.166,159.415,0.660
P,write_dev_null,4096,10,156.548,155.272,157.979,0.667
P,write_dev_null,16384,10,157.159,156.263,157.871,0.629
P,write_dev_null,65536,10,154.400,153.169,155.891,0.645
P,write_dev_null,262144,10,155.825,154.321,158.150,0.607
P,write_dev_null,1048576,10,155.594,155.068,160.775,0.581
E,function_call,0,10,1.512,1.512,1.514,0.068
E,read_dev_zero,1,10,277.094,275.221,278.699,0.671
E,read_dev_zero,4,10,276.468,274.721,277.836,0.682
E,read_dev_zero,16,10,277.777,276.176,278.792,0.661
E,read_dev_zero,64,10,276.619,275.451,278.772,0.660
E,read_dev_zero,256,10,292.119,290.722,293.471,0.676
E,read_dev_zero,1024,10,316.900,315.696,318.778,0.701
E,read_dev_zero,4096,10,412.875,411.787,416.653,0.784
E,read_dev_zero,16384,10,948.228,944.935,955.390,0.919
E,read_dev_zero,65536,10,3294.262,3276.431,3321.209,0.958
E,read_dev_zero,262144,10,12204.552,12153.708,12343.144,0.988
E,read_dev_zero,1048576,10,48234.567,48051.654,48948.308,0.987
E,records_manual_4k,16,10,2.507,2.498,2.537,0.281
E,records_stdio_64k,16,10,19.714,19.626,19.979,0.007
E,records_stdio_default,16,10,20.577,20.509,20.671,0.033
E,records_write_each,16,10,232.114,230.625,232.937,0.604
E,syscall_clock_gettime,0,10,248.128,246.214,249.224,0.662
E,syscall_enosys,0,10,156.749,156.010,157.581,0.479
E,syscall_getppid,0,10,165.780,165.095,166.916,0.525
E,syscall_getppid_bis,0,10,166.700,165.924,168.112,0.526
E,syscall_getppid_double,0,10,166.975,166.678,168.392,0.516
E,vdso_clock_gettime,0,10,33.272,33.135,33.460,0.003
E,write_dev_null,1,10,229.333,228.433,230.983,0.591
E,write_dev_null,4,10,229.257,228.080,229.963,0.596
E,write_dev_null,16,10,230.779,229.658,232.392,0.599
E,write_dev_null,64,10,229.696,229.335,230.283,0.583
E,write_dev_null,256,10,230.609,228.807,231.059,0.594
E,write_dev_null,1024,10,228.987,228.444,230.411,0.589
E,write_dev_null,4096,10,229.664,227.874,230.869,0.597
E,write_dev_null,16384,10,228.607,228.110,230.629,0.546
E,write_dev_null,65536,10,228.297,227.984,228.914,0.512
E,write_dev_null,262144,10,228.302,227.958,229.711,0.540
E,write_dev_null,1048576,10,230.567,228.781,232.580,0.554
LP-E,function_call,0,10,1.228,1.214,1.271,0.094
LP-E,read_dev_zero,1,10,236.509,230.725,239.050,0.668
LP-E,read_dev_zero,4,10,235.606,233.955,238.212,0.679
LP-E,read_dev_zero,16,10,237.059,234.234,241.820,0.685
LP-E,read_dev_zero,64,10,238.606,229.013,244.644,0.680
LP-E,read_dev_zero,256,10,246.607,238.621,256.105,0.701
LP-E,read_dev_zero,1024,10,273.687,261.757,276.648,0.724
LP-E,read_dev_zero,4096,10,349.306,338.090,357.367,0.763
LP-E,read_dev_zero,16384,10,796.344,783.611,819.386,0.901
LP-E,read_dev_zero,65536,10,2744.080,2671.383,2808.969,0.957
LP-E,read_dev_zero,262144,10,10260.858,9958.158,10507.458,0.989
LP-E,read_dev_zero,1048576,10,41157.465,39774.091,41984.499,0.991
LP-E,records_manual_4k,16,10,2.112,2.061,2.176,0.315
LP-E,records_stdio_64k,16,10,16.667,16.429,16.896,0.006
LP-E,records_stdio_default,16,10,17.386,17.130,17.707,0.032
LP-E,records_write_each,16,10,199.464,193.741,200.385,0.619
LP-E,syscall_clock_gettime,0,10,220.535,210.321,224.659,0.663
LP-E,syscall_enosys,0,10,134.451,130.106,136.644,0.457
LP-E,syscall_getppid,0,10,140.457,137.274,144.665,0.527
LP-E,syscall_getppid_bis,0,10,142.378,140.216,145.025,0.532
LP-E,syscall_getppid_double,0,10,143.148,138.339,145.693,0.523
LP-E,vdso_clock_gettime,0,10,29.374,28.593,29.642,0.003
LP-E,write_dev_null,1,10,198.907,193.491,201.132,0.594
LP-E,write_dev_null,4,10,199.188,190.935,200.597,0.623
LP-E,write_dev_null,16,10,194.921,193.297,198.370,0.593
LP-E,write_dev_null,64,10,199.141,195.495,201.854,0.597
LP-E,write_dev_null,256,10,196.359,188.804,202.285,0.615
LP-E,write_dev_null,1024,10,195.600,187.643,200.438,0.588
LP-E,write_dev_null,4096,10,197.372,191.422,202.214,0.599
LP-E,write_dev_null,16384,10,192.170,188.346,195.927,0.643
LP-E,write_dev_null,65536,10,185.628,184.289,199.582,0.595
LP-E,write_dev_null,262144,10,185.019,182.989,186.764,0.516
LP-E,write_dev_null,1048576,10,183.551,183.189,184.740,0.535
