core,ratio,median,ci95_low,ci95_high,min,max
P,syscall_clock/vdso_clock,7.397,7.338,7.449,7.254,7.549
P,enosys/getppid,0.934,0.926,0.937,0.920,0.955
P,getppid/function,194.843,192.902,198.418,192.543,198.523
P,aa_getppid_bis/getppid,0.999,0.987,1.004,0.974,1.031
P,positive_double/getppid,2.011,1.978,2.024,1.944,2.034
P,records_write_each/stdio_default,12.290,12.172,12.558,12.044,12.648
P,records_stdio_64k/stdio_default,0.974,0.965,0.983,0.937,0.986
P,records_manual_4k/stdio_default,0.132,0.130,0.132,0.128,0.133
P,records_write_each/write_dev_null_16,1.000,0.981,1.008,0.979,1.041
E,syscall_clock/vdso_clock,7.416,7.353,7.507,6.389,7.578
E,enosys/getppid,0.948,0.937,0.952,0.891,1.003
E,getppid/function,109.662,109.058,110.265,108.915,116.690
E,aa_getppid_bis/getppid,1.004,0.998,1.010,0.989,1.027
E,positive_double/getppid,2.013,2.001,2.025,1.923,2.054
E,records_write_each/stdio_default,11.266,11.200,11.286,11.175,11.457
E,records_stdio_64k/stdio_default,0.960,0.954,0.971,0.943,0.983
E,records_manual_4k/stdio_default,0.122,0.121,0.123,0.120,0.126
E,records_write_each/write_dev_null_16,1.001,0.998,1.015,0.966,1.019
LP-E,syscall_clock/vdso_clock,7.412,7.249,7.659,7.049,7.736
LP-E,enosys/getppid,0.936,0.920,0.981,0.909,1.025
LP-E,getppid/function,113.381,111.042,116.691,100.160,118.939
LP-E,aa_getppid_bis/getppid,1.017,0.991,1.035,0.966,1.041
LP-E,positive_double/getppid,2.009,1.974,2.066,1.960,2.112
LP-E,records_write_each/stdio_default,11.330,11.202,11.614,10.933,11.831
LP-E,records_stdio_64k/stdio_default,0.959,0.952,0.978,0.940,0.982
LP-E,records_manual_4k/stdio_default,0.122,0.120,0.125,0.115,0.128
LP-E,records_write_each/write_dev_null_16,1.016,0.987,1.030,0.967,1.034
E,syscall_getppid E/P,1.423,,,,
E,syscall_enosys E/P,1.440,,,,
E,syscall_clock_gettime E/P,1.556,,,,
E,function_call E/P,2.515,,,,
LP-E,syscall_getppid LP-E/P,1.206,,,,
LP-E,syscall_enosys LP-E/P,1.235,,,,
LP-E,syscall_clock_gettime LP-E/P,1.383,,,,
LP-E,function_call LP-E/P,2.043,,,,
