core,label,chunk,processes,median_ns_per_call,ci95_low,ci95_high,median_system_share
P,function_call,0,1,0.944,0.944,0.944,0.000
P,read_dev_zero,1,1,181.183,181.183,181.183,1.000
P,read_dev_zero,4,1,179.663,179.663,179.663,0.609
P,read_dev_zero,16,1,180.135,180.135,180.135,0.860
P,read_dev_zero,64,1,220.230,220.230,220.230,0.499
P,read_dev_zero,256,1,232.432,232.432,232.432,1.000
P,read_dev_zero,1024,1,195.801,195.801,195.801,1.000
P,read_dev_zero,4096,1,213.564,213.564,213.564,0.000
P,read_dev_zero,16384,1,377.402,377.402,377.402,1.000
P,read_dev_zero,65536,1,1991.500,1991.500,1991.500,1.000
P,read_dev_zero,262144,1,7959.344,7959.344,7959.344,1.000
P,read_dev_zero,1048576,1,40347.250,40347.250,40347.250,1.000
P,records_manual_4k,16,1,1.639,1.639,1.639,0.569
P,records_stdio_64k,16,1,18.376,18.376,18.376,0.442
P,records_stdio_default,16,1,20.483,20.483,20.483,0.233
P,records_write_each,16,1,163.346,163.346,163.346,0.149
P,syscall_clock_gettime,0,1,158.996,158.996,158.996,1.000
P,syscall_enosys,0,1,108.222,108.222,108.222,0.490
P,syscall_getppid,0,1,119.155,119.155,119.155,1.000
P,syscall_getppid_bis,0,1,116.996,116.996,116.996,0.621
P,syscall_getppid_double,0,1,116.095,116.095,116.095,0.876
P,vdso_clock_gettime,0,1,21.423,21.423,21.423,0.311
P,write_dev_null,1,1,202.245,202.245,202.245,1.000
P,write_dev_null,4,1,195.168,195.168,195.168,0.644
P,write_dev_null,16,1,152.868,152.868,152.868,0.000
P,write_dev_null,64,1,155.723,155.723,155.723,1.000
P,write_dev_null,256,1,152.868,152.868,152.868,0.000
P,write_dev_null,1024,1,154.015,154.015,154.015,0.880
P,write_dev_null,4096,1,156.614,156.614,156.614,0.970
P,write_dev_null,16384,1,151.399,151.399,151.399,0.577
P,write_dev_null,65536,1,202.926,202.926,202.926,0.000
P,write_dev_null,262144,1,154.969,154.969,154.969,0.600
P,write_dev_null,1048576,1,169.562,169.562,169.562,1.000
