run_id,core,seed,sample,round,phase,position,label,param,ops,units_per_op,elapsed_ns,deferred_ns,result,expected,resident_before,resident_after,file_pages,read_syscalls,write_syscalls,read_bytes,write_bytes,cancelled_write_bytes,device_reads,device_read_sectors,device_writes,device_write_sectors,device_flushes,journal_commits,deferred_device_writes,deferred_device_write_sectors,deferred_device_flushes,deferred_journal_commits,voluntary_switches,involuntary_switches,cpu_before,cpu_after
10,P,20260921,0,0,warmup,0,rand_read_direct,0,256,1,15014018,0,256,256,65536,65536,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
10,P,20260921,1,0,warmup,1,append_buffered,0,256,1,1334798,7649300,256,256,0,0,65536,2,256,0,1048576,0,0,0,0,0,0,0,10,2088,1,1,0,0,11,11
10,P,20260921,2,0,warmup,2,overwrite_fdatasync_bis,1,256,1,525687830,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,512,2048,256,0,0,0,0,0,512,3,11,11
10,P,20260921,3,0,warmup,3,overwrite_odsync_folio,1,256,1,550914325,0,256,256,0,0,65536,2,256,0,268435456,0,0,0,512,2048,256,0,0,0,0,0,512,4,11,11
10,P,20260921,4,0,warmup,4,rand_read_warm,0,256,1,363789,0,256,256,65536,65536,65536,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
10,P,20260921,5,0,warmup,5,append_fsync,256,1,256,9375294,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,10,2088,1,1,0,0,0,0,24,0,11,11
10,P,20260921,6,0,warmup,6,tmpfs_append_fsync,1,256,1,571420,0,256,256,0,0,65536,2,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
10,P,20260921,7,0,warmup,7,rand_read_cold,0,256,1,15315449,0,256,256,0,256,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
10,P,20260921,8,0,warmup,8,append_fsync,64,4,64,27531273,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,16,2208,4,4,0,0,0,0,19,0,11,11
10,P,20260921,9,0,warmup,9,rand_read_cold_bis,0,256,1,14931271,0,256,256,0,256,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
10,P,20260921,10,0,warmup,10,overwrite_fdatasync_folio,1,256,1,508153914,0,256,256,0,0,65536,2,256,0,268435456,0,0,0,512,2048,256,0,0,0,0,0,512,1,11,11
10,P,20260921,11,0,warmup,11,rand_read_direct_double,0,256,2,28129670,0,512,512,256,256,65536,514,0,2097152,0,0,512,4096,0,0,0,0,0,0,0,0,512,0,11,11
10,P,20260921,12,0,warmup,12,append_fsync,4,64,4,441805572,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,192,5240,64,64,0,0,0,0,129,0,11,11
10,P,20260921,13,0,warmup,13,seq_read_direct,0,2048,32,185015719,0,65536,65536,256,256,65536,2050,0,268435456,0,0,2048,524288,2,24,0,0,0,0,0,0,2048,0,11,11
10,P,20260921,14,0,warmup,14,overwrite_fsync,1,256,1,1738087669,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,781,8928,260,258,0,0,0,0,514,2,11,11
10,P,20260921,15,0,warmup,15,overwrite_fdatasync,1,256,1,543148364,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,512,2048,256,0,0,0,0,0,512,3,11,11
10,P,20260921,16,0,warmup,16,append_fsync,16,16,16,110803981,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,48,2808,16,16,0,0,0,0,32,0,11,11
10,P,20260921,17,0,warmup,17,append_fsync,1,256,1,1818373521,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,775,15512,258,258,0,0,0,0,514,0,11,11
10,P,20260921,18,0,warmup,18,seq_read_cold,0,2048,32,100203203,0,65536,65536,0,65536,65536,2050,0,268435456,0,0,2048,524288,0,0,0,0,0,0,0,0,190,2,11,11
10,P,20260921,19,0,warmup,19,seq_read_warm,0,2048,32,40875918,0,65536,65536,65536,65536,65536,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11
10,P,20260921,20,0,warmup,20,append_fdatasync,1,256,1,1827375952,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,1101,39184,256,256,0,0,0,0,512,0,11,11
10,P,20260921,21,0,warmup,21,overwrite_fdatasync_double,1,256,2,1056449382,0,512,512,0,0,65536,2,512,0,2097152,0,0,0,1058,4624,517,3,0,0,0,0,1022,3,11,11
10,P,20260921,22,0,warmup,22,overwrite_odsync,1,256,1,508985551,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,518,2176,258,1,0,0,0,0,512,2,11,11
10,P,20260921,23,1,measure,0,overwrite_fsync,1,256,1,1806937213,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,768,8312,256,256,0,0,0,0,512,0,11,11
10,P,20260921,24,1,measure,1,seq_read_direct,0,2048,32,186739887,0,65536,65536,65536,65536,65536,2050,0,268435456,0,0,2048,524288,0,0,0,0,0,0,0,0,2048,0,11,11
10,P,20260921,25,1,measure,2,seq_read_warm,0,2048,32,42100108,0,65536,65536,65536,65536,65536,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11
10,P,20260921,26,1,measure,3,append_fsync,64,4,64,29967762,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,16,2208,4,4,0,0,0,0,16,0,11,11
10,P,20260921,27,1,measure,4,append_fsync,256,1,256,8427791,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,10,2088,1,1,0,0,0,0,2,0,11,11
10,P,20260921,28,1,measure,5,rand_read_direct,0,256,1,14153427,0,256,256,65536,65536,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
10,P,20260921,29,1,measure,6,tmpfs_append_fsync,1,256,1,541660,0,256,256,0,0,65536,2,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
10,P,20260921,30,1,measure,7,append_fsync,1,256,1,1790092261,0,256,256,0,0,65536,2,256,0,1048576,0,2,80,781,18064,257,257,0,0,0,0,513,0,11,11
10,P,20260921,31,1,measure,8,rand_read_warm,0,256,1,367662,0,256,256,65536,65536,65536,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
10,P,20260921,32,1,measure,9,overwrite_fdatasync,1,256,1,538677424,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,512,2048,256,0,0,0,0,0,512,2,11,11
10,P,20260921,33,1,measure,10,overwrite_odsync_folio,1,256,1,548569419,0,256,256,0,0,65536,2,256,0,268435456,0,0,0,512,2048,256,0,0,0,0,0,512,6,11,11
10,P,20260921,34,1,measure,11,seq_read_cold,0,2048,32,99514063,0,65536,65536,0,65536,65536,2050,0,268435456,0,0,2048,524288,0,0,0,0,0,0,0,0,205,3,11,11
10,P,20260921,35,1,measure,12,append_fsync,16,16,16,109574824,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,48,2840,16,16,0,0,0,0,33,0,11,11
10,P,20260921,36,1,measure,13,rand_read_cold,0,256,1,15496186,0,256,256,0,256,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
10,P,20260921,37,1,measure,14,overwrite_fdatasync_folio,1,256,1,521879835,0,256,256,0,0,65536,2,256,0,268435456,0,0,0,512,2048,256,0,0,0,0,0,512,4,11,11
10,P,20260921,38,1,measure,15,append_fsync,4,64,4,450231664,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,192,5248,64,64,0,0,0,0,128,0,11,11
10,P,20260921,39,1,measure,16,append_buffered,0,256,1,1041876,7043610,256,256,0,0,65536,2,256,0,1048576,0,0,0,0,0,0,0,10,2088,1,1,0,0,11,11
10,P,20260921,40,1,measure,17,append_fdatasync,1,256,1,1828232214,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,768,15112,256,256,0,0,0,0,512,0,11,11
10,P,20260921,41,1,measure,18,overwrite_odsync,1,256,1,519804446,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,512,2048,256,0,0,0,0,0,511,3,11,11
