label,param,samples,device_reads_per_op_median,device_reads_per_op_mean,device_read_sectors_per_op_median,device_read_sectors_per_op_mean,device_writes_per_op_median,device_writes_per_op_mean,device_write_sectors_per_op_median,device_write_sectors_per_op_mean,device_flushes_per_op_median,device_flushes_per_op_mean,journal_commits_per_op_median,journal_commits_per_op_mean,voluntary_switches_per_op_median,voluntary_switches_per_op_mean,read_bytes_per_op_median,read_bytes_per_op_mean,write_bytes_per_op_median,write_bytes_per_op_mean,deferred_device_write_sectors_per_op_median,deferred_device_write_sectors_per_op_mean,deferred_device_flushes_per_op_median,deferred_device_flushes_per_op_mean,deferred_journal_commits_per_op_median,deferred_journal_commits_per_op_mean,resident_after_median
append_buffered,0,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4096.000,4096.000,8.156,8.160,0.004,0.004,0.004,0.004,0
append_fdatasync,1,100,0.000,0.005,0.000,0.360,3.016,3.188,59.312,67.392,1.000,1.006,1.000,1.004,2.000,2.004,0.000,0.480,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0
append_fsync,1,100,0.000,0.005,0.000,0.236,3.014,3.149,59.141,67.388,1.000,1.005,1.000,1.003,2.000,2.003,0.000,0.800,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0
append_fsync,4,100,0.000,0.002,0.000,0.056,3.000,3.023,82.125,85.578,1.000,1.002,1.000,1.001,2.000,2.002,0.000,0.640,16384.000,16384.000,0.000,0.000,0.000,0.000,0.000,0.000,0
append_fsync,16,100,0.000,0.035,0.000,6.370,3.000,3.581,177.500,216.765,1.000,1.006,1.000,1.004,2.000,2.120,0.000,5.120,65536.000,65536.000,0.000,0.000,0.000,0.000,0.000,0.000,0
append_fsync,64,100,0.000,0.028,0.000,0.240,4.000,4.045,552.000,554.720,1.000,1.012,1.000,1.012,3.750,4.272,0.000,81.920,262144.000,262144.000,0.000,0.000,0.000,0.000,0.000,0.000,0
append_fsync,256,100,0.000,0.070,0.000,0.560,10.000,10.000,2088.000,2089.600,1.000,1.000,1.000,1.000,17.000,14.180,0.000,286.720,1048576.000,1048576.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_fdatasync,1,100,0.000,0.003,0.000,0.118,2.000,2.063,8.000,11.257,1.000,1.002,0.000,0.002,2.000,1.999,0.000,0.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_fdatasync_bis,1,100,0.000,0.006,0.000,0.326,2.000,2.035,8.000,9.733,1.000,1.002,0.000,0.001,2.000,1.999,0.000,0.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_fdatasync_double,1,100,0.000,0.029,0.000,0.858,4.002,4.077,16.016,20.369,2.000,2.004,0.000,0.003,4.000,3.998,0.000,0.000,8192.000,8192.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_fdatasync_folio,1,100,0.000,0.001,0.000,0.042,2.000,2.013,8.000,8.474,1.000,1.002,0.000,0.001,2.000,1.999,0.000,0.000,1048576.000,1048576.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_fsync,1,100,0.000,0.003,0.000,0.107,3.014,3.139,34.047,40.464,1.000,1.006,1.000,1.003,2.000,2.002,0.000,0.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_odsync,1,100,0.000,0.001,0.000,0.064,2.000,2.015,8.000,9.248,1.000,1.001,0.000,0.001,2.000,1.999,0.000,0.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_odsync_folio,1,100,0.000,0.000,0.000,0.018,2.000,2.034,8.000,10.140,1.000,1.001,0.000,0.001,2.000,1.999,0.000,0.000,1048576.000,1048576.000,0.000,0.000,0.000,0.000,0.000,0.000,0
rand_read_cold,0,100,1.000,1.000,8.000,8.001,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,1.000,1.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,256
