label,param,processes,units_per_op,median_ns,median_ns_ci95_low,median_ns_ci95_high,p99_ns,p99_ns_ci95_low,p99_ns_ci95_high,record_ns,record_ns_ci95_low,record_ns_ci95_high,deferred_ns,deferred_ns_ci95_low,deferred_ns_ci95_high,with_deferred_record_ns,with_deferred_record_ns_ci95_low,with_deferred_record_ns_ci95_high,throughput_gib_s,throughput_gib_s_ci95_low,throughput_gib_s_ci95_high
append_buffered,0,10,1,3863.2500,3803.0000,4092.5000,12633.8250,11971.7350,13424.4500,3863.2500,3803.0000,4092.5000,7127979.7500,7083045.7500,7167926.2500,32371.7588,32132.7344,32574.1602,,,
append_fdatasync,1,10,1,7016863.7500,6966428.7500,7083194.5000,7925142.5300,7764657.8950,10441630.8300,7016863.7500,6966428.7500,7083194.5000,,,,,,,,,
append_fsync,1,10,1,7048149.7500,6977718.0000,7086363.7500,8114129.4800,7840488.4100,10904670.0750,7048149.7500,6977718.0000,7086363.7500,,,,,,,,,
append_fsync,4,10,4,6948714.2500,6825583.5000,7021627.5000,7721433.6600,7650601.0350,7800730.8200,1737178.5625,1706395.8750,1755406.8750,,,,,,,,,
append_fsync,16,10,16,7014687.2500,6900981.5000,7100648.7500,7822240.1050,7723270.7100,12229500.6000,438417.9531,431311.3438,443790.5469,,,,,,,,,
append_fsync,64,10,64,7122097.7500,6990410.5000,7242137.0000,7957551.1450,7864201.2200,10425492.2600,111282.7773,109225.1641,113158.3906,,,,,,,,,
append_fsync,256,10,256,8213046.7500,8145610.2500,8391536.5000,8759293.1650,8560881.1250,9173679.6600,32082.2139,31818.7900,32779.4395,,,,,,,,,
overwrite_fdatasync,1,10,1,1978716.5000,1960171.5000,1990914.0000,2440287.4000,2421247.3300,2578833.3900,1978716.5000,1960171.5000,1990914.0000,,,,,,,,,
overwrite_fdatasync_bis,1,10,1,1992319.0000,1971901.5000,2017562.7500,2453682.5300,2429773.4650,3507925.6850,1992319.0000,1971901.5000,2017562.7500,,,,,,,,,
overwrite_fdatasync_double,1,10,2,4041049.5000,3973736.0000,4103969.0000,4822025.4050,4801869.5750,4844562.7000,4041049.5000,3973736.0000,4103969.0000,,,,,,,,,
overwrite_fdatasync_folio,1,10,1,1997183.0000,1962397.7500,2019577.5000,2496584.3050,2469126.4100,2511484.6200,1997183.0000,1962397.7500,2019577.5000,,,,,,,,,
overwrite_fsync,1,10,1,6935199.7500,6880852.5000,6994522.5000,7632728.7250,7576036.0200,9390277.6250,6935199.7500,6880852.5000,6994522.5000,,,,,,,,,
overwrite_odsync,1,10,1,1963978.7500,1954414.0000,1979299.0000,2453832.3550,2428905.9800,2505063.8200,1963978.7500,1954414.0000,1979299.0000,,,,,,,,,
overwrite_odsync_folio,1,10,1,2015706.2500,2004421.7500,2040817.7500,2518012.6000,2498036.8800,2563884.1200,2015706.2500,2004421.7500,2040817.7500,,,,,,,,,
rand_read_cold,0,10,1,58029.5000,57933.5000,58130.5000,88570.8700,83210.9200,95585.1100,58029.5000,57933.5000,58130.5000,,,,,,,,,
rand_read_cold_bis,0,10,1,58076.5000,57892.5000,58230.0000,94961.5350,82630.5400,102327.7350,58076.5000,57892.5000,58230.0000,,,,,,,,,
rand_read_direct,0,10,1,54765.2500,54724.0000,54903.0000,63693.4100,61846.6750,65352.3850,54765.2500,54724.0000,54903.0000,,,,,,,,,
rand_read_direct_double,0,10,2,109630.5000,109442.0000,109669.7500,125031.0150,123382.1550,131260.4000,109630.5000,109442.0000,109669.7500,,,,,,,,,
rand_read_warm,0,10,1,1345.0000,1301.0000,1365.5000,2544.6500,2507.0200,2594.4250,1345.0000,1301.0000,1365.5000,,,,,,,,,
seq_read_cold,0,10,32,,,,,,,,,,,,,,,,2.5279,2.5157,2.5329
seq_read_direct,0,10,32,,,,,,,,,,,,,,,,1.3539,1.3466,1.3646
seq_read_warm,0,10,32,,,,,,,,,,,,,,,,5.4218,5.1696,5.4526
tmpfs_append_fsync,1,10,1,1988.0000,1967.0000,2024.0000,6407.7450,6191.7100,6735.4200,1988.0000,1967.0000,2024.0000,,,,,,,,,
