label,param,samples,device_reads_per_op_median,device_reads_per_op_mean,device_read_sectors_per_op_median,device_read_sectors_per_op_mean,device_writes_per_op_median,device_writes_per_op_mean,device_write_sectors_per_op_median,device_write_sectors_per_op_mean,device_flushes_per_op_median,device_flushes_per_op_mean,journal_commits_per_op_median,journal_commits_per_op_mean,voluntary_switches_per_op_median,voluntary_switches_per_op_mean,read_bytes_per_op_median,read_bytes_per_op_mean,write_bytes_per_op_median,write_bytes_per_op_mean,deferred_device_write_sectors_per_op_median,deferred_device_write_sectors_per_op_mean,deferred_device_flushes_per_op_median,deferred_device_flushes_per_op_mean,deferred_journal_commits_per_op_median,deferred_journal_commits_per_op_mean,resident_after_median
append_buffered,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4096.000,4096.000,8.156,8.156,0.004,0.004,0.004,0.004,0
append_fdatasync,1,2,0.000,0.000,0.000,0.000,3.018,3.018,60.391,60.391,1.002,1.002,1.002,1.002,2.002,2.002,0.000,0.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0
append_fsync,1,2,0.002,0.002,0.016,0.016,4.027,4.027,102.109,102.109,1.008,1.008,1.002,1.002,2.004,2.004,8.000,8.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0
append_fsync,4,2,0.008,0.008,0.062,0.062,3.094,3.094,92.500,92.500,1.000,1.000,1.000,1.000,2.000,2.000,0.000,0.000,16384.000,16384.000,0.000,0.000,0.000,0.000,0.000,0.000,0
append_fsync,16,2,0.031,0.031,0.250,0.250,3.000,3.000,177.500,177.500,1.000,1.000,1.000,1.000,2.062,2.062,128.000,128.000,65536.000,65536.000,0.000,0.000,0.000,0.000,0.000,0.000,0
append_fsync,64,2,0.625,0.625,5.000,5.000,4.000,4.000,552.000,552.000,1.000,1.000,1.000,1.000,4.500,4.500,2560.000,2560.000,262144.000,262144.000,0.000,0.000,0.000,0.000,0.000,0.000,0
append_fsync,256,2,0.000,0.000,0.000,0.000,10.000,10.000,2088.000,2088.000,1.000,1.000,1.000,1.000,11.000,11.000,0.000,0.000,1048576.000,1048576.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_fdatasync,1,2,0.000,0.000,0.000,0.000,2.000,2.000,8.000,8.000,1.000,1.000,0.000,0.000,1.996,1.996,0.000,0.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_fdatasync_bis,1,2,0.000,0.000,0.000,0.000,2.008,2.008,8.688,8.688,1.002,1.002,0.002,0.002,2.000,2.000,0.000,0.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_fdatasync_double,1,2,0.000,0.000,0.000,0.000,4.025,4.025,16.391,16.391,2.010,2.010,0.006,0.006,3.994,3.994,0.000,0.000,8192.000,8192.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_fdatasync_folio,1,2,0.000,0.000,0.000,0.000,2.000,2.000,8.000,8.000,1.000,1.000,0.000,0.000,1.992,1.992,0.000,0.000,1048576.000,1048576.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_fsync,1,2,0.000,0.000,0.000,0.000,3.062,3.062,40.906,40.906,1.014,1.014,1.014,1.014,2.014,2.014,0.000,0.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_odsync,1,2,0.000,0.000,0.000,0.000,2.006,2.006,8.125,8.125,1.000,1.000,0.000,0.000,1.998,1.998,0.000,0.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0
overwrite_odsync_folio,1,2,0.000,0.000,0.000,0.000,2.000,2.000,8.000,8.000,1.000,1.000,0.000,0.000,2.000,2.000,0.000,0.000,1048576.000,1048576.000,0.000,0.000,0.000,0.000,0.000,0.000,0
rand_read_cold,0,2,1.000,1.000,8.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,256
rand_read_cold_bis,0,2,1.000,1.000,8.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,256
rand_read_direct,0,2,1.000,1.000,8.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,4096.000,4096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,256
rand_read_direct_double,0,2,2.000,2.000,16.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,8192.000,8192.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,256
rand_read_warm,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65536
seq_read_cold,0,2,1.000,1.000,256.000,256.000,0.005,0.005,0.125,0.125,0.001,0.001,0.000,0.000,0.105,0.105,131072.000,131072.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65536
seq_read_direct,0,2,1.000,1.000,256.000,256.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,131072.000,131072.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32896
