label,param,processes,units_per_op,median_ns,median_ns_ci95_low,median_ns_ci95_high,p99_ns,p99_ns_ci95_low,p99_ns_ci95_high,record_ns,record_ns_ci95_low,record_ns_ci95_high,deferred_ns,deferred_ns_ci95_low,deferred_ns_ci95_high,with_deferred_record_ns,with_deferred_record_ns_ci95_low,with_deferred_record_ns_ci95_high,throughput_gib_s,throughput_gib_s_ci95_low,throughput_gib_s_ci95_high
append_buffered,0,1,1,3855.5000,3855.5000,3855.5000,13205.5100,13205.5100,13205.5100,3855.5000,3855.5000,3855.5000,7214573.0000,7214573.0000,7214573.0000,32499.6914,32499.6914,32499.6914,,,
append_fdatasync,1,1,1,7061518.0000,7061518.0000,7061518.0000,7776382.2100,7776382.2100,7776382.2100,7061518.0000,7061518.0000,7061518.0000,,,,,,,,,
append_fsync,1,1,1,7034308.0000,7034308.0000,7034308.0000,7853567.0600,7853567.0600,7853567.0600,7034308.0000,7034308.0000,7034308.0000,,,,,,,,,
append_fsync,4,1,4,6950011.0000,6950011.0000,6950011.0000,7616731.1200,7616731.1200,7616731.1200,1737502.7500,1737502.7500,1737502.7500,,,,,,,,,
append_fsync,16,1,16,7133069.5000,7133069.5000,7133069.5000,7555849.4500,7555849.4500,7555849.4500,445816.8438,445816.8438,445816.8438,,,,,,,,,
append_fsync,64,1,64,7770665.5000,7770665.5000,7770665.5000,8027570.6100,8027570.6100,8027570.6100,121416.6484,121416.6484,121416.6484,,,,,,,,,
append_fsync,256,1,256,8108492.0000,8108492.0000,8108492.0000,8138478.0400,8138478.0400,8138478.0400,31673.7969,31673.7969,31673.7969,,,,,,,,,
overwrite_fdatasync,1,1,1,1997947.5000,1997947.5000,1997947.5000,2459213.6300,2459213.6300,2459213.6300,1997947.5000,1997947.5000,1997947.5000,,,,,,,,,
overwrite_fdatasync_bis,1,1,1,1977977.5000,1977977.5000,1977977.5000,2409523.8900,2409523.8900,2409523.8900,1977977.5000,1977977.5000,1977977.5000,,,,,,,,,
overwrite_fdatasync_double,1,1,2,4153084.0000,4153084.0000,4153084.0000,4775692.4100,4775692.4100,4775692.4100,4153084.0000,4153084.0000,4153084.0000,,,,,,,,,
overwrite_fdatasync_folio,1,1,1,2075509.5000,2075509.5000,2075509.5000,2457122.1900,2457122.1900,2457122.1900,2075509.5000,2075509.5000,2075509.5000,,,,,,,,,
overwrite_fsync,1,1,1,7014303.5000,7014303.5000,7014303.5000,12549509.9500,12549509.9500,12549509.9500,7014303.5000,7014303.5000,7014303.5000,,,,,,,,,
overwrite_odsync,1,1,1,1817677.5000,1817677.5000,1817677.5000,2355782.8500,2355782.8500,2355782.8500,1817677.5000,1817677.5000,1817677.5000,,,,,,,,,
overwrite_odsync_folio,1,1,1,2120624.0000,2120624.0000,2120624.0000,2511555.1400,2511555.1400,2511555.1400,2120624.0000,2120624.0000,2120624.0000,,,,,,,,,
rand_read_cold,0,1,1,58333.5000,58333.5000,58333.5000,77394.0800,77394.0800,77394.0800,58333.5000,58333.5000,58333.5000,,,,,,,,,
rand_read_cold_bis,0,1,1,56830.0000,56830.0000,56830.0000,77231.1000,77231.1000,77231.1000,56830.0000,56830.0000,56830.0000,,,,,,,,,
rand_read_direct,0,1,1,54491.0000,54491.0000,54491.0000,60434.9900,60434.9900,60434.9900,54491.0000,54491.0000,54491.0000,,,,,,,,,
rand_read_direct_double,0,1,2,109010.5000,109010.5000,109010.5000,120683.1600,120683.1600,120683.1600,109010.5000,109010.5000,109010.5000,,,,,,,,,
rand_read_warm,0,1,1,1304.0000,1304.0000,1304.0000,2243.8200,2243.8200,2243.8200,1304.0000,1304.0000,1304.0000,,,,,,,,,
seq_read_cold,0,1,32,,,,,,,,,,,,,,,,2.4522,2.4522,2.4522
seq_read_direct,0,1,32,,,,,,,,,,,,,,,,1.3618,1.3618,1.3618
seq_read_warm,0,1,32,,,,,,,,,,,,,,,,4.9796,4.9796,4.9796
tmpfs_append_fsync,1,1,1,1994.0000,1994.0000,1994.0000,6223.8400,6223.8400,6223.8400,1994.0000,1994.0000,1994.0000,,,,,,,,,
