run_id,build,cpu,seed,rounds,warmup_rounds,scale_log2
1,c-O3,11,20260922,11,1,0
2,rust,11,20260922,11,1,0
3,rust,11,20260922,11,1,0
4,python,11,20260922,11,1,0
5,rust,11,20260922,11,1,0
6,c-O3,11,20260922,11,1,0
7,python,11,20260922,11,1,0
8,go,11,20260922,11,1,0
9,c-O3,11,20260922,11,1,0
10,c-O3,11,20260922,11,1,0
11,c-O2,11,20260922,11,1,0
12,go,11,20260922,11,1,0
13,rust,11,20260922,11,1,0
14,c-O3,11,20260922,11,1,0
15,c-O2,11,20260922,11,1,0
16,go,11,20260922,11,1,0
17,c-O3,11,20260922,11,1,0
18,python,11,20260922,11,1,0
19,go,11,20260922,11,1,0
20,rust,11,20260922,11,1,0
21,c-O2,11,20260922,11,1,0
22,go,11,20260922,11,1,0
23,c-O2,11,20260922,11,1,0
24,c-O3,11,20260922,11,1,0
25,python,11,20260922,11,1,0
26,rust,11,20260922,11,1,0
27,go,11,20260922,11,1,0
28,go,11,20260922,11,1,0
29,c-O3,11,20260922,11,1,0
30,c-O3,11,20260922,11,1,0
31,rust,11,20260922,11,1,0
32,c-O2,11,20260922,11,1,0
33,c-O3,11,20260922,11,1,0
34,python,11,20260922,11,1,0
35,c-O2,11,20260922,11,1,0
36,rust,11,20260922,11,1,0
37,rust,11,20260922,11,1,0
38,python,11,20260922,11,1,0
39,c-O2,11,20260922,11,1,0
40,go,11,20260922,11,1,0
41,go,11,20260922,11,1,0
42,c-O2,11,20260922,11,1,0
43,python,11,20260922,11,1,0
44,c-O2,11,20260922,11,1,0
45,go,11,20260922,11,1,0
46,c-O2,11,20260922,11,1,0
47,rust,11,20260922,11,1,0
48,python,11,20260922,11,1,0
49,python,11,20260922,11,1,0
50,python,11,20260922,11,1,0
