repetition,position,label,elapsed_ns,user_us,system_us,max_rss_kib,status
0,0,c-O3,554605,0,497,1912,0
0,1,python,19918514,13789,5909,11260,0
0,2,rust,1045067,975,0,2340,0
0,3,python-numpy,100381538,86516,12927,29588,0
0,4,c-O2,842264,0,768,1912,0
0,5,go,1613370,0,1512,2132,0
1,0,go,1136983,0,1068,2132,0
1,1,c-O3,630401,0,580,1912,0
1,2,c-O2,738451,688,0,1912,0
1,3,rust,859155,0,764,2344,0
1,4,python,20437161,15385,4807,11208,0
1,5,python-numpy,99050450,78159,19787,29624,0
2,0,go,1565057,0,1474,2132,0
2,1,c-O2,724041,0,682,1912,0
2,2,c-O3,549970,0,514,1912,0
2,3,python-numpy,99861028,80943,17987,29776,0
2,4,python,22467967,17241,4789,11068,0
2,5,rust,1042133,0,966,2152,0
3,0,python,21151494,14534,6229,11180,0
3,1,rust,1712336,793,793,2152,0
3,2,c-O3,687189,0,639,1912,0
3,3,c-O2,608461,568,0,1912,0
3,4,go,2274237,0,2215,2132,0
3,5,python-numpy,104405782,85536,17697,29800,0
4,0,c-O2,894625,818,0,1912,0
4,1,python-numpy,97310962,78419,18096,29580,0
4,2,go,1610889,0,1494,2132,0
4,3,rust,1040022,0,990,2152,0
4,4,c-O3,586247,547,0,1912,0
4,5,python,19189624,14985,3996,11124,0
5,0,c-O3,748150,665,0,1912,0
5,1,rust,767800,725,0,2192,0
5,2,c-O2,512206,0,472,1912,0
5,3,go,1204334,1155,0,2132,0
5,4,python,18963025,14817,3951,11180,0
5,5,python-numpy,96367379,83626,11946,29716,0
6,0,c-O3,859097,0,776,1912,0
6,1,rust,845989,798,0,2344,0
6,2,python-numpy,96732809,82039,13837,29764,0
6,3,go,1602889,0,1514,2132,0
6,4,c-O2,770250,0,701,1912,0
6,5,python,19076486,11903,6943,11120,0
7,0,c-O2,684109,0,627,1912,0
7,1,python,18861116,14737,3929,11036,0
7,2,python-numpy,98566776,83610,14103,29628,0
7,3,rust,1155427,0,1062,2152,0
7,4,go,1361371,0,1305,2132,0
7,5,c-O3,609320,572,0,1912,0
8,0,rust,746075,677,0,2212,0
8,1,python,19433267,16166,3031,11108,0
8,2,c-O2,783073,714,0,1912,0
8,3,c-O3,535140,0,496,1912,0
8,4,go,1290350,0,1239,2132,0
8,5,python-numpy,96924046,81224,14858,29772,0
9,0,rust,1257180,1142,0,2152,0
9,1,python,19449542,14431,4810,11124,0
9,2,c-O2,732441,674,0,1912,0
9,3,c-O3,607690,0,540,1912,0
9,4,go,1402224,1335,0,2132,0
9,5,python-numpy,98882302,78944,18986,29768,0
10,0,python,19593241,14512,4837,11184,0
10,1,go,1487012,0,1378,2132,0
10,2,c-O2,727379,0,686,1912,0
10,3,rust,902524,0,830,2152,0
10,4,python-numpy,100054259,81263,17838,29796,0
10,5,c-O3,890903,0,777,1912,0
11,0,c-O3,592497,547,0,1912,0
11,1,go,1332495,0,1281,2132,0
11,2,rust,826471,784,0,2236,0
