run_id,build,seed,sample,round,phase,position,workload,variant,elements,passes,elapsed_ns,result,gc_delta,cpu_before,cpu_after
5,rust,20260922,0,0,warmup,0,dot,idiomatic,4096,1,4356,40903ff84d9cc6a3,0,11,11
5,rust,20260922,1,0,warmup,1,count,control,16384,1,103050,f6a0fa6e20559b85,0,11,11
5,rust,20260922,2,0,warmup,2,hash_chain,control_double,4096,2,13491,174e2e43fff59690,0,11,11
5,rust,20260922,3,0,warmup,3,count,idiomatic_bis,16384,1,762285,f6a0fa6e20559b85,0,11,11
5,rust,20260922,4,0,warmup,4,hash_chain,control_bis,4096,1,6655,d2f4c6a9cd3b03a2,0,11,11
5,rust,20260922,5,0,warmup,5,hash_chain,control,4096,1,6592,d2f4c6a9cd3b03a2,0,11,11
5,rust,20260922,6,0,warmup,6,dot,control,4096,1,3403,40903ff84d9cc6a3,0,11,11
5,rust,20260922,7,0,warmup,7,count,idiomatic,16384,1,620787,f6a0fa6e20559b85,0,11,11
5,rust,20260922,8,0,warmup,8,hash_chain,idiomatic,4096,1,6672,d2f4c6a9cd3b03a2,0,11,11
5,rust,20260922,9,1,measure,0,hash_chain,idiomatic,4096,1,6604,d2f4c6a9cd3b03a2,0,11,11
5,rust,20260922,10,1,measure,1,hash_chain,control_double,4096,2,13181,174e2e43fff59690,0,11,11
5,rust,20260922,11,1,measure,2,count,idiomatic,16384,1,614850,f6a0fa6e20559b85,0,11,11
5,rust,20260922,12,1,measure,3,dot,idiomatic,4096,1,3399,40903ff84d9cc6a3,0,11,11
5,rust,20260922,13,1,measure,4,hash_chain,control_bis,4096,1,6616,d2f4c6a9cd3b03a2,0,11,11
5,rust,20260922,14,1,measure,5,count,idiomatic_bis,16384,1,638284,f6a0fa6e20559b85,0,11,11
5,rust,20260922,15,1,measure,6,hash_chain,control,4096,1,6670,d2f4c6a9cd3b03a2,0,11,11
5,rust,20260922,16,1,measure,7,dot,control,4096,1,3369,40903ff84d9cc6a3,0,11,11
5,rust,20260922,17,1,measure,8,count,control,16384,1,91420,f6a0fa6e20559b85,0,11,11
