repetition,position,label,elapsed_ns,user_us,system_us,max_rss_kib,status
0,0,c-O3,576762,514,0,1912,0
0,1,python,19507551,12632,6801,11132,0
0,2,rust,1058131,0,985,2136,0
0,3,python-numpy,95352979,80219,15041,29200,0
0,4,c-O2,886395,0,803,1912,0
0,5,go,1436325,0,1379,2044,0
1,0,go,1154938,0,1097,2044,0
1,1,c-O3,615333,568,0,1912,0
1,2,c-O2,499890,463,0,1912,0
1,3,rust,785881,0,742,2232,0
1,4,python,21381792,15072,6029,11388,0
1,5,python-numpy,96753315,81675,14940,29136,0
2,0,go,1608926,759,759,2044,0
2,1,c-O2,731107,689,0,1912,0
2,2,c-O3,573739,0,533,1912,0
2,3,python-numpy,97750827,83708,13951,29252,0
2,4,python,19210258,16085,3016,10900,0
2,5,rust,1041929,968,0,2136,0
