run_id,build,seed,sample,round,phase,position,workload,variant,elements,passes,elapsed_ns,result,gc_delta,cpu_before,cpu_after
2,go,20260922,0,0,warmup,0,count,idiomatic_bis,4194304,1,84314149,575011b204ab0ef9,0,11,11
2,go,20260922,1,0,warmup,1,dot,control,1048576,1,1606486,410ff74524ad2567,0,11,11
2,go,20260922,2,0,warmup,2,hash_chain,control,1048576,1,1866057,60edcbcfce416d11,0,11,11
2,go,20260922,3,0,warmup,3,hash_chain,control_bis,1048576,1,2033271,60edcbcfce416d11,0,11,11
2,go,20260922,4,0,warmup,4,hash_chain,control_double,1048576,2,4289036,cafe17741c251268,0,11,11
2,go,20260922,5,0,warmup,5,count,control,4194304,1,16971906,575011b204ab0ef9,0,11,11
2,go,20260922,6,0,warmup,6,hash_chain,idiomatic,1048576,1,2120561,60edcbcfce416d11,0,11,11
2,go,20260922,7,0,warmup,7,dot,idiomatic,1048576,1,1531916,410ff74524ad2567,0,11,11
2,go,20260922,8,0,warmup,8,count,idiomatic,4194304,1,83096930,575011b204ab0ef9,0,11,11
2,go,20260922,9,1,measure,0,hash_chain,control_double,1048576,2,3830864,cafe17741c251268,0,11,11
2,go,20260922,10,1,measure,1,hash_chain,control,1048576,1,1990204,60edcbcfce416d11,0,11,11
2,go,20260922,11,1,measure,2,hash_chain,idiomatic,1048576,1,1912239,60edcbcfce416d11,0,11,11
2,go,20260922,12,1,measure,3,dot,idiomatic,1048576,1,1513976,410ff74524ad2567,0,11,11
2,go,20260922,13,1,measure,4,count,idiomatic,4194304,1,83990927,575011b204ab0ef9,0,11,11
2,go,20260922,14,1,measure,5,count,control,4194304,1,15185164,575011b204ab0ef9,0,11,11
2,go,20260922,15,1,measure,6,hash_chain,control_bis,1048576,1,1856282,60edcbcfce416d11,0,11,11
2,go,20260922,16,1,measure,7,dot,control,1048576,1,1516838,410ff74524ad2567,0,11,11
2,go,20260922,17,1,measure,8,count,idiomatic_bis,4194304,1,82500259,575011b204ab0ef9,0,11,11
2,go,20260922,18,2,measure,0,hash_chain,control_double,1048576,2,4062033,cafe17741c251268,0,11,11
2,go,20260922,19,2,measure,1,dot,control,1048576,1,1560887,410ff74524ad2567,0,11,11
2,go,20260922,20,2,measure,2,hash_chain,control,1048576,1,1903900,60edcbcfce416d11,0,11,11
2,go,20260922,21,2,measure,3,hash_chain,idiomatic,1048576,1,1945683,60edcbcfce416d11,0,11,11
2,go,20260922,22,2,measure,4,hash_chain,control_bis,1048576,1,1946093,60edcbcfce416d11,0,11,11
2,go,20260922,23,2,measure,5,dot,idiomatic,1048576,1,1482092,410ff74524ad2567,0,11,11
2,go,20260922,24,2,measure,6,count,idiomatic,4194304,1,81960161,575011b204ab0ef9,0,11,11
2,go,20260922,25,2,measure,7,count,idiomatic_bis,4194304,1,83654120,575011b204ab0ef9,0,11,11
2,go,20260922,26,2,measure,8,count,control,4194304,1,15414032,575011b204ab0ef9,0,11,11
