repetition,position,label,elapsed_ns,user_us,system_us,max_rss_kib,status
0,0,c-O3,593053,509,0,1784,0
0,1,python,28869541,14993,4997,11292,0
0,2,rust,1073320,0,999,2144,0
0,3,python-numpy,93391729,79233,14041,29336,0
0,4,c-O2,883950,0,803,1784,0
0,5,go,1408302,0,1324,2196,0
1,0,go,1309456,0,1227,2196,0
1,1,c-O3,766850,0,694,1784,0
1,2,c-O2,478957,442,0,1784,0
1,3,rust,801002,0,729,2140,0
1,4,python,18405919,15295,3059,11148,0
1,5,python-numpy,92365614,74384,17852,29236,0
2,0,go,1519092,0,1424,2196,0
2,1,c-O2,743709,0,702,1784,0
2,2,c-O3,538078,500,0,1784,0
2,3,python-numpy,94567387,85377,9039,29192,0
2,4,python,19186661,12711,6355,11096,0
2,5,rust,1113995,0,1029,2140,0
3,0,python,19079599,13998,4999,11096,0
3,1,rust,1057939,970,0,2140,0
3,2,c-O3,605373,565,0,1784,0
3,3,c-O2,535921,497,0,1784,0
3,4,go,1260915,0,1208,2196,0
3,5,python-numpy,96909977,85839,10979,29228,0
4,0,c-O2,819362,0,748,1784,0
4,1,python-numpy,92293243,77091,15017,29240,0
4,2,go,1440803,1356,0,2196,0
4,3,rust,942279,0,894,2140,0
4,4,c-O3,597075,0,558,1784,0
4,5,python,18317054,17223,1013,11392,0
5,0,c-O3,644295,0,592,1784,0
5,1,rust,745349,0,701,2136,0
5,2,c-O2,516686,478,0,1784,0
5,3,go,1143802,1094,0,2196,0
5,4,python,17608928,12671,4873,11392,0
5,5,python-numpy,92832038,79750,12959,29236,0
6,0,c-O3,841925,760,0,1784,0
6,1,rust,830294,782,0,2148,0
6,2,python-numpy,94990457,79697,15132,29212,0
6,3,go,1612347,0,1506,2196,0
6,4,c-O2,859736,799,0,1784,0
6,5,python,18864408,10867,7903,11020,0
7,0,c-O2,711006,0,651,1784,0
7,1,python,18079294,15003,3000,11208,0
7,2,python-numpy,94781424,79543,15103,29288,0
7,3,rust,1141570,0,1058,2140,0
7,4,go,1463653,0,1401,2196,0
7,5,c-O3,638228,598,0,1784,0
8,0,rust,734004,690,0,2220,0
8,1,python,19396649,11585,7723,11236,0
8,2,c-O2,814706,747,0,1784,0
8,3,c-O3,571358,530,0,1784,0
8,4,go,1273182,1222,0,2196,0
8,5,python-numpy,95128325,77220,17820,29328,0
9,0,rust,1099171,0,1017,2148,0
9,1,python,19132257,18059,1003,11212,0
9,2,c-O2,738027,0,677,1784,0
9,3,c-O3,543759,504,0,1784,0
9,4,go,1257154,1207,0,2196,0
9,5,python-numpy,97713923,83677,13946,29132,0
