build,function,symbol,instructions,backward_jumps,calls,bounds_checks,simd,packed_float_ops,scalar_float_ops,integer_mul
c-O2,hash_chain,hash_chain,13,1,0,0,non,0,0,1
c-O2,dot,dot,14,1,0,0,xmm,0,2,0
c-O2,count_table,count_table,44,2,0,0,non,0,0,1
c-O3,hash_chain,hash_chain,13,1,0,0,non,0,0,1
c-O3,dot,dot,27,1,0,0,xmm,1,4,0
c-O3,count_table,count_table,44,2,0,0,non,0,0,1
rust,hash_chain,bench::hash_chain,36,2,0,0,non,0,0,5
rust,hash_chain_iter,bench::hash_chain_iter,37,2,0,0,non,0,0,5
rust,dot,bench::dot,53,2,1,2,xmm,0,10,0
rust,dot_iter,bench::dot_iter,47,2,0,0,xmm,0,10,0
rust,count_table,bench::count_table,47,2,2,2,non,0,0,1
rust,count_hashmap,bench::count_hashmap,170,7,5,10,xmm,0,0,0
go,hash_chain,main.hashChain,34,1,0,0,non,0,0,1
go,hash_chain_iter,main.hashChainRange,34,1,0,0,non,0,0,1
go,dot,main.dot,26,1,1,1,xmm,0,2,0
go,dot_iter,main.dotRange,26,1,1,1,xmm,0,2,0
go,count_table,main.countTable,47,2,2,3,non,0,0,1
go,count_hashmap,main.countMap,56,2,3,0,non,0,0,0
