workload,build,variant,ratio_to_c_O2_control,ci95_low,ci95_high
hash_chain,c-O2,control,1.000,1.000,1.000
hash_chain,c-O3,control,0.998,0.956,1.044
hash_chain,rust,control,0.971,0.938,0.997
hash_chain,rust,idiomatic,0.984,0.952,1.004
hash_chain,go,control,1.006,0.972,1.040
hash_chain,go,idiomatic,0.991,0.949,1.019
hash_chain,python,control,69.210,66.851,71.132
hash_chain,python,idiomatic,61.170,59.112,62.809
dot,c-O2,control,1.000,1.000,1.000
dot,c-O3,control,1.120,1.077,1.165
dot,rust,control,0.986,0.937,1.021
dot,rust,idiomatic,0.963,0.931,0.998
dot,go,control,1.002,0.970,1.037
dot,go,idiomatic,0.993,0.960,1.047
dot,python,control,29.820,28.912,30.846
dot,python,idiomatic,8.085,7.750,8.371
dot,python,numpy,0.659,0.631,0.766
count,c-O2,control,1.000,1.000,1.000
count,c-O3,control,1.015,0.968,1.046
count,rust,control,1.040,0.998,1.071
count,rust,idiomatic,4.861,4.666,4.994
count,go,control,1.036,0.994,1.064
count,go,idiomatic,5.764,5.531,5.926
count,python,control,78.259,74.988,80.703
count,python,idiomatic,30.171,29.104,31.506
count,python,numpy,0.807,0.772,0.834
